1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3900000069B71741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:19:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 00:19:01 PDT 2020
Total Mission Samples:  4679
Total Device Samples:  11183
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 12:19:01 AM,%RH,36.572
5/5/20 1:19:01 AM,%RH,40.806
5/5/20 2:19:01 AM,%RH,61.001
5/5/20 3:19:01 AM,%RH,53.477
5/5/20 4:19:01 AM,%RH,42.013
5/5/20 5:19:01 AM,%RH,34.949
5/5/20 6:19:01 AM,%RH,52.332
5/5/20 7:19:01 AM,%RH,24.203
5/5/20 8:19:01 AM,%RH,21.981
5/5/20 9:19:01 AM,%RH,19.145
5/5/20 10:19:01 AM,%RH,16.383
5/5/20 11:19:01 AM,%RH,15.793
5/5/20 12:19:01 PM,%RH,18.83
5/5/20 1:19:01 PM,%RH,16.578
5/5/20 2:19:01 PM,%RH,20.271
5/5/20 3:19:01 PM,%RH,24.855
5/5/20 4:19:01 PM,%RH,26.509
5/5/20 5:19:01 PM,%RH,26.238
5/5/20 6:19:01 PM,%RH,34.169
5/5/20 7:19:01 PM,%RH,54.871
5/5/20 8:19:01 PM,%RH,55.996
5/5/20 9:19:01 PM,%RH,29.895
5/5/20 10:19:01 PM,%RH,30.475
5/5/20 11:19:01 PM,%RH,30.425
5/6/20 12:19:01 AM,%RH,27.042
5/6/20 1:19:01 AM,%RH,27.732
5/6/20 2:19:01 AM,%RH,27.578
5/6/20 3:19:01 AM,%RH,26.194
5/6/20 4:19:01 AM,%RH,24.105
5/6/20 5:19:01 AM,%RH,24.751
5/6/20 6:19:01 AM,%RH,26.091
5/6/20 7:19:01 AM,%RH,21.446
5/6/20 8:19:01 AM,%RH,18.678
5/6/20 9:19:01 AM,%RH,14.034
5/6/20 10:19:01 AM,%RH,14.48
5/6/20 11:19:01 AM,%RH,14.77
5/6/20 12:19:01 PM,%RH,12.512
5/6/20 1:19:01 PM,%RH,15.455
5/6/20 2:19:01 PM,%RH,13.25
5/6/20 3:19:01 PM,%RH,19.954
5/6/20 4:19:01 PM,%RH,21.005
5/6/20 5:19:01 PM,%RH,20.792
5/6/20 6:19:01 PM,%RH,20.632
5/6/20 7:19:01 PM,%RH,17.679
5/6/20 8:19:01 PM,%RH,20.311
5/6/20 9:19:01 PM,%RH,20.911
5/6/20 10:19:01 PM,%RH,19.44
5/6/20 11:19:01 PM,%RH,19.987
5/7/20 12:19:01 AM,%RH,21.295
5/7/20 1:19:01 AM,%RH,19.168
5/7/20 2:19:01 AM,%RH,19.331
5/7/20 3:19:01 AM,%RH,18.456
5/7/20 4:19:01 AM,%RH,42.24
5/7/20 5:19:01 AM,%RH,53.085
5/7/20 6:19:01 AM,%RH,41.832
5/7/20 7:19:01 AM,%RH,23.503
5/7/20 8:19:01 AM,%RH,15.357
5/7/20 9:19:01 AM,%RH,16.615
5/7/20 10:19:01 AM,%RH,16.481
5/7/20 11:19:01 AM,%RH,14.129
5/7/20 12:19:01 PM,%RH,10.041
5/7/20 1:19:01 PM,%RH,16.724
5/7/20 2:19:01 PM,%RH,16.334
5/7/20 3:19:01 PM,%RH,19.093
5/7/20 4:19:01 PM,%RH,27.948
5/7/20 5:19:01 PM,%RH,33.761
5/7/20 6:19:01 PM,%RH,38.832
5/7/20 7:19:01 PM,%RH,53.712
5/7/20 8:19:01 PM,%RH,66.695
5/7/20 9:19:01 PM,%RH,76.826
5/7/20 10:19:01 PM,%RH,79.991
5/7/20 11:19:01 PM,%RH,84.99
5/8/20 12:19:01 AM,%RH,80.435
5/8/20 1:19:01 AM,%RH,76.356
5/8/20 2:19:01 AM,%RH,77.878
5/8/20 3:19:01 AM,%RH,70.343
5/8/20 4:19:01 AM,%RH,75.659
5/8/20 5:19:01 AM,%RH,85.643
5/8/20 6:19:01 AM,%RH,79.233
5/8/20 7:19:01 AM,%RH,39.755
5/8/20 8:19:01 AM,%RH,28.511
5/8/20 9:19:01 AM,%RH,19.353
5/8/20 10:19:01 AM,%RH,20.963
5/8/20 11:19:01 AM,%RH,19.457
5/8/20 12:19:01 PM,%RH,18.728
5/8/20 1:19:01 PM,%RH,20.696
5/8/20 2:19:01 PM,%RH,18.886
5/8/20 3:19:01 PM,%RH,-11.388
5/8/20 4:19:01 PM,%RH,37.329
5/8/20 5:19:01 PM,%RH,39.701
5/8/20 6:19:01 PM,%RH,47.113
