1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FD00000069B84041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:21:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 00:21:01 PDT 2020
Total Mission Samples:  4679
Total Device Samples:  11155
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 12:21:01 AM,%RH,36.427
5/5/20 1:21:01 AM,%RH,36.234
5/5/20 2:21:01 AM,%RH,57.417
5/5/20 3:21:01 AM,%RH,53.32
5/5/20 4:21:01 AM,%RH,36.81
5/5/20 5:21:01 AM,%RH,34.851
5/5/20 6:21:01 AM,%RH,51.008
5/5/20 7:21:01 AM,%RH,27.541
5/5/20 8:21:01 AM,%RH,19.426
5/5/20 9:21:01 AM,%RH,16.471
5/5/20 10:21:01 AM,%RH,16.038
5/5/20 11:21:01 AM,%RH,15.544
5/5/20 12:21:01 PM,%RH,18.111
5/5/20 1:21:01 PM,%RH,18.111
5/5/20 2:21:01 PM,%RH,16.372
5/5/20 3:21:01 PM,%RH,23.529
5/5/20 4:21:01 PM,%RH,26.604
5/5/20 5:21:01 PM,%RH,30.208
5/5/20 6:21:01 PM,%RH,39.885
5/5/20 7:21:01 PM,%RH,54.122
5/5/20 8:21:01 PM,%RH,52.804
5/5/20 9:21:01 PM,%RH,31.143
5/5/20 10:21:01 PM,%RH,33.012
5/5/20 11:21:01 PM,%RH,30.992
5/6/20 12:21:01 AM,%RH,27.595
5/6/20 1:21:01 AM,%RH,28.278
5/6/20 2:21:01 AM,%RH,28.176
5/6/20 3:21:01 AM,%RH,27.442
5/6/20 4:21:01 AM,%RH,25.382
5/6/20 5:21:01 AM,%RH,26.019
5/6/20 6:21:01 AM,%RH,26.706
5/6/20 7:21:01 AM,%RH,22.4
5/6/20 8:21:01 AM,%RH,19.921
5/6/20 9:21:01 AM,%RH,14.833
