1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D0000006D9F6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:01:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 23:01:01 PDT 2020
Total Mission Samples:  4678
Total Device Samples:  13452
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 11:01:01 PM,F,68.147
5/5/20 12:01:01 AM,F,58.234
5/5/20 1:01:01 AM,F,55.529
5/5/20 2:01:01 AM,F,51.921
5/5/20 3:01:01 AM,F,52.823
5/5/20 4:01:01 AM,F,51.019
5/5/20 5:01:01 AM,F,53.725
5/5/20 6:01:01 AM,F,51.921
5/5/20 7:01:01 AM,F,77.151
5/5/20 8:01:01 AM,F,99.631
5/5/20 9:01:01 AM,F,113.996
5/5/20 10:01:01 AM,F,122.068
5/5/20 11:01:01 AM,F,129.239
5/5/20 12:01:01 PM,F,121.171
5/5/20 1:01:01 PM,F,113.996
5/5/20 2:01:01 PM,F,110.407
5/5/20 3:01:01 PM,F,102.326
5/5/20 4:01:01 PM,F,91.544
5/5/20 5:01:01 PM,F,83.45
5/5/20 6:01:01 PM,F,79.851
5/5/20 7:01:01 PM,F,72.65
5/5/20 8:01:01 PM,F,65.444
5/5/20 9:01:01 PM,F,72.65
5/5/20 10:01:01 PM,F,71.749
5/5/20 11:01:01 PM,F,69.948
5/6/20 12:01:01 AM,F,70.849
5/6/20 1:01:01 AM,F,69.948
5/6/20 2:01:01 AM,F,69.048
5/6/20 3:01:01 AM,F,68.147
5/6/20 4:01:01 AM,F,68.147
5/6/20 5:01:01 AM,F,66.345
5/6/20 6:01:01 AM,F,66.345
5/6/20 7:01:01 AM,F,79.851
5/6/20 8:01:01 AM,F,99.631
5/6/20 9:01:01 AM,F,115.79
5/6/20 10:01:01 AM,F,112.201
5/6/20 11:01:01 AM,F,114.893
5/6/20 12:01:01 PM,F,113.996
5/6/20 1:01:01 PM,F,108.611
5/6/20 2:01:01 PM,F,107.714
5/6/20 3:01:01 PM,F,102.326
5/6/20 4:01:01 PM,F,92.443
5/6/20 5:01:01 PM,F,85.249
5/6/20 6:01:01 PM,F,82.55
5/6/20 7:01:01 PM,F,79.851
5/6/20 8:01:01 PM,F,76.251
5/6/20 9:01:01 PM,F,74.451
5/6/20 10:01:01 PM,F,73.55
5/6/20 11:01:01 PM,F,72.65
5/7/20 12:01:01 AM,F,69.048
5/7/20 1:01:01 AM,F,69.048
5/7/20 2:01:01 AM,F,69.948
5/7/20 3:01:01 AM,F,69.948
5/7/20 4:01:01 AM,F,58.234
5/7/20 5:01:01 AM,F,55.529
5/7/20 6:01:01 AM,F,56.431
5/7/20 7:01:01 AM,F,79.851
5/7/20 8:01:01 AM,F,101.428
5/7/20 9:01:01 AM,F,114.893
5/7/20 10:01:01 AM,F,122.965
5/7/20 11:01:01 AM,F,126.55
5/7/20 12:01:01 PM,F,120.275
5/7/20 1:01:01 PM,F,117.584
5/7/20 2:01:01 PM,F,115.79
5/7/20 3:01:01 PM,F,105.918
5/7/20 4:01:01 PM,F,92.443
5/7/20 5:01:01 PM,F,84.35
5/7/20 6:01:01 PM,F,80.751
5/7/20 7:01:01 PM,F,75.351
5/7/20 8:01:01 PM,F,66.345
5/7/20 9:01:01 PM,F,61.84
5/7/20 10:01:01 PM,F,60.938
5/7/20 11:01:01 PM,F,58.234
5/8/20 12:01:01 AM,F,60.037
5/8/20 1:01:01 AM,F,58.234
5/8/20 2:01:01 AM,F,56.431
5/8/20 3:01:01 AM,F,55.529
5/8/20 4:01:01 AM,F,53.725
5/8/20 5:01:01 AM,F,51.921
5/8/20 6:01:01 AM,F,52.823
5/8/20 7:01:01 AM,F,77.151
5/8/20 8:01:01 AM,F,101.428
5/8/20 9:01:01 AM,F,113.099
5/8/20 10:01:01 AM,F,118.481
5/8/20 11:01:01 AM,F,124.758
5/8/20 12:01:01 PM,F,113.996
5/8/20 1:01:01 PM,F,112.201
