1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE00000069B68241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:12:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 01:12:01 PDT 2020
Total Mission Samples:  4680
Total Device Samples:  11217
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 1:12:01 AM,F,49.286
5/5/20 2:12:01 AM,F,45.67
5/5/20 3:12:01 AM,F,46.574
5/5/20 4:12:01 AM,F,46.574
5/5/20 5:12:01 AM,F,49.286
5/5/20 6:12:01 AM,F,47.478
5/5/20 7:12:01 AM,F,78.142
5/5/20 8:12:01 AM,F,100.601
5/5/20 9:12:01 AM,F,112.25
5/5/20 10:12:01 AM,F,122.092
5/5/20 11:12:01 AM,F,124.773
5/5/20 12:12:01 PM,F,123.879
5/5/20 1:12:01 PM,F,113.146
5/5/20 2:12:01 PM,F,122.985
5/5/20 3:12:01 PM,F,106.876
5/5/20 4:12:01 PM,F,97.013
5/5/20 5:12:01 PM,F,92.525
5/5/20 6:12:01 PM,F,80.842
5/5/20 7:12:01 PM,F,72.741
5/5/20 8:12:01 PM,F,61.024
5/5/20 9:12:01 PM,F,70.039
5/5/20 10:12:01 PM,F,70.039
5/5/20 11:12:01 PM,F,67.336
5/6/20 12:12:01 AM,F,68.237
5/6/20 1:12:01 AM,F,69.138
5/6/20 2:12:01 AM,F,66.434
5/6/20 3:12:01 AM,F,65.533
5/6/20 4:12:01 AM,F,66.434
5/6/20 5:12:01 AM,F,64.631
5/6/20 6:12:01 AM,F,63.729
5/6/20 7:12:01 AM,F,77.243
5/6/20 8:12:01 AM,F,99.704
5/6/20 9:12:01 AM,F,115.831
5/6/20 10:12:01 AM,F,119.409
5/6/20 11:12:01 AM,F,122.985
5/6/20 12:12:01 PM,F,123.879
5/6/20 1:12:01 PM,F,114.936
5/6/20 2:12:01 PM,F,114.936
5/6/20 3:12:01 PM,F,113.146
5/6/20 4:12:01 PM,F,98.807
5/6/20 5:12:01 PM,F,89.83
5/6/20 6:12:01 PM,F,81.741
5/6/20 7:12:01 PM,F,79.042
5/6/20 8:12:01 PM,F,74.542
5/6/20 9:12:01 PM,F,72.741
5/6/20 10:12:01 PM,F,72.741
5/6/20 11:12:01 PM,F,67.336
5/7/20 12:12:01 AM,F,61.926
5/7/20 1:12:01 AM,F,65.533
5/7/20 2:12:01 AM,F,66.434
5/7/20 3:12:01 AM,F,65.533
5/7/20 4:12:01 AM,F,57.414
5/7/20 5:12:01 AM,F,50.189
5/7/20 6:12:01 AM,F,51.093
5/7/20 7:12:01 AM,F,78.142
5/7/20 8:12:01 AM,F,100.601
5/7/20 9:12:01 AM,F,109.564
5/7/20 10:12:01 AM,F,121.197
5/7/20 11:12:01 AM,F,122.092
5/7/20 12:12:01 PM,F,120.303
5/7/20 1:12:01 PM,F,115.831
5/7/20 2:12:01 PM,F,125.667
5/7/20 3:12:01 PM,F,115.831
5/7/20 4:12:01 PM,F,94.32
5/7/20 5:12:01 PM,F,88.932
5/7/20 6:12:01 PM,F,80.842
5/7/20 7:12:01 PM,F,73.642
5/7/20 8:12:01 PM,F,64.631
5/7/20 9:12:01 PM,F,55.609
5/7/20 10:12:01 PM,F,54.706
5/7/20 11:12:01 PM,F,52.9
5/8/20 12:12:01 AM,F,52.9
5/8/20 1:12:01 AM,F,51.093
5/8/20 2:12:01 AM,F,49.286
5/8/20 3:12:01 AM,F,49.286
5/8/20 4:12:01 AM,F,47.478
5/8/20 5:12:01 AM,F,46.574
5/8/20 6:12:01 AM,F,47.478
5/8/20 7:12:01 AM,F,80.842
5/8/20 8:12:01 AM,F,97.91
5/8/20 9:12:01 AM,F,108.668
5/8/20 10:12:01 AM,F,114.936
5/8/20 11:12:01 AM,F,115.831
5/8/20 12:12:01 PM,F,107.772
5/8/20 1:12:01 PM,F,110.46
5/8/20 2:12:01 PM,F,107.772
5/8/20 3:12:01 PM,F,106.876
5/8/20 4:12:01 PM,F,94.32
5/8/20 5:12:01 PM,F,87.135
5/8/20 6:12:01 PM,F,77.243
5/8/20 7:12:01 PM,F,71.841
5/8/20 8:12:01 PM,F,65.533
5/8/20 9:12:01 PM,F,60.121
5/8/20 10:12:01 PM,F,52.9
5/8/20 11:12:01 PM,F,49.286
5/9/20 12:12:01 AM,F,47.478
5/9/20 1:12:01 AM,F,45.67
5/9/20 2:12:01 AM,F,44.766
5/9/20 3:12:01 AM,F,47.478
5/9/20 4:12:01 AM,F,44.766
5/9/20 5:12:01 AM,F,42.957
5/9/20 6:12:01 AM,F,43.862
5/9/20 7:12:01 AM,F,72.741
5/9/20 8:12:01 AM,F,95.218
5/9/20 9:12:01 AM,F,106.876
5/9/20 10:12:01 AM,F,111.355
5/9/20 11:12:01 AM,F,103.291
5/9/20 12:12:01 PM,F,99.704
5/9/20 1:12:01 PM,F,100.601
5/9/20 2:12:01 PM,F,101.498
5/9/20 3:12:01 PM,F,97.91
5/9/20 4:12:01 PM,F,91.627
5/9/20 5:12:01 PM,F,87.135
5/9/20 6:12:01 PM,F,75.442
5/9/20 7:12:01 PM,F,68.237
5/9/20 8:12:01 PM,F,61.926
5/9/20 9:12:01 PM,F,55.609
5/9/20 10:12:01 PM,F,54.706
5/9/20 11:12:01 PM,F,48.382
5/10/20 12:12:01 AM,F,47.478
5/10/20 1:12:01 AM,F,44.766
5/10/20 2:12:01 AM,F,43.862
5/10/20 3:12:01 AM,F,43.862
5/10/20 4:12:01 AM,F,42.052
5/10/20 5:12:01 AM,F,42.957
5/10/20 6:12:01 AM,F,42.957
5/10/20 7:12:01 AM,F,72.741
5/10/20 8:12:01 AM,F,86.236
5/10/20 9:12:01 AM,F,85.337
5/10/20 10:12:01 AM,F,100.601
5/10/20 11:12:01 AM,F,97.91
5/10/20 12:12:01 PM,F,97.013
5/10/20 1:12:01 PM,F,97.91
5/10/20 2:12:01 PM,F,97.013
5/10/20 3:12:01 PM,F,88.932
