1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 00:42:01 PDT 2020
Total Mission Samples:  6348
Total Device Samples:  14389
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 12:42:01 AM,F,54.676
5/5/20 1:42:01 AM,F,51.068
5/5/20 2:42:01 AM,F,50.166
5/5/20 3:42:01 AM,F,49.264
5/5/20 4:42:01 AM,F,55.578
5/5/20 5:42:01 AM,F,51.068
5/5/20 6:42:01 AM,F,52.873
5/5/20 7:42:01 AM,F,89.794
5/5/20 8:42:01 AM,F,102.375
5/5/20 9:42:01 AM,F,111.352
5/5/20 10:42:01 AM,F,116.735
5/5/20 11:42:01 AM,F,115.838
5/5/20 12:42:01 PM,F,116.735
5/5/20 1:42:01 PM,F,111.352
5/5/20 2:42:01 PM,F,105.069
5/5/20 3:42:01 PM,F,101.476
5/5/20 4:42:01 PM,F,88.895
5/5/20 5:42:01 PM,F,83.499
5/5/20 6:42:01 PM,F,78.1
5/5/20 7:42:01 PM,F,65.493
5/5/20 8:42:01 PM,F,71.799
5/5/20 9:42:01 PM,F,72.699
5/5/20 10:42:01 PM,F,71.799
5/5/20 11:42:01 PM,F,72.699
5/6/20 12:42:01 AM,F,71.799
5/6/20 1:42:01 AM,F,69.998
5/6/20 2:42:01 AM,F,69.097
5/6/20 3:42:01 AM,F,69.097
5/6/20 4:42:01 AM,F,68.196
5/6/20 5:42:01 AM,F,67.295
5/6/20 6:42:01 AM,F,65.493
5/6/20 7:42:01 AM,F,94.289
5/6/20 8:42:01 AM,F,104.171
5/6/20 9:42:01 AM,F,114.044
5/6/20 10:42:01 AM,F,114.941
5/6/20 11:42:01 AM,F,114.941
5/6/20 12:42:01 PM,F,114.044
5/6/20 1:42:01 PM,F,108.659
5/6/20 2:42:01 PM,F,109.557
5/6/20 3:42:01 PM,F,101.476
5/6/20 4:42:01 PM,F,88.895
5/6/20 5:42:01 PM,F,84.399
5/6/20 6:42:01 PM,F,81.7
5/6/20 7:42:01 PM,F,78.1
5/6/20 8:42:01 PM,F,75.4
5/6/20 9:42:01 PM,F,74.5
5/6/20 10:42:01 PM,F,72.699
5/6/20 11:42:01 PM,F,66.394
5/7/20 12:42:01 AM,F,69.097
5/7/20 1:42:01 AM,F,71.799
5/7/20 2:42:01 AM,F,71.799
5/7/20 3:42:01 AM,F,60.988
5/7/20 4:42:01 AM,F,56.48
5/7/20 5:42:01 AM,F,54.676
5/7/20 6:42:01 AM,F,60.086
5/7/20 7:42:01 AM,F,88.895
5/7/20 8:42:01 AM,F,103.273
5/7/20 9:42:01 AM,F,110.454
5/7/20 10:42:01 AM,F,123.012
5/7/20 11:42:01 AM,F,110.454
5/7/20 12:42:01 PM,F,123.012
5/7/20 1:42:01 PM,F,113.147
5/7/20 2:42:01 PM,F,109.557
5/7/20 3:42:01 PM,F,102.375
5/7/20 4:42:01 PM,F,87.097
5/7/20 5:42:01 PM,F,82.6
5/7/20 6:42:01 PM,F,78.1
5/7/20 7:42:01 PM,F,70.898
5/7/20 8:42:01 PM,F,62.79
5/7/20 9:42:01 PM,F,59.185
5/7/20 10:42:01 PM,F,56.48
5/7/20 11:42:01 PM,F,57.382
5/8/20 12:42:01 AM,F,56.48
5/8/20 1:42:01 AM,F,54.676
5/8/20 2:42:01 AM,F,53.775
5/8/20 3:42:01 AM,F,52.873
5/8/20 4:42:01 AM,F,51.068
5/8/20 5:42:01 AM,F,49.264
5/8/20 6:42:01 AM,F,52.873
5/8/20 7:42:01 AM,F,87.097
5/8/20 8:42:01 AM,F,98.782
5/8/20 9:42:01 AM,F,108.659
5/8/20 10:42:01 AM,F,110.454
5/8/20 11:42:01 AM,F,112.249
5/8/20 12:42:01 PM,F,110.454
5/8/20 1:42:01 PM,F,106.864
5/8/20 2:42:01 PM,F,103.273
5/8/20 3:42:01 PM,F,95.188
5/8/20 4:42:01 PM,F,85.298
