1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000069B97741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:15:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 22:15:01 PDT 2020
Total Mission Samples:  4677
Total Device Samples:  11127
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 10:15:01 PM,F,66.372
5/4/20 11:15:01 PM,F,65.471
5/5/20 12:15:01 AM,F,52.844
5/5/20 1:15:01 AM,F,51.039
5/5/20 2:15:01 AM,F,47.427
5/5/20 3:15:01 AM,F,50.136
5/5/20 4:15:01 AM,F,51.039
5/5/20 5:15:01 AM,F,51.039
5/5/20 6:15:01 AM,F,50.136
5/5/20 7:15:01 AM,F,82.578
5/5/20 8:15:01 AM,F,94.264
5/5/20 9:15:01 AM,F,105.934
5/5/20 10:15:01 AM,F,112.212
5/5/20 11:15:01 AM,F,111.315
5/5/20 12:15:01 PM,F,107.728
5/5/20 1:15:01 PM,F,110.418
5/5/20 2:15:01 PM,F,110.418
5/5/20 3:15:01 PM,F,105.934
5/5/20 4:15:01 PM,F,97.856
5/5/20 5:15:01 PM,F,92.467
5/5/20 6:15:01 PM,F,79.879
5/5/20 7:15:01 PM,F,71.777
5/5/20 8:15:01 PM,F,69.075
5/5/20 9:15:01 PM,F,69.976
5/5/20 10:15:01 PM,F,69.075
5/5/20 11:15:01 PM,F,69.976
5/6/20 12:15:01 AM,F,69.075
5/6/20 1:15:01 AM,F,68.174
5/6/20 2:15:01 AM,F,66.372
5/6/20 3:15:01 AM,F,66.372
5/6/20 4:15:01 AM,F,65.471
5/6/20 5:15:01 AM,F,64.569
5/6/20 6:15:01 AM,F,64.569
5/6/20 7:15:01 AM,F,87.973
5/6/20 8:15:01 AM,F,97.856
5/6/20 9:15:01 AM,F,106.831
5/6/20 10:15:01 AM,F,112.212
5/6/20 11:15:01 AM,F,112.212
5/6/20 12:15:01 PM,F,117.589
5/6/20 1:15:01 PM,F,114.004
5/6/20 2:15:01 PM,F,109.522
5/6/20 3:15:01 PM,F,106.831
