1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 21:45:01 PDT 2020
Total Mission Samples:  6345
Total Device Samples:  14001
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 9:45:01 PM,%RH,30.513
5/4/20 10:45:01 PM,%RH,27.689
5/4/20 11:45:01 PM,%RH,44.278
5/5/20 12:45:01 AM,%RH,47.277
5/5/20 1:45:01 AM,%RH,51.923
5/5/20 2:45:01 AM,%RH,53.136
5/5/20 3:45:01 AM,%RH,55.47
5/5/20 4:45:01 AM,%RH,39.714
5/5/20 5:45:01 AM,%RH,48.854
5/5/20 6:45:01 AM,%RH,52.135
5/5/20 7:45:01 AM,%RH,20.355
5/5/20 8:45:01 AM,%RH,15.488
5/5/20 9:45:01 AM,%RH,16.115
5/5/20 10:45:01 AM,%RH,14.199
5/5/20 11:45:01 AM,%RH,13.345
5/5/20 12:45:01 PM,%RH,14.604
5/5/20 1:45:01 PM,%RH,12.28
5/5/20 2:45:01 PM,%RH,14.281
5/5/20 3:45:01 PM,%RH,16.477
5/5/20 4:45:01 PM,%RH,15.292
5/5/20 5:45:01 PM,%RH,24.368
5/5/20 6:45:01 PM,%RH,31.02
5/5/20 7:45:01 PM,%RH,51.46
5/5/20 8:45:01 PM,%RH,33.45
5/5/20 9:45:01 PM,%RH,34.709
5/5/20 10:45:01 PM,%RH,32.719
5/5/20 11:45:01 PM,%RH,27.893
5/6/20 12:45:01 AM,%RH,29.231
5/6/20 1:45:01 AM,%RH,29.873
5/6/20 2:45:01 AM,%RH,28.386
5/6/20 3:45:01 AM,%RH,28.386
5/6/20 4:45:01 AM,%RH,28.336
5/6/20 5:45:01 AM,%RH,26.939
5/6/20 6:45:01 AM,%RH,33.746
5/6/20 7:45:01 AM,%RH,20.674
5/6/20 8:45:01 AM,%RH,16.769
5/6/20 9:45:01 AM,%RH,11.516
5/6/20 10:45:01 AM,%RH,10.872
5/6/20 11:45:01 AM,%RH,11.431
5/6/20 12:45:01 PM,%RH,12.774
5/6/20 1:45:01 PM,%RH,12.453
5/6/20 2:45:01 PM,%RH,14.281
5/6/20 3:45:01 PM,%RH,14.936
5/6/20 4:45:01 PM,%RH,17.25
5/6/20 5:45:01 PM,%RH,21.523
5/6/20 6:45:01 PM,%RH,22.077
5/6/20 7:45:01 PM,%RH,21.863
5/6/20 8:45:01 PM,%RH,24.49
5/6/20 9:45:01 PM,%RH,22.362
5/6/20 10:45:01 PM,%RH,22.967
5/6/20 11:45:01 PM,%RH,26.838
5/7/20 12:45:01 AM,%RH,22.042
5/7/20 1:45:01 AM,%RH,21.381
5/7/20 2:45:01 AM,%RH,22.149
5/7/20 3:45:01 AM,%RH,30.817
5/7/20 4:45:01 AM,%RH,50.987
5/7/20 5:45:01 AM,%RH,48.124
5/7/20 6:45:01 AM,%RH,38.292
5/7/20 7:45:01 AM,%RH,21.127
5/7/20 8:45:01 AM,%RH,15.39
5/7/20 9:45:01 AM,%RH,15.22
5/7/20 10:45:01 AM,%RH,12.045
5/7/20 11:45:01 AM,%RH,9.329
5/7/20 12:45:01 PM,%RH,9.405
5/7/20 1:45:01 PM,%RH,12.322
5/7/20 2:45:01 PM,%RH,10.709
5/7/20 3:45:01 PM,%RH,16.623
5/7/20 4:45:01 PM,%RH,24.909
5/7/20 5:45:01 PM,%RH,34.694
5/7/20 6:45:01 PM,%RH,38.457
5/7/20 7:45:01 PM,%RH,47.199
5/7/20 8:45:01 PM,%RH,63.422
5/7/20 9:45:01 PM,%RH,77.351
5/7/20 10:45:01 PM,%RH,79.338
5/7/20 11:45:01 PM,%RH,76.879
5/8/20 12:45:01 AM,%RH,80.79
5/8/20 1:45:01 AM,%RH,85.535
5/8/20 2:45:01 AM,%RH,85.047
5/8/20 3:45:01 AM,%RH,86.986
5/8/20 4:45:01 AM,%RH,93.257
5/8/20 5:45:01 AM,%RH,90.968
5/8/20 6:45:01 AM,%RH,91.623
5/8/20 7:45:01 AM,%RH,33.444
5/8/20 8:45:01 AM,%RH,22.653
5/8/20 9:45:01 AM,%RH,17.468
5/8/20 10:45:01 AM,%RH,13.979
5/8/20 11:45:01 AM,%RH,14.65
5/8/20 12:45:01 PM,%RH,18.113
5/8/20 1:45:01 PM,%RH,15.827
5/8/20 2:45:01 PM,%RH,15.078
5/8/20 3:45:01 PM,%RH,22.148
5/8/20 4:45:01 PM,%RH,28.009
5/8/20 5:45:01 PM,%RH,39.276
5/8/20 6:45:01 PM,%RH,48.014
5/8/20 7:45:01 PM,%RH,57.076
5/8/20 8:45:01 PM,%RH,75.264
5/8/20 9:45:01 PM,%RH,86.166
5/8/20 10:45:01 PM,%RH,95.245
5/8/20 11:45:01 PM,%RH,99.887
5/9/20 12:45:01 AM,%RH,100.19
5/9/20 1:45:01 AM,%RH,101.444
5/9/20 2:45:01 AM,%RH,97.748
5/9/20 3:45:01 AM,%RH,100.134
5/9/20 4:45:01 AM,%RH,94.994
5/9/20 5:45:01 AM,%RH,98.757
5/9/20 6:45:01 AM,%RH,97.253
5/9/20 7:45:01 AM,%RH,45.65
5/9/20 8:45:01 AM,%RH,24.695
5/9/20 9:45:01 AM,%RH,18.803
5/9/20 10:45:01 AM,%RH,18.854
5/9/20 11:45:01 AM,%RH,23.65
5/9/20 12:45:01 PM,%RH,24.863
5/9/20 1:45:01 PM,%RH,25.521
5/9/20 2:45:01 PM,%RH,24.919
5/9/20 3:45:01 PM,%RH,22.093
5/9/20 4:45:01 PM,%RH,25.24
5/9/20 5:45:01 PM,%RH,43.113
5/9/20 6:45:01 PM,%RH,63.185
5/9/20 7:45:01 PM,%RH,77.502
5/9/20 8:45:01 PM,%RH,93.556
5/9/20 9:45:01 PM,%RH,98.879
5/9/20 10:45:01 PM,%RH,101.626
5/9/20 11:45:01 PM,%RH,102.927
5/10/20 12:45:01 AM,%RH,103.088
5/10/20 1:45:01 AM,%RH,101.444
5/10/20 2:45:01 AM,%RH,101.444
5/10/20 3:45:01 AM,%RH,102.475
5/10/20 4:45:01 AM,%RH,103.29
5/10/20 5:45:01 AM,%RH,103.694
5/10/20 6:45:01 AM,%RH,102.68
5/10/20 7:45:01 AM,%RH,59.678
5/10/20 8:45:01 AM,%RH,46.074
5/10/20 9:45:01 AM,%RH,29.467
5/10/20 10:45:01 AM,%RH,25.09
5/10/20 11:45:01 AM,%RH,22.927
5/10/20 12:45:01 PM,%RH,24.919
5/10/20 1:45:01 PM,%RH,27.534
5/10/20 2:45:01 PM,%RH,28.066
5/10/20 3:45:01 PM,%RH,33.442
5/10/20 4:45:01 PM,%RH,39.166
5/10/20 5:45:01 PM,%RH,68.799
5/10/20 6:45:01 PM,%RH,80.657
5/10/20 7:45:01 PM,%RH,92.611
5/10/20 8:45:01 PM,%RH,97.019
5/10/20 9:45:01 PM,%RH,101.904
5/10/20 10:45:01 PM,%RH,102.059
5/10/20 11:45:01 PM,%RH,96.663
5/11/20 12:45:01 AM,%RH,96.221
5/11/20 1:45:01 AM,%RH,94.883
5/11/20 2:45:01 AM,%RH,96.221
5/11/20 3:45:01 AM,%RH,97.893
5/11/20 4:45:01 AM,%RH,98.326
5/11/20 5:45:01 AM,%RH,99.616
5/11/20 6:45:01 AM,%RH,96.353
5/11/20 7:45:01 AM,%RH,76.473
5/11/20 8:45:01 AM,%RH,56.147
5/11/20 9:45:01 AM,%RH,26.006
5/11/20 10:45:01 AM,%RH,26.714
5/11/20 11:45:01 AM,%RH,27.363
5/11/20 12:45:01 PM,%RH,26.062
5/11/20 1:45:01 PM,%RH,26.544
5/11/20 2:45:01 PM,%RH,29.294
5/11/20 3:45:01 PM,%RH,34.573
5/11/20 4:45:01 PM,%RH,36.878
5/11/20 5:45:01 PM,%RH,62.974
5/11/20 6:45:01 PM,%RH,74.2
5/11/20 7:45:01 PM,%RH,85.913
5/11/20 8:45:01 PM,%RH,94.042
5/11/20 9:45:01 PM,%RH,99.527
5/11/20 10:45:01 PM,%RH,101.562
5/11/20 11:45:01 PM,%RH,103.033
5/12/20 12:45:01 AM,%RH,104.097
5/12/20 1:45:01 AM,%RH,104.193
5/12/20 2:45:01 AM,%RH,104.144
5/12/20 3:45:01 AM,%RH,101.76
5/12/20 4:45:01 AM,%RH,98.449
5/12/20 5:45:01 AM,%RH,100.792
5/12/20 6:45:01 AM,%RH,94.641
5/12/20 7:45:01 AM,%RH,83.745
5/12/20 8:45:01 AM,%RH,40.598
5/12/20 9:45:01 AM,%RH,23.98
5/12/20 10:45:01 AM,%RH,26.657
5/12/20 11:45:01 AM,%RH,30.57
5/12/20 12:45:01 PM,%RH,31.147
5/12/20 1:45:01 PM,%RH,30.627
5/12/20 2:45:01 PM,%RH,33.151
5/12/20 3:45:01 PM,%RH,34.289
5/12/20 4:45:01 PM,%RH,38.773
5/12/20 5:45:01 PM,%RH,55.752
5/12/20 6:45:01 PM,%RH,65.196
5/12/20 7:45:01 PM,%RH,71.387
5/12/20 8:45:01 PM,%RH,77.119
5/12/20 9:45:01 PM,%RH,80.714
5/12/20 10:45:01 PM,%RH,89.765
5/12/20 11:45:01 PM,%RH,93.885
5/13/20 12:45:01 AM,%RH,100.501
5/13/20 1:45:01 AM,%RH,102.348
5/13/20 2:45:01 AM,%RH,104.053
5/13/20 3:45:01 AM,%RH,104.373
5/13/20 4:45:01 AM,%RH,104.772
5/13/20 5:45:01 AM,%RH,104.673
5/13/20 6:45:01 AM,%RH,104.896
5/13/20 7:45:01 AM,%RH,48.108
5/13/20 8:45:01 AM,%RH,28.596
5/13/20 9:45:01 AM,%RH,22.381
5/13/20 10:45:01 AM,%RH,20.587
5/13/20 11:45:01 AM,%RH,20.64
5/13/20 12:45:01 PM,%RH,21.769
5/13/20 1:45:01 PM,%RH,25.129
5/13/20 2:45:01 PM,%RH,25.184
5/13/20 3:45:01 PM,%RH,28.426
5/13/20 4:45:01 PM,%RH,30.813
5/13/20 5:45:01 PM,%RH,55.248
5/13/20 6:45:01 PM,%RH,62.886
5/13/20 7:45:01 PM,%RH,70.279
5/13/20 8:45:01 PM,%RH,80.79
5/13/20 9:45:01 PM,%RH,89.978
5/13/20 10:45:01 PM,%RH,97.686
5/13/20 11:45:01 PM,%RH,101.335
5/14/20 12:45:01 AM,%RH,97.466
5/14/20 1:45:01 AM,%RH,101.237
5/14/20 2:45:01 AM,%RH,102.797
5/14/20 3:45:01 AM,%RH,103.569
5/14/20 4:45:01 AM,%RH,103.972
5/14/20 5:45:01 AM,%RH,104.337
5/14/20 6:45:01 AM,%RH,102.162
5/14/20 7:45:01 AM,%RH,37.493
5/14/20 8:45:01 AM,%RH,34.857
5/14/20 9:45:01 AM,%RH,25.129
5/14/20 10:45:01 AM,%RH,20.587
5/14/20 11:45:01 AM,%RH,19.648
5/14/20 12:45:01 PM,%RH,20.068
5/14/20 1:45:01 PM,%RH,20.64
5/14/20 2:45:01 PM,%RH,20.015
5/14/20 3:45:01 PM,%RH,19.753
5/14/20 4:45:01 PM,%RH,22.72
5/14/20 5:45:01 PM,%RH,38.161
5/14/20 6:45:01 PM,%RH,41.984
5/14/20 7:45:01 PM,%RH,49.463
5/14/20 8:45:01 PM,%RH,46.276
5/14/20 9:45:01 PM,%RH,48.123
5/14/20 10:45:01 PM,%RH,48.194
5/14/20 11:45:01 PM,%RH,56.765
5/15/20 12:45:01 AM,%RH,53.808
5/15/20 1:45:01 AM,%RH,55.041
5/15/20 2:45:01 AM,%RH,62.176
5/15/20 3:45:01 AM,%RH,59.84
5/15/20 4:45:01 AM,%RH,62.488
5/15/20 5:45:01 AM,%RH,64.527
5/15/20 6:45:01 AM,%RH,59.214
5/15/20 7:45:01 AM,%RH,34.535
5/15/20 8:45:01 AM,%RH,28.204
5/15/20 9:45:01 AM,%RH,23.045
5/15/20 10:45:01 AM,%RH,21.153
5/15/20 11:45:01 AM,%RH,17.759
5/15/20 12:45:01 PM,%RH,17.12
5/15/20 1:45:01 PM,%RH,16.427
5/15/20 2:45:01 PM,%RH,16.329
5/15/20 3:45:01 PM,%RH,16.97
5/15/20 4:45:01 PM,%RH,20.727
5/15/20 5:45:01 PM,%RH,33.6
5/15/20 6:45:01 PM,%RH,34.178
5/15/20 7:45:01 PM,%RH,34.709
5/15/20 8:45:01 PM,%RH,36.589
5/15/20 9:45:01 PM,%RH,34.613
5/15/20 10:45:01 PM,%RH,37.838
5/15/20 11:45:01 PM,%RH,41.608
5/16/20 12:45:01 AM,%RH,46.401
5/16/20 1:45:01 AM,%RH,54.626
5/16/20 2:45:01 AM,%RH,64.967
5/16/20 3:45:01 AM,%RH,62.488
5/16/20 4:45:01 AM,%RH,62.263
5/16/20 5:45:01 AM,%RH,62.91
5/16/20 6:45:01 AM,%RH,71.126
5/16/20 7:45:01 AM,%RH,33.444
5/16/20 8:45:01 AM,%RH,21.153
5/16/20 9:45:01 AM,%RH,17.419
5/16/20 10:45:01 AM,%RH,17.369
5/16/20 11:45:01 AM,%RH,16.574
5/16/20 12:45:01 PM,%RH,17.961
5/16/20 1:45:01 PM,%RH,17.22
5/16/20 2:45:01 PM,%RH,20.226
5/16/20 3:45:01 PM,%RH,23.373
5/16/20 4:45:01 PM,%RH,27.534
5/16/20 5:45:01 PM,%RH,37.843
5/16/20 6:45:01 PM,%RH,44.72
5/16/20 7:45:01 PM,%RH,53.981
5/16/20 8:45:01 PM,%RH,65.13
5/16/20 9:45:01 PM,%RH,78.672
5/16/20 10:45:01 PM,%RH,85.465
5/16/20 11:45:01 PM,%RH,87.057
5/17/20 12:45:01 AM,%RH,88.892
5/17/20 1:45:01 AM,%RH,93.319
5/17/20 2:45:01 AM,%RH,94.733
5/17/20 3:45:01 AM,%RH,96.701
5/17/20 4:45:01 AM,%RH,98.918
5/17/20 5:45:01 AM,%RH,100.919
5/17/20 6:45:01 AM,%RH,100.085
5/17/20 7:45:01 AM,%RH,45.751
5/17/20 8:45:01 AM,%RH,28.653
5/17/20 9:45:01 AM,%RH,26.601
5/17/20 10:45:01 AM,%RH,21.368
5/17/20 11:45:01 AM,%RH,29.124
5/17/20 12:45:01 PM,%RH,24.035
5/17/20 1:45:01 PM,%RH,20.693
5/17/20 2:45:01 PM,%RH,22.708
5/17/20 3:45:01 PM,%RH,27.363
5/17/20 4:45:01 PM,%RH,27.671
5/17/20 5:45:01 PM,%RH,49.822
5/17/20 6:45:01 PM,%RH,59.45
5/17/20 7:45:01 PM,%RH,68.64
