1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:54:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 21:54:01 PDT 2020
Total Mission Samples:  6345
Total Device Samples:  15135
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 9:54:01 PM,F,68.185
5/4/20 10:54:01 PM,F,64.581
5/4/20 11:54:01 PM,F,57.37
5/5/20 12:54:01 AM,F,54.665
5/5/20 1:54:01 AM,F,51.958
5/5/20 2:54:01 AM,F,50.154
5/5/20 3:54:01 AM,F,48.349
5/5/20 4:54:01 AM,F,53.763
5/5/20 5:54:01 AM,F,51.958
5/5/20 6:54:01 AM,F,67.284
5/5/20 7:54:01 AM,F,99.669
5/5/20 8:54:01 AM,F,111.339
5/5/20 9:54:01 AM,F,121.205
5/5/20 10:54:01 AM,F,127.478
5/5/20 11:54:01 AM,F,129.27
5/5/20 12:54:01 PM,F,123.894
5/5/20 1:54:01 PM,F,123.894
5/5/20 2:54:01 PM,F,113.134
5/5/20 3:54:01 PM,F,96.974
5/5/20 4:54:01 PM,F,88.885
5/5/20 5:54:01 PM,F,82.589
5/5/20 6:54:01 PM,F,74.489
5/5/20 7:54:01 PM,F,64.581
5/5/20 8:54:01 PM,F,71.788
5/5/20 9:54:01 PM,F,71.788
5/5/20 10:54:01 PM,F,70.887
5/5/20 11:54:01 PM,F,70.887
5/6/20 12:54:01 AM,F,70.887
5/6/20 1:54:01 AM,F,68.185
5/6/20 2:54:01 AM,F,67.284
5/6/20 3:54:01 AM,F,68.185
5/6/20 4:54:01 AM,F,67.284
5/6/20 5:54:01 AM,F,67.284
5/6/20 6:54:01 AM,F,69.987
5/6/20 7:54:01 AM,F,100.567
5/6/20 8:54:01 AM,F,107.75
5/6/20 9:54:01 AM,F,117.619
5/6/20 10:54:01 AM,F,117.619
5/6/20 11:54:01 AM,F,120.308
5/6/20 12:54:01 PM,F,116.722
5/6/20 1:54:01 PM,F,114.031
5/6/20 2:54:01 PM,F,114.031
5/6/20 3:54:01 PM,F,96.974
5/6/20 4:54:01 PM,F,87.086
5/6/20 5:54:01 PM,F,82.589
5/6/20 6:54:01 PM,F,79.89
5/6/20 7:54:01 PM,F,77.19
5/6/20 8:54:01 PM,F,73.589
5/6/20 9:54:01 PM,F,72.688
5/6/20 10:54:01 PM,F,70.887
5/6/20 11:54:01 PM,F,62.779
5/7/20 12:54:01 AM,F,68.185
5/7/20 1:54:01 AM,F,67.284
5/7/20 2:54:01 AM,F,69.987
5/7/20 3:54:01 AM,F,57.37
5/7/20 4:54:01 AM,F,53.763
5/7/20 5:54:01 AM,F,56.468
5/7/20 6:54:01 AM,F,67.284
5/7/20 7:54:01 AM,F,99.669
5/7/20 8:54:01 AM,F,106.852
5/7/20 9:54:01 AM,F,122.101
5/7/20 10:54:01 AM,F,126.582
5/7/20 11:54:01 AM,F,122.998
5/7/20 12:54:01 PM,F,126.582
5/7/20 1:54:01 PM,F,129.27
5/7/20 2:54:01 PM,F,119.412
5/7/20 3:54:01 PM,F,101.465
5/7/20 4:54:01 PM,F,86.187
5/7/20 5:54:01 PM,F,81.689
5/7/20 6:54:01 PM,F,76.29
