1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:49:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 01:49:01 PDT 2020
Total Mission Samples:  6349
Total Device Samples:  14370
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 1:49:01 AM,%RH,50.019
5/5/20 2:49:01 AM,%RH,52.475
5/5/20 3:49:01 AM,%RH,53.017
5/5/20 4:49:01 AM,%RH,46.992
5/5/20 5:49:01 AM,%RH,47.543
5/5/20 6:49:01 AM,%RH,51.39
5/5/20 7:49:01 AM,%RH,27.783
5/5/20 8:49:01 AM,%RH,22.374
5/5/20 9:49:01 AM,%RH,18.286
5/5/20 10:49:01 AM,%RH,17.895
5/5/20 11:49:01 AM,%RH,16.54
5/5/20 12:49:01 PM,%RH,13.853
5/5/20 1:49:01 PM,%RH,11.757
5/5/20 2:49:01 PM,%RH,14.421
5/5/20 3:49:01 PM,%RH,16.19
5/5/20 4:49:01 PM,%RH,17.332
5/5/20 5:49:01 PM,%RH,25.045
5/5/20 6:49:01 PM,%RH,34.543
5/5/20 7:49:01 PM,%RH,48.246
5/5/20 8:49:01 PM,%RH,34.952
5/5/20 9:49:01 PM,%RH,32.921
5/5/20 10:49:01 PM,%RH,36.03
5/5/20 11:49:01 PM,%RH,29.49
5/6/20 12:49:01 AM,%RH,31.445
5/6/20 1:49:01 AM,%RH,32.062
5/6/20 2:49:01 AM,%RH,30.109
5/6/20 3:49:01 AM,%RH,28.047
5/6/20 4:49:01 AM,%RH,26.021
5/6/20 5:49:01 AM,%RH,26.647
5/6/20 6:49:01 AM,%RH,37.035
5/6/20 7:49:01 AM,%RH,26.077
5/6/20 8:49:01 AM,%RH,17.871
5/6/20 9:49:01 AM,%RH,15.687
5/6/20 10:49:01 AM,%RH,13.187
5/6/20 11:49:01 AM,%RH,11.977
5/6/20 12:49:01 PM,%RH,10.011
5/6/20 1:49:01 PM,%RH,11.802
5/6/20 2:49:01 PM,%RH,10.698
5/6/20 3:49:01 PM,%RH,13.806
5/6/20 4:49:01 PM,%RH,17.28
5/6/20 5:49:01 PM,%RH,20.897
5/6/20 6:49:01 PM,%RH,19.309
5/6/20 7:49:01 PM,%RH,21.155
5/6/20 8:49:01 PM,%RH,22.991
5/6/20 9:49:01 PM,%RH,22.256
5/6/20 10:49:01 PM,%RH,20.833
5/6/20 11:49:01 PM,%RH,26.596
5/7/20 12:49:01 AM,%RH,22.619
5/7/20 1:49:01 AM,%RH,21.989
5/7/20 2:49:01 AM,%RH,22.042
5/7/20 3:49:01 AM,%RH,35.631
5/7/20 4:49:01 AM,%RH,44.226
5/7/20 5:49:01 AM,%RH,46.108
5/7/20 6:49:01 AM,%RH,44.377
5/7/20 7:49:01 AM,%RH,25.918
5/7/20 8:49:01 AM,%RH,21.743
5/7/20 9:49:01 AM,%RH,17.793
5/7/20 10:49:01 AM,%RH,13.233
5/7/20 11:49:01 AM,%RH,9.851
5/7/20 12:49:01 PM,%RH,9.126
5/7/20 1:49:01 PM,%RH,8.36
5/7/20 2:49:01 PM,%RH,8.321
5/7/20 3:49:01 PM,%RH,19.572
5/7/20 4:49:01 PM,%RH,26.507
5/7/20 5:49:01 PM,%RH,31.043
5/7/20 6:49:01 PM,%RH,35.961
5/7/20 7:49:01 PM,%RH,46.552
5/7/20 8:49:01 PM,%RH,63.525
5/7/20 9:49:01 PM,%RH,72.364
5/7/20 10:49:01 PM,%RH,74.224
5/7/20 11:49:01 PM,%RH,78.066
5/8/20 12:49:01 AM,%RH,81.846
5/8/20 1:49:01 AM,%RH,81.698
5/8/20 2:49:01 AM,%RH,84.343
5/8/20 3:49:01 AM,%RH,84.814
5/8/20 4:49:01 AM,%RH,86.293
5/8/20 5:49:01 AM,%RH,88.89
5/8/20 6:49:01 AM,%RH,84.814
5/8/20 7:49:01 AM,%RH,47.275
5/8/20 8:49:01 AM,%RH,31.709
5/8/20 9:49:01 AM,%RH,23.653
5/8/20 10:49:01 AM,%RH,19.624
5/8/20 11:49:01 AM,%RH,18.441
5/8/20 12:49:01 PM,%RH,19.294
5/8/20 1:49:01 PM,%RH,17.092
5/8/20 2:49:01 PM,%RH,16.391
5/8/20 3:49:01 PM,%RH,26.949
5/8/20 4:49:01 PM,%RH,31.874
5/8/20 5:49:01 PM,%RH,34.856
5/8/20 6:49:01 PM,%RH,48.585
5/8/20 7:49:01 PM,%RH,58.24
5/8/20 8:49:01 PM,%RH,74.713
5/8/20 9:49:01 PM,%RH,80.988
5/8/20 10:49:01 PM,%RH,87.172
5/8/20 11:49:01 PM,%RH,91.71
5/9/20 12:49:01 AM,%RH,92.621
5/9/20 1:49:01 AM,%RH,93.596
5/9/20 2:49:01 AM,%RH,94.113
5/9/20 3:49:01 AM,%RH,94.569
5/9/20 4:49:01 AM,%RH,95.997
5/9/20 5:49:01 AM,%RH,97.017
5/9/20 6:49:01 AM,%RH,96.676
5/9/20 7:49:01 AM,%RH,56.472
5/9/20 8:49:01 AM,%RH,37.535
5/9/20 9:49:01 AM,%RH,26.837
5/9/20 10:49:01 AM,%RH,30.82
5/9/20 11:49:01 AM,%RH,33.486
5/9/20 12:49:01 PM,%RH,29.091
5/9/20 1:49:01 PM,%RH,27.57
5/9/20 2:49:01 PM,%RH,28.302
5/9/20 3:49:01 PM,%RH,27.514
5/9/20 4:49:01 PM,%RH,29.201
5/9/20 5:49:01 PM,%RH,40.679
5/9/20 6:49:01 PM,%RH,60.294
5/9/20 7:49:01 PM,%RH,77.667
5/9/20 8:49:01 PM,%RH,86.55
5/9/20 9:49:01 PM,%RH,93.039
5/9/20 10:49:01 PM,%RH,95.471
5/9/20 11:49:01 PM,%RH,97.374
5/10/20 12:49:01 AM,%RH,98.198
5/10/20 1:49:01 AM,%RH,98.645
5/10/20 2:49:01 AM,%RH,98.589
5/10/20 3:49:01 AM,%RH,98.99
5/10/20 4:49:01 AM,%RH,99.994
5/10/20 5:49:01 AM,%RH,99.994
5/10/20 6:49:01 AM,%RH,98.645
5/10/20 7:49:01 AM,%RH,81.56
5/10/20 8:49:01 AM,%RH,60.899
5/10/20 9:49:01 AM,%RH,45.229
5/10/20 10:49:01 AM,%RH,40.84
5/10/20 11:49:01 AM,%RH,32.707
5/10/20 12:49:01 PM,%RH,32.214
5/10/20 1:49:01 PM,%RH,32.822
5/10/20 2:49:01 PM,%RH,35.788
5/10/20 3:49:01 PM,%RH,45.282
5/10/20 4:49:01 PM,%RH,54.965
5/10/20 5:49:01 PM,%RH,66.179
5/10/20 6:49:01 PM,%RH,78.216
5/10/20 7:49:01 PM,%RH,87.651
5/10/20 8:49:01 PM,%RH,91.632
5/10/20 9:49:01 PM,%RH,96.132
5/10/20 10:49:01 PM,%RH,95.264
5/10/20 11:49:01 PM,%RH,92.528
5/11/20 12:49:01 AM,%RH,93.064
5/11/20 1:49:01 AM,%RH,93.064
5/11/20 2:49:01 AM,%RH,94.131
5/11/20 3:49:01 AM,%RH,95.193
5/11/20 4:49:01 AM,%RH,94.663
5/11/20 5:49:01 AM,%RH,95.347
5/11/20 6:49:01 AM,%RH,92.525
5/11/20 7:49:01 AM,%RH,78.766
5/11/20 8:49:01 AM,%RH,67.268
5/11/20 9:49:01 AM,%RH,43.793
5/11/20 10:49:01 AM,%RH,40.084
5/11/20 11:49:01 AM,%RH,38.839
5/11/20 12:49:01 PM,%RH,32.539
5/11/20 1:49:01 PM,%RH,34.415
5/11/20 2:49:01 PM,%RH,40.192
5/11/20 3:49:01 PM,%RH,47.562
5/11/20 4:49:01 PM,%RH,49.215
5/11/20 5:49:01 PM,%RH,60.103
5/11/20 6:49:01 PM,%RH,72.427
5/11/20 7:49:01 PM,%RH,82.659
5/11/20 8:49:01 PM,%RH,87.632
5/11/20 9:49:01 PM,%RH,94.304
5/11/20 10:49:01 PM,%RH,95.779
5/11/20 11:49:01 PM,%RH,97.578
5/12/20 12:49:01 AM,%RH,97.98
5/12/20 1:49:01 AM,%RH,99.543
5/12/20 2:49:01 AM,%RH,96.356
5/12/20 3:49:01 AM,%RH,94.958
5/12/20 4:49:01 AM,%RH,93.927
5/12/20 5:49:01 AM,%RH,97.882
5/12/20 6:49:01 AM,%RH,92.519
5/12/20 7:49:01 AM,%RH,84.889
5/12/20 8:49:01 AM,%RH,52.72
5/12/20 9:49:01 AM,%RH,39.926
5/12/20 10:49:01 AM,%RH,39.382
5/12/20 11:49:01 AM,%RH,39.382
5/12/20 12:49:01 PM,%RH,40.626
5/12/20 1:49:01 PM,%RH,42.614
5/12/20 2:49:01 PM,%RH,44.382
5/12/20 3:49:01 PM,%RH,43.793
5/12/20 4:49:01 PM,%RH,48.585
5/12/20 5:49:01 PM,%RH,55.747
5/12/20 6:49:01 PM,%RH,62.973
5/12/20 7:49:01 PM,%RH,67.688
5/12/20 8:49:01 PM,%RH,71.306
5/12/20 9:49:01 PM,%RH,76.393
5/12/20 10:49:01 PM,%RH,85.889
5/12/20 11:49:01 PM,%RH,89.827
5/13/20 12:49:01 AM,%RH,94.458
5/13/20 1:49:01 AM,%RH,96.407
5/13/20 2:49:01 AM,%RH,97.842
5/13/20 3:49:01 AM,%RH,99.356
5/13/20 4:49:01 AM,%RH,99.818
5/13/20 5:49:01 AM,%RH,100.282
