1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 080000006D9F9941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:51:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 22:51:01 PDT 2020
Total Mission Samples:  6346
Total Device Samples:  15186
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 10:51:01 PM,F,65.375
5/4/20 11:51:01 PM,F,51.857
5/5/20 12:51:01 AM,F,49.152
5/5/20 1:51:01 AM,F,46.447
5/5/20 2:51:01 AM,F,44.643
5/5/20 3:51:01 AM,F,42.839
5/5/20 4:51:01 AM,F,48.251
5/5/20 5:51:01 AM,F,44.643
5/5/20 6:51:01 AM,F,47.349
5/5/20 7:51:01 AM,F,95.071
5/5/20 8:51:01 AM,F,107.651
5/5/20 9:51:01 AM,F,115.733
5/5/20 10:51:01 AM,F,122.913
5/5/20 11:51:01 AM,F,122.913
5/5/20 12:51:01 PM,F,120.221
5/5/20 1:51:01 PM,F,116.631
5/5/20 2:51:01 PM,F,110.346
5/5/20 3:51:01 PM,F,103.16
5/5/20 4:51:01 PM,F,93.273
5/5/20 5:51:01 PM,F,80.681
5/5/20 6:51:01 PM,F,75.281
5/5/20 7:51:01 PM,F,59.97
5/5/20 8:51:01 PM,F,70.779
5/5/20 9:51:01 PM,F,69.879
5/5/20 10:51:01 PM,F,68.077
5/5/20 11:51:01 PM,F,68.978
5/6/20 12:51:01 AM,F,68.077
5/6/20 1:51:01 AM,F,66.276
5/6/20 2:51:01 AM,F,68.077
5/6/20 3:51:01 AM,F,66.276
5/6/20 4:51:01 AM,F,66.276
5/6/20 5:51:01 AM,F,66.276
5/6/20 6:51:01 AM,F,58.167
5/6/20 7:51:01 AM,F,91.475
5/6/20 8:51:01 AM,F,102.261
5/6/20 9:51:01 AM,F,115.733
5/6/20 10:51:01 AM,F,114.835
5/6/20 11:51:01 AM,F,115.733
5/6/20 12:51:01 PM,F,116.631
5/6/20 1:51:01 PM,F,108.549
5/6/20 2:51:01 PM,F,109.448
5/6/20 3:51:01 PM,F,101.363
5/6/20 4:51:01 PM,F,89.676
5/6/20 5:51:01 PM,F,82.48
5/6/20 6:51:01 PM,F,79.781
5/6/20 7:51:01 PM,F,76.181
5/6/20 8:51:01 PM,F,72.58
5/6/20 9:51:01 PM,F,72.58
5/6/20 10:51:01 PM,F,70.779
5/6/20 11:51:01 PM,F,60.871
5/7/20 12:51:01 AM,F,66.276
5/7/20 1:51:01 AM,F,67.177
5/7/20 2:51:01 AM,F,68.077
5/7/20 3:51:01 AM,F,53.66
5/7/20 4:51:01 AM,F,50.956
5/7/20 5:51:01 AM,F,51.857
5/7/20 6:51:01 AM,F,55.463
5/7/20 7:51:01 AM,F,91.475
