1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D0000006D9F6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:01:01 PDT 2020
Mission Sample Count:  2590
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:01:01 PDT 2020
Total Mission Samples:  2590
Total Device Samples:  11364
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:01:01 PM,%RH,103.84
4/10/20 6:01:01 PM,%RH,97.108
4/10/20 7:01:01 PM,%RH,98.708
4/10/20 8:01:01 PM,%RH,102.293
4/10/20 9:01:01 PM,%RH,101.349
4/10/20 10:01:01 PM,%RH,102.814
4/10/20 11:01:01 PM,%RH,102.345
4/11/20 12:01:01 AM,%RH,102.399
4/11/20 1:01:01 AM,%RH,103.558
4/11/20 2:01:01 AM,%RH,103.982
4/11/20 3:01:01 AM,%RH,103.442
4/11/20 4:01:01 AM,%RH,103.442
4/11/20 5:01:01 AM,%RH,103.478
4/11/20 6:01:01 AM,%RH,103.908
4/11/20 7:01:01 AM,%RH,103.982
4/11/20 8:01:01 AM,%RH,68.27
4/11/20 9:01:01 AM,%RH,45.106
4/11/20 10:01:01 AM,%RH,39.267
4/11/20 11:01:01 AM,%RH,35.938
4/11/20 12:01:01 PM,%RH,36.484
4/11/20 1:01:01 PM,%RH,36.136
4/11/20 2:01:01 PM,%RH,37.404
4/11/20 3:01:01 PM,%RH,49.24
4/11/20 4:01:01 PM,%RH,67.525
4/11/20 5:01:01 PM,%RH,69.741
4/11/20 6:01:01 PM,%RH,77.15
4/11/20 7:01:01 PM,%RH,84.582
4/11/20 8:01:01 PM,%RH,96.407
4/11/20 9:01:01 PM,%RH,99.551
4/11/20 10:01:01 PM,%RH,102.293
4/11/20 11:01:01 PM,%RH,101.725
4/12/20 12:01:01 AM,%RH,100.752
4/12/20 1:01:01 AM,%RH,101.701
4/12/20 2:01:01 AM,%RH,101.636
4/12/20 3:01:01 AM,%RH,101.701
4/12/20 4:01:01 AM,%RH,100.752
4/12/20 5:01:01 AM,%RH,102.174
4/12/20 6:01:01 AM,%RH,101.228
4/12/20 7:01:01 AM,%RH,101.769
4/12/20 8:01:01 AM,%RH,98.641
4/12/20 9:01:01 AM,%RH,89.158
