1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000006D9AC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Oct 22 16:00:01 PDT 2020
Mission Sample Count:  2807
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 22 16:00:01 PDT 2020
Total Mission Samples:  2807
Total Device Samples:  48657
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/22/20, 4:00:01 PM,%RH,52.132
10/22/20, 5:00:01 PM,%RH,67.509
10/22/20, 6:00:01 PM,%RH,80.424
10/22/20, 7:00:01 PM,%RH,90.527
10/22/20, 8:00:01 PM,%RH,96.578
10/22/20, 9:00:01 PM,%RH,99.688
10/22/20, 10:00:01 PM,%RH,102.741
10/22/20, 11:00:01 PM,%RH,101.816
10/23/20, 12:00:01 AM,%RH,101.688
10/23/20, 1:00:01 AM,%RH,102.613
10/23/20, 2:00:01 AM,%RH,101.563
10/23/20, 3:00:01 AM,%RH,102.028
10/23/20, 4:00:01 AM,%RH,101.173
10/23/20, 5:00:01 AM,%RH,99.291
10/23/20, 6:00:01 AM,%RH,97.941
10/23/20, 7:00:01 AM,%RH,96.093
10/23/20, 8:00:01 AM,%RH,94.632
10/23/20, 9:00:01 AM,%RH,87.918
10/23/20, 10:00:01 AM,%RH,79.306
10/23/20, 11:00:01 AM,%RH,70.355
10/23/20, 12:00:01 PM,%RH,58.66
10/23/20, 1:00:01 PM,%RH,38.486
10/23/20, 2:00:01 PM,%RH,44.107
10/23/20, 3:00:01 PM,%RH,55.634
10/23/20, 4:00:01 PM,%RH,58.62
10/23/20, 5:00:01 PM,%RH,68.031
10/23/20, 6:00:01 PM,%RH,82.034
10/23/20, 7:00:01 PM,%RH,93.105
10/23/20, 8:00:01 PM,%RH,95.527
10/23/20, 9:00:01 PM,%RH,99.142
10/23/20, 10:00:01 PM,%RH,100.485
10/23/20, 11:00:01 PM,%RH,101.42
10/24/20, 12:00:01 AM,%RH,101.024
10/24/20, 1:00:01 AM,%RH,100.885
10/24/20, 2:00:01 AM,%RH,101.751
10/24/20, 3:00:01 AM,%RH,101.816
10/24/20, 4:00:01 AM,%RH,101.884
10/24/20, 5:00:01 AM,%RH,101.097
10/24/20, 6:00:01 AM,%RH,100.235
10/24/20, 7:00:01 AM,%RH,98.34
10/24/20, 8:00:01 AM,%RH,95.203
10/24/20, 9:00:01 AM,%RH,91.565
10/24/20, 10:00:01 AM,%RH,76.025
10/24/20, 11:00:01 AM,%RH,55.104
10/24/20, 12:00:01 PM,%RH,45.885
10/24/20, 1:00:01 PM,%RH,46.426
10/24/20, 2:00:01 PM,%RH,47.706
10/24/20, 3:00:01 PM,%RH,54.396
10/24/20, 4:00:01 PM,%RH,59.19
10/24/20, 5:00:01 PM,%RH,66.83
10/24/20, 6:00:01 PM,%RH,79.818
10/24/20, 7:00:01 PM,%RH,87.691
10/24/20, 8:00:01 PM,%RH,88.436
10/24/20, 9:00:01 PM,%RH,88.204
10/24/20, 10:00:01 PM,%RH,86.662
10/24/20, 11:00:01 PM,%RH,88.632
10/25/20, 12:00:01 AM,%RH,93.906
10/25/20, 1:00:01 AM,%RH,92.577
10/25/20, 2:00:01 AM,%RH,91.58
10/25/20, 3:00:01 AM,%RH,91.58
10/25/20, 4:00:01 AM,%RH,93.489
10/25/20, 5:00:01 AM,%RH,95.449
10/25/20, 6:00:01 AM,%RH,93.981
10/25/20, 7:00:01 AM,%RH,95.449
10/25/20, 8:00:01 AM,%RH,91.16
10/25/20, 9:00:01 AM,%RH,85.256
10/25/20, 10:00:01 AM,%RH,75.379
10/25/20, 11:00:01 AM,%RH,64.465
10/25/20, 12:00:01 PM,%RH,42.211
10/25/20, 1:00:01 PM,%RH,54.312
10/25/20, 2:00:01 PM,%RH,58.507
10/25/20, 3:00:01 PM,%RH,66.749
10/25/20, 4:00:01 PM,%RH,65.568
10/25/20, 5:00:01 PM,%RH,69.03
10/25/20, 6:00:01 PM,%RH,75.324
10/25/20, 7:00:01 PM,%RH,78.655
10/25/20, 8:00:01 PM,%RH,85.312
10/25/20, 9:00:01 PM,%RH,92.144
10/25/20, 10:00:01 PM,%RH,94.969
10/25/20, 11:00:01 PM,%RH,93.2
10/26/20, 12:00:01 AM,%RH,97.923
10/26/20, 1:00:01 AM,%RH,98.28
10/26/20, 2:00:01 AM,%RH,100.114
10/26/20, 3:00:01 AM,%RH,28.778
10/26/20, 4:00:01 AM,%RH,17.084
10/26/20, 5:00:01 AM,%RH,16.862
10/26/20, 6:00:01 AM,%RH,15.382
10/26/20, 7:00:01 AM,%RH,16.565
10/26/20, 8:00:01 AM,%RH,15.456
10/26/20, 9:00:01 AM,%RH,15.001
10/26/20, 10:00:01 AM,%RH,12.52
10/26/20, 11:00:01 AM,%RH,11.184
10/26/20, 12:00:01 PM,%RH,10.797
10/26/20, 1:00:01 PM,%RH,8.552
10/26/20, 2:00:01 PM,%RH,7.965
10/26/20, 3:00:01 PM,%RH,7.842
10/26/20, 4:00:01 PM,%RH,7.965
10/26/20, 5:00:01 PM,%RH,7.904
10/26/20, 6:00:01 PM,%RH,6.85
10/26/20, 7:00:01 PM,%RH,8.325
10/26/20, 8:00:01 PM,%RH,12.132
10/26/20, 9:00:01 PM,%RH,20.277
10/26/20, 10:00:01 PM,%RH,24.261
10/26/20, 11:00:01 PM,%RH,27.587
10/27/20, 12:00:01 AM,%RH,32.424
10/27/20, 1:00:01 AM,%RH,42.289
10/27/20, 2:00:01 AM,%RH,41.143
10/27/20, 3:00:01 AM,%RH,37.912
10/27/20, 4:00:01 AM,%RH,43.305
10/27/20, 5:00:01 AM,%RH,35.297
10/27/20, 6:00:01 AM,%RH,28.045
10/27/20, 7:00:01 AM,%RH,24.114
10/27/20, 8:00:01 AM,%RH,18.581
10/27/20, 9:00:01 AM,%RH,12.192
10/27/20, 10:00:01 AM,%RH,8.204
10/27/20, 11:00:01 AM,%RH,8.31
10/27/20, 12:00:01 PM,%RH,7.981
10/27/20, 1:00:01 PM,%RH,9.4
10/27/20, 2:00:01 PM,%RH,10.797
10/27/20, 3:00:01 PM,%RH,11.967
10/27/20, 4:00:01 PM,%RH,13.357
10/27/20, 5:00:01 PM,%RH,13.907
10/27/20, 6:00:01 PM,%RH,17.154
10/27/20, 7:00:01 PM,%RH,20.025
10/27/20, 8:00:01 PM,%RH,20.49
10/27/20, 9:00:01 PM,%RH,20.572
10/27/20, 10:00:01 PM,%RH,21.808
10/27/20, 11:00:01 PM,%RH,23.112
10/28/20, 12:00:01 AM,%RH,25.699
10/28/20, 1:00:01 AM,%RH,27.587
10/28/20, 2:00:01 AM,%RH,26.838
10/28/20, 3:00:01 AM,%RH,28.863
10/28/20, 4:00:01 AM,%RH,32.063
10/28/20, 5:00:01 AM,%RH,34.569
10/28/20, 6:00:01 AM,%RH,34.051
10/28/20, 7:00:01 AM,%RH,38.221
10/28/20, 8:00:01 AM,%RH,24.222
10/28/20, 9:00:01 AM,%RH,18.532
10/28/20, 10:00:01 AM,%RH,17.436
10/28/20, 11:00:01 AM,%RH,12.94
10/28/20, 12:00:01 PM,%RH,12.568
10/28/20, 1:00:01 PM,%RH,12.034
10/28/20, 2:00:01 PM,%RH,12.889
10/28/20, 3:00:01 PM,%RH,18.2
10/28/20, 4:00:01 PM,%RH,24.955
10/28/20, 5:00:01 PM,%RH,30.883
10/28/20, 6:00:01 PM,%RH,35.233
10/28/20, 7:00:01 PM,%RH,42.404
10/28/20, 8:00:01 PM,%RH,53.604
10/28/20, 9:00:01 PM,%RH,59.939
10/28/20, 10:00:01 PM,%RH,59.871
10/28/20, 11:00:01 PM,%RH,56.218
10/29/20, 12:00:01 AM,%RH,48.312
10/29/20, 1:00:01 AM,%RH,52.505
10/29/20, 2:00:01 AM,%RH,51.21
10/29/20, 3:00:01 AM,%RH,44.402
10/29/20, 4:00:01 AM,%RH,45.532
