1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3900000069B71741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:19:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 23:19:01 PDT 2020
Total Mission Samples:  7486
Total Device Samples:  13990
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 11:19:01 PM,F,55.664
8/30/20, 12:19:01 AM,F,54.761
8/30/20, 1:19:01 AM,F,52.957
8/30/20, 2:19:01 AM,F,51.151
8/30/20, 3:19:01 AM,F,52.054
8/30/20, 4:19:01 AM,F,52.054
8/30/20, 5:19:01 AM,F,49.346
8/30/20, 6:19:01 AM,F,53.859
8/30/20, 7:19:01 AM,F,55.664
8/30/20, 8:19:01 AM,F,76.392
8/30/20, 9:19:01 AM,F,94.376
8/30/20, 10:19:01 AM,F,105.149
8/30/20, 11:19:01 AM,F,103.355
8/30/20, 12:19:01 PM,F,100.662
8/30/20, 1:19:01 PM,F,110.531
8/30/20, 2:19:01 PM,F,108.738
8/30/20, 3:19:01 PM,F,99.765
8/30/20, 4:19:01 PM,F,89.884
8/30/20, 5:19:01 PM,F,83.59
8/30/20, 6:19:01 PM,F,78.192
8/30/20, 7:19:01 PM,F,71.89
8/30/20, 8:19:01 PM,F,63.781
8/30/20, 9:19:01 PM,F,61.977
8/30/20, 10:19:01 PM,F,59.272
8/30/20, 11:19:01 PM,F,58.37
8/31/20, 12:19:01 AM,F,54.761
8/31/20, 1:19:01 AM,F,53.859
8/31/20, 2:19:01 AM,F,52.957
8/31/20, 3:19:01 AM,F,52.054
8/31/20, 4:19:01 AM,F,50.249
8/31/20, 5:19:01 AM,F,49.346
8/31/20, 6:19:01 AM,F,47.54
8/31/20, 7:19:01 AM,F,53.859
8/31/20, 8:19:01 AM,F,78.192
8/31/20, 9:19:01 AM,F,96.173
8/31/20, 10:19:01 AM,F,105.149
8/31/20, 11:19:01 AM,F,101.56
8/31/20, 12:19:01 PM,F,98.867
8/31/20, 1:19:01 PM,F,105.149
8/31/20, 2:19:01 PM,F,107.841
8/31/20, 3:19:01 PM,F,101.56
8/31/20, 4:19:01 PM,F,90.782
8/31/20, 5:19:01 PM,F,82.691
8/31/20, 6:19:01 PM,F,76.392
8/31/20, 7:19:01 PM,F,70.088
8/31/20, 8:19:01 PM,F,64.682
8/31/20, 9:19:01 PM,F,61.076
8/31/20, 10:19:01 PM,F,59.272
8/31/20, 11:19:01 PM,F,57.468
9/1/20, 12:19:01 AM,F,56.566
9/1/20, 1:19:01 AM,F,54.761
9/1/20, 2:19:01 AM,F,58.37
9/1/20, 3:19:01 AM,F,58.37
9/1/20, 4:19:01 AM,F,58.37
9/1/20, 5:19:01 AM,F,56.566
9/1/20, 6:19:01 AM,F,55.664
9/1/20, 7:19:01 AM,F,55.664
9/1/20, 8:19:01 AM,F,77.292
9/1/20, 9:19:01 AM,F,90.782
9/1/20, 10:19:01 AM,F,95.275
9/1/20, 11:19:01 AM,F,101.56
9/1/20, 12:19:01 PM,F,96.173
9/1/20, 1:19:01 PM,F,99.765
9/1/20, 2:19:01 PM,F,104.252
9/1/20, 3:19:01 PM,F,97.969
9/1/20, 4:19:01 PM,F,86.288
9/1/20, 5:19:01 PM,F,82.691
9/1/20, 6:19:01 PM,F,77.292
9/1/20, 7:19:01 PM,F,71.89
9/1/20, 8:19:01 PM,F,66.484
9/1/20, 9:19:01 PM,F,62.879
9/1/20, 10:19:01 PM,F,60.174
9/1/20, 11:19:01 PM,F,58.37
9/2/20, 12:19:01 AM,F,57.468
9/2/20, 1:19:01 AM,F,56.566
9/2/20, 2:19:01 AM,F,54.761
9/2/20, 3:19:01 AM,F,52.957
9/2/20, 4:19:01 AM,F,53.859
9/2/20, 5:19:01 AM,F,52.054
9/2/20, 6:19:01 AM,F,51.151
9/2/20, 7:19:01 AM,F,58.37
9/2/20, 8:19:01 AM,F,81.791
9/2/20, 9:19:01 AM,F,96.173
9/2/20, 10:19:01 AM,F,108.738
9/2/20, 11:19:01 AM,F,106.944
9/2/20, 12:19:01 PM,F,105.149
9/2/20, 1:19:01 PM,F,106.047
9/2/20, 2:19:01 PM,F,104.252
9/2/20, 3:19:01 PM,F,95.275
9/2/20, 4:19:01 PM,F,86.288
9/2/20, 5:19:01 PM,F,80.891
9/2/20, 6:19:01 PM,F,77.292
9/2/20, 7:19:01 PM,F,72.79
9/2/20, 8:19:01 PM,F,68.287
9/2/20, 9:19:01 PM,F,66.484
9/2/20, 10:19:01 PM,F,61.076
9/2/20, 11:19:01 PM,F,60.174
9/3/20, 12:19:01 AM,F,58.37
9/3/20, 1:19:01 AM,F,58.37
9/3/20, 2:19:01 AM,F,57.468
9/3/20, 3:19:01 AM,F,55.664
9/3/20, 4:19:01 AM,F,54.761
9/3/20, 5:19:01 AM,F,54.761
9/3/20, 6:19:01 AM,F,52.957
9/3/20, 7:19:01 AM,F,59.272
9/3/20, 8:19:01 AM,F,85.389
9/3/20, 9:19:01 AM,F,98.867
9/3/20, 10:19:01 AM,F,108.738
9/3/20, 11:19:01 AM,F,108.738
9/3/20, 12:19:01 PM,F,107.841
9/3/20, 1:19:01 PM,F,114.117
9/3/20, 2:19:01 PM,F,109.634
9/3/20, 3:19:01 PM,F,99.765
9/3/20, 4:19:01 PM,F,90.782
9/3/20, 5:19:01 PM,F,86.288
9/3/20, 6:19:01 PM,F,82.691
9/3/20, 7:19:01 PM,F,76.392
9/3/20, 8:19:01 PM,F,71.89
9/3/20, 9:19:01 PM,F,69.188
9/3/20, 10:19:01 PM,F,65.583
9/3/20, 11:19:01 PM,F,62.879
9/4/20, 12:19:01 AM,F,62.879
9/4/20, 1:19:01 AM,F,61.977
9/4/20, 2:19:01 AM,F,61.076
9/4/20, 3:19:01 AM,F,61.076
