1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000006DA0C041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:55:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 30 20:55:01 PDT 2020
Total Mission Samples:  9176
Total Device Samples:  17890
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/30/20, 8:55:01 PM,F,61.84
8/30/20, 9:55:01 PM,F,59.135
8/30/20, 10:55:01 PM,F,57.332
8/30/20, 11:55:01 PM,F,51.921
8/31/20, 12:55:01 AM,F,50.117
8/31/20, 1:55:01 AM,F,49.215
8/31/20, 2:55:01 AM,F,48.313
8/31/20, 3:55:01 AM,F,45.605
8/31/20, 4:55:01 AM,F,43.8
8/31/20, 5:55:01 AM,F,42.897
8/31/20, 6:55:01 AM,F,43.8
8/31/20, 7:55:01 AM,F,74.451
8/31/20, 8:55:01 AM,F,92.443
8/31/20, 9:55:01 AM,F,105.918
8/31/20, 10:55:01 AM,F,110.407
8/31/20, 11:55:01 AM,F,116.687
8/31/20, 12:55:01 PM,F,112.201
8/31/20, 1:55:01 PM,F,113.099
8/31/20, 2:55:01 PM,F,106.816
8/31/20, 3:55:01 PM,F,105.918
8/31/20, 4:55:01 PM,F,92.443
8/31/20, 5:55:01 PM,F,79.851
8/31/20, 6:55:01 PM,F,72.65
8/31/20, 7:55:01 PM,F,66.345
8/31/20, 8:55:01 PM,F,62.741
8/31/20, 9:55:01 PM,F,59.135
8/31/20, 10:55:01 PM,F,56.431
8/31/20, 11:55:01 PM,F,53.725
9/1/20, 12:55:01 AM,F,52.823
9/1/20, 1:55:01 AM,F,57.332
9/1/20, 2:55:01 AM,F,60.037
9/1/20, 3:55:01 AM,F,59.135
9/1/20, 4:55:01 AM,F,58.234
9/1/20, 5:55:01 AM,F,57.332
9/1/20, 6:55:01 AM,F,56.431
9/1/20, 7:55:01 AM,F,70.849
9/1/20, 8:55:01 AM,F,90.645
9/1/20, 9:55:01 AM,F,96.936
9/1/20, 10:55:01 AM,F,107.714
9/1/20, 11:55:01 AM,F,109.509
9/1/20, 12:55:01 PM,F,107.714
9/1/20, 1:55:01 PM,F,108.611
9/1/20, 2:55:01 PM,F,103.224
9/1/20, 3:55:01 PM,F,97.835
9/1/20, 4:55:01 PM,F,88.846
9/1/20, 5:55:01 PM,F,79.851
9/1/20, 6:55:01 PM,F,73.55
9/1/20, 7:55:01 PM,F,68.147
9/1/20, 8:55:01 PM,F,63.642
9/1/20, 9:55:01 PM,F,58.234
9/1/20, 10:55:01 PM,F,57.332
9/1/20, 11:55:01 PM,F,54.627
9/2/20, 12:55:01 AM,F,55.529
9/2/20, 1:55:01 AM,F,53.725
9/2/20, 2:55:01 AM,F,50.117
9/2/20, 3:55:01 AM,F,51.019
9/2/20, 4:55:01 AM,F,48.313
9/2/20, 5:55:01 AM,F,48.313
9/2/20, 6:55:01 AM,F,50.117
9/2/20, 7:55:01 AM,F,74.451
9/2/20, 8:55:01 AM,F,93.341
9/2/20, 9:55:01 AM,F,108.611
9/2/20, 10:55:01 AM,F,119.378
9/2/20, 11:55:01 AM,F,117.584
9/2/20, 12:55:01 PM,F,116.687
9/2/20, 1:55:01 PM,F,111.304
9/2/20, 2:55:01 PM,F,104.122
9/2/20, 3:55:01 PM,F,97.835
9/2/20, 4:55:01 PM,F,87.947
9/2/20, 5:55:01 PM,F,79.851
9/2/20, 6:55:01 PM,F,75.351
