1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 470000006CBA1941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:01:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 30 00:01:01 PDT 2020
Total Mission Samples:  9155
Total Device Samples:  16767
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/30/20, 12:01:01 AM,F,50.208
8/30/20, 1:01:01 AM,F,49.305
8/30/20, 2:01:01 AM,F,48.401
8/30/20, 3:01:01 AM,F,46.593
8/30/20, 4:01:01 AM,F,50.208
8/30/20, 5:01:01 AM,F,46.593
8/30/20, 6:01:01 AM,F,48.401
8/30/20, 7:01:01 AM,F,50.208
8/30/20, 8:01:01 AM,F,73.663
8/30/20, 9:01:01 AM,F,89.853
8/30/20, 10:01:01 AM,F,104.211
8/30/20, 11:01:01 AM,F,108.692
8/30/20, 12:01:01 PM,F,102.418
8/30/20, 1:01:01 PM,F,104.211
8/30/20, 2:01:01 PM,F,101.521
8/30/20, 3:01:01 PM,F,99.727
8/30/20, 4:01:01 PM,F,93.445
8/30/20, 5:01:01 PM,F,83.561
8/30/20, 6:01:01 PM,F,79.064
8/30/20, 7:01:01 PM,F,72.762
8/30/20, 8:01:01 PM,F,65.553
8/30/20, 9:01:01 PM,F,60.141
8/30/20, 10:01:01 PM,F,57.434
8/30/20, 11:01:01 PM,F,55.628
8/31/20, 12:01:01 AM,F,53.822
8/31/20, 1:01:01 AM,F,50.208
8/31/20, 2:01:01 AM,F,50.208
8/31/20, 3:01:01 AM,F,48.401
8/31/20, 4:01:01 AM,F,47.497
8/31/20, 5:01:01 AM,F,45.688
8/31/20, 6:01:01 AM,F,44.784
8/31/20, 7:01:01 AM,F,45.688
8/31/20, 8:01:01 AM,F,78.164
8/31/20, 9:01:01 AM,F,91.649
8/31/20, 10:01:01 AM,F,103.314
8/31/20, 11:01:01 AM,F,104.211
8/31/20, 12:01:01 PM,F,104.211
8/31/20, 1:01:01 PM,F,99.727
8/31/20, 2:01:01 PM,F,104.211
8/31/20, 3:01:01 PM,F,99.727
8/31/20, 4:01:01 PM,F,96.138
8/31/20, 5:01:01 PM,F,83.561
8/31/20, 6:01:01 PM,F,78.164
8/31/20, 7:01:01 PM,F,70.96
8/31/20, 8:01:01 PM,F,62.848
8/31/20, 9:01:01 PM,F,61.043
8/31/20, 10:01:01 PM,F,58.336
8/31/20, 11:01:01 PM,F,57.434
9/1/20, 12:01:01 AM,F,53.822
9/1/20, 1:01:01 AM,F,53.822
9/1/20, 2:01:01 AM,F,56.531
9/1/20, 3:01:01 AM,F,57.434
9/1/20, 4:01:01 AM,F,57.434
9/1/20, 5:01:01 AM,F,55.628
9/1/20, 6:01:01 AM,F,54.725
9/1/20, 7:01:01 AM,F,53.822
9/1/20, 8:01:01 AM,F,72.762
9/1/20, 9:01:01 AM,F,90.751
9/1/20, 10:01:01 AM,F,95.24
9/1/20, 11:01:01 AM,F,99.727
9/1/20, 12:01:01 PM,F,100.624
9/1/20, 1:01:01 PM,F,96.138
9/1/20, 2:01:01 PM,F,98.83
9/1/20, 3:01:01 PM,F,97.036
9/1/20, 4:01:01 PM,F,89.853
9/1/20, 5:01:01 PM,F,81.762
9/1/20, 6:01:01 PM,F,78.164
9/1/20, 7:01:01 PM,F,71.861
9/1/20, 8:01:01 PM,F,66.455
9/1/20, 9:01:01 PM,F,62.848
9/1/20, 10:01:01 PM,F,58.336
9/1/20, 11:01:01 PM,F,56.531
9/2/20, 12:01:01 AM,F,54.725
9/2/20, 1:01:01 AM,F,54.725
9/2/20, 2:01:01 AM,F,53.822
9/2/20, 3:01:01 AM,F,51.112
9/2/20, 4:01:01 AM,F,50.208
9/2/20, 5:01:01 AM,F,50.208
9/2/20, 6:01:01 AM,F,49.305
9/2/20, 7:01:01 AM,F,52.015
9/2/20, 8:01:01 AM,F,79.064
9/2/20, 9:01:01 AM,F,94.343
9/2/20, 10:01:01 AM,F,105.107
9/2/20, 11:01:01 AM,F,114.064
9/2/20, 12:01:01 PM,F,108.692
9/2/20, 1:01:01 PM,F,105.107
9/2/20, 2:01:01 PM,F,101.521
9/2/20, 3:01:01 PM,F,98.83
9/2/20, 4:01:01 PM,F,89.853
9/2/20, 5:01:01 PM,F,80.863
9/2/20, 6:01:01 PM,F,78.164
9/2/20, 7:01:01 PM,F,73.663
9/2/20, 8:01:01 PM,F,68.257
9/2/20, 9:01:01 PM,F,63.75
9/2/20, 10:01:01 PM,F,59.239
9/2/20, 11:01:01 PM,F,57.434
9/3/20, 12:01:01 AM,F,56.531
9/3/20, 1:01:01 AM,F,55.628
9/3/20, 2:01:01 AM,F,54.725
9/3/20, 3:01:01 AM,F,53.822
9/3/20, 4:01:01 AM,F,52.919
9/3/20, 5:01:01 AM,F,52.015
9/3/20, 6:01:01 AM,F,52.015
9/3/20, 7:01:01 AM,F,52.015
9/3/20, 8:01:01 AM,F,81.762
9/3/20, 9:01:01 AM,F,94.343
9/3/20, 10:01:01 AM,F,107.796
9/3/20, 11:01:01 AM,F,112.274
9/3/20, 12:01:01 PM,F,110.483
9/3/20, 1:01:01 PM,F,108.692
9/3/20, 2:01:01 PM,F,104.211
9/3/20, 3:01:01 PM,F,99.727
9/3/20, 4:01:01 PM,F,94.343
9/3/20, 5:01:01 PM,F,85.359
9/3/20, 6:01:01 PM,F,83.561
9/3/20, 7:01:01 PM,F,78.164
9/3/20, 8:01:01 PM,F,70.96
9/3/20, 9:01:01 PM,F,65.553
9/3/20, 10:01:01 PM,F,62.848
