1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D0000006D9F6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:01:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 22:01:01 PDT 2020
Total Mission Samples:  7485
Total Device Samples:  16259
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 10:01:01 PM,F,60.037
8/29/20, 11:01:01 PM,F,56.431
8/30/20, 12:01:01 AM,F,54.627
8/30/20, 1:01:01 AM,F,52.823
8/30/20, 2:01:01 AM,F,53.725
8/30/20, 3:01:01 AM,F,50.117
8/30/20, 4:01:01 AM,F,52.823
8/30/20, 5:01:01 AM,F,49.215
8/30/20, 6:01:01 AM,F,51.921
8/30/20, 7:01:01 AM,F,53.725
8/30/20, 8:01:01 AM,F,74.451
8/30/20, 9:01:01 AM,F,87.947
8/30/20, 10:01:01 AM,F,99.631
8/30/20, 11:01:01 AM,F,109.509
8/30/20, 12:01:01 PM,F,100.53
8/30/20, 1:01:01 PM,F,105.02
8/30/20, 2:01:01 PM,F,104.122
8/30/20, 3:01:01 PM,F,102.326
8/30/20, 4:01:01 PM,F,89.746
8/30/20, 5:01:01 PM,F,83.45
8/30/20, 6:01:01 PM,F,78.951
8/30/20, 7:01:01 PM,F,72.65
8/30/20, 8:01:01 PM,F,66.345
8/30/20, 9:01:01 PM,F,62.741
8/30/20, 10:01:01 PM,F,60.037
8/30/20, 11:01:01 PM,F,58.234
8/31/20, 12:01:01 AM,F,56.431
8/31/20, 1:01:01 AM,F,53.725
8/31/20, 2:01:01 AM,F,54.627
8/31/20, 3:01:01 AM,F,51.921
8/31/20, 4:01:01 AM,F,51.019
8/31/20, 5:01:01 AM,F,50.117
8/31/20, 6:01:01 AM,F,47.41
8/31/20, 7:01:01 AM,F,49.215
8/31/20, 8:01:01 AM,F,78.951
8/31/20, 9:01:01 AM,F,90.645
8/31/20, 10:01:01 AM,F,103.224
8/31/20, 11:01:01 AM,F,105.918
8/31/20, 12:01:01 PM,F,105.02
8/31/20, 1:01:01 PM,F,100.53
8/31/20, 2:01:01 PM,F,105.918
8/31/20, 3:01:01 PM,F,103.224
8/31/20, 4:01:01 PM,F,92.443
8/31/20, 5:01:01 PM,F,83.45
8/31/20, 6:01:01 PM,F,78.951
8/31/20, 7:01:01 PM,F,70.849
8/31/20, 8:01:01 PM,F,65.444
8/31/20, 9:01:01 PM,F,61.84
8/31/20, 10:01:01 PM,F,60.037
8/31/20, 11:01:01 PM,F,58.234
9/1/20, 12:01:01 AM,F,56.431
9/1/20, 1:01:01 AM,F,55.529
9/1/20, 2:01:01 AM,F,58.234
9/1/20, 3:01:01 AM,F,59.135
9/1/20, 4:01:01 AM,F,58.234
9/1/20, 5:01:01 AM,F,56.431
9/1/20, 6:01:01 AM,F,55.529
9/1/20, 7:01:01 AM,F,54.627
9/1/20, 8:01:01 AM,F,72.65
9/1/20, 9:01:01 AM,F,86.149
9/1/20, 10:01:01 AM,F,99.631
9/1/20, 11:01:01 AM,F,101.428
9/1/20, 12:01:01 PM,F,98.733
9/1/20, 1:01:01 PM,F,98.733
9/1/20, 2:01:01 PM,F,102.326
9/1/20, 3:01:01 PM,F,101.428
9/1/20, 4:01:01 PM,F,87.947
9/1/20, 5:01:01 PM,F,82.55
9/1/20, 6:01:01 PM,F,78.051
9/1/20, 7:01:01 PM,F,72.65
9/1/20, 8:01:01 PM,F,66.345
9/1/20, 9:01:01 PM,F,63.642
9/1/20, 10:01:01 PM,F,60.037
9/1/20, 11:01:01 PM,F,59.135
9/2/20, 12:01:01 AM,F,57.332
9/2/20, 1:01:01 AM,F,57.332
9/2/20, 2:01:01 AM,F,56.431
