1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0F0000006CB83541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:43:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 23:43:01 PDT 2020
Total Mission Samples:  9155
Total Device Samples:  16758
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 11:43:01 PM,F,53.729
8/30/20, 12:43:01 AM,F,51.925
8/30/20, 1:43:01 AM,F,51.024
8/30/20, 2:43:01 AM,F,48.318
8/30/20, 3:43:01 AM,F,51.024
8/30/20, 4:43:01 AM,F,48.318
8/30/20, 5:43:01 AM,F,45.611
8/30/20, 6:43:01 AM,F,51.925
8/30/20, 7:43:01 AM,F,64.545
8/30/20, 8:43:01 AM,F,94.24
8/30/20, 9:43:01 AM,F,104.123
8/30/20, 10:43:01 AM,F,109.511
8/30/20, 11:43:01 AM,F,113.101
8/30/20, 12:43:01 PM,F,110.408
8/30/20, 1:43:01 PM,F,106.817
8/30/20, 2:43:01 PM,F,104.123
8/30/20, 3:43:01 PM,F,99.632
8/30/20, 4:43:01 PM,F,85.249
8/30/20, 5:43:01 PM,F,80.751
8/30/20, 6:43:01 PM,F,75.351
8/30/20, 7:43:01 PM,F,66.346
8/30/20, 8:43:01 PM,F,61.842
8/30/20, 9:43:01 PM,F,60.039
8/30/20, 10:43:01 PM,F,56.434
8/30/20, 11:43:01 PM,F,52.827
8/31/20, 12:43:01 AM,F,52.827
8/31/20, 1:43:01 AM,F,51.925
8/31/20, 2:43:01 AM,F,50.122
8/31/20, 3:43:01 AM,F,50.122
8/31/20, 4:43:01 AM,F,48.318
8/31/20, 5:43:01 AM,F,45.611
8/31/20, 6:43:01 AM,F,47.416
8/31/20, 7:43:01 AM,F,79.851
8/31/20, 8:43:01 AM,F,96.038
8/31/20, 9:43:01 AM,F,105.021
8/31/20, 10:43:01 AM,F,110.408
8/31/20, 11:43:01 AM,F,113.101
8/31/20, 12:43:01 PM,F,105.919
8/31/20, 1:43:01 PM,F,107.715
8/31/20, 2:43:01 PM,F,104.123
8/31/20, 3:43:01 PM,F,101.429
8/31/20, 4:43:01 PM,F,86.148
8/31/20, 5:43:01 PM,F,80.751
8/31/20, 6:43:01 PM,F,72.65
8/31/20, 7:43:01 PM,F,66.346
8/31/20, 8:43:01 PM,F,61.842
8/31/20, 9:43:01 PM,F,59.138
8/31/20, 10:43:01 PM,F,57.335
8/31/20, 11:43:01 PM,F,55.532
9/1/20, 12:43:01 AM,F,53.729
9/1/20, 1:43:01 AM,F,57.335
9/1/20, 2:43:01 AM,F,58.237
9/1/20, 3:43:01 AM,F,58.237
9/1/20, 4:43:01 AM,F,57.335
9/1/20, 5:43:01 AM,F,56.434
9/1/20, 6:43:01 AM,F,54.631
9/1/20, 7:43:01 AM,F,71.75
9/1/20, 8:43:01 AM,F,92.442
9/1/20, 9:43:01 AM,F,100.53
9/1/20, 10:43:01 AM,F,103.225
9/1/20, 11:43:01 AM,F,107.715
9/1/20, 12:43:01 PM,F,103.225
9/1/20, 1:43:01 PM,F,103.225
9/1/20, 2:43:01 PM,F,102.327
9/1/20, 3:43:01 PM,F,96.038
9/1/20, 4:43:01 PM,F,82.55
9/1/20, 5:43:01 PM,F,79.851
9/1/20, 6:43:01 PM,F,74.451
9/1/20, 7:43:01 PM,F,67.247
9/1/20, 8:43:01 PM,F,63.644
9/1/20, 9:43:01 PM,F,60.94
9/1/20, 10:43:01 PM,F,58.237
9/1/20, 11:43:01 PM,F,55.532
9/2/20, 12:43:01 AM,F,55.532
9/2/20, 1:43:01 AM,F,55.532
9/2/20, 2:43:01 AM,F,51.925
9/2/20, 3:43:01 AM,F,51.024
9/2/20, 4:43:01 AM,F,51.925
9/2/20, 5:43:01 AM,F,51.024
9/2/20, 6:43:01 AM,F,51.024
9/2/20, 7:43:01 AM,F,78.051
9/2/20, 8:43:01 AM,F,96.936
9/2/20, 9:43:01 AM,F,107.715
9/2/20, 10:43:01 AM,F,113.101
9/2/20, 11:43:01 AM,F,116.69
9/2/20, 12:43:01 PM,F,113.101
9/2/20, 1:43:01 PM,F,107.715
9/2/20, 2:43:01 PM,F,102.327
9/2/20, 3:43:01 PM,F,95.139
9/2/20, 4:43:01 PM,F,82.55
9/2/20, 5:43:01 PM,F,78.951
9/2/20, 6:43:01 PM,F,75.351
9/2/20, 7:43:01 PM,F,69.048
9/2/20, 8:43:01 PM,F,65.445
9/2/20, 9:43:01 PM,F,63.644
9/2/20, 10:43:01 PM,F,60.039
9/2/20, 11:43:01 PM,F,59.138
9/3/20, 12:43:01 AM,F,58.237
9/3/20, 1:43:01 AM,F,57.335
9/3/20, 2:43:01 AM,F,56.434
9/3/20, 3:43:01 AM,F,54.631
9/3/20, 4:43:01 AM,F,54.631
9/3/20, 5:43:01 AM,F,52.827
9/3/20, 6:43:01 AM,F,53.729
9/3/20, 7:43:01 AM,F,79.851
9/3/20, 8:43:01 AM,F,96.936
9/3/20, 9:43:01 AM,F,106.817
9/3/20, 10:43:01 AM,F,113.101
9/3/20, 11:43:01 AM,F,114.896
9/3/20, 12:43:01 PM,F,114.896
9/3/20, 1:43:01 PM,F,110.408
