1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000006D9ABD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:53:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 22:53:01 PDT 2020
Total Mission Samples:  9154
Total Device Samples:  17997
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 10:53:01 PM,%RH,94.337
8/29/20, 11:53:01 PM,%RH,97.2
8/30/20, 12:53:01 AM,%RH,98.067
8/30/20, 1:53:01 AM,%RH,100.249
8/30/20, 2:53:01 AM,%RH,95.998
8/30/20, 3:53:01 AM,%RH,100.769
8/30/20, 4:53:01 AM,%RH,101.498
8/30/20, 5:53:01 AM,%RH,101.895
8/30/20, 6:53:01 AM,%RH,101.813
8/30/20, 7:53:01 AM,%RH,81.954
8/30/20, 8:53:01 AM,%RH,41.583
8/30/20, 9:53:01 AM,%RH,20.366
8/30/20, 10:53:01 AM,%RH,13.267
8/30/20, 11:53:01 AM,%RH,15.219
8/30/20, 12:53:01 PM,%RH,16.81
8/30/20, 1:53:01 PM,%RH,15.409
8/30/20, 2:53:01 PM,%RH,17.331
8/30/20, 3:53:01 PM,%RH,23.643
8/30/20, 4:53:01 PM,%RH,32.558
8/30/20, 5:53:01 PM,%RH,42.012
8/30/20, 6:53:01 PM,%RH,54.261
8/30/20, 7:53:01 PM,%RH,71.563
8/30/20, 8:53:01 PM,%RH,84.05
8/30/20, 9:53:01 PM,%RH,91.781
8/30/20, 10:53:01 PM,%RH,97.109
8/30/20, 11:53:01 PM,%RH,96.874
8/31/20, 12:53:01 AM,%RH,100.903
8/31/20, 1:53:01 AM,%RH,101.745
8/31/20, 2:53:01 AM,%RH,101.556
8/31/20, 3:53:01 AM,%RH,102.909
8/31/20, 4:53:01 AM,%RH,103.299
8/31/20, 5:53:01 AM,%RH,103.192
8/31/20, 6:53:01 AM,%RH,103.192
8/31/20, 7:53:01 AM,%RH,62.497
8/31/20, 8:53:01 AM,%RH,30.713
8/31/20, 9:53:01 AM,%RH,21.986
8/31/20, 10:53:01 AM,%RH,19.476
8/31/20, 11:53:01 AM,%RH,18.149
8/31/20, 12:53:01 PM,%RH,20.188
8/31/20, 1:53:01 PM,%RH,15.503
8/31/20, 2:53:01 PM,%RH,14.496
