1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000006CB5D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:04:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 23:04:01 PDT 2020
Total Mission Samples:  9154
Total Device Samples:  17129
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 11:04:01 PM,F,58.219
8/30/20, 12:04:01 AM,F,55.516
8/30/20, 1:04:01 AM,F,51.009
8/30/20, 2:04:01 AM,F,50.107
8/30/20, 3:04:01 AM,F,50.107
8/30/20, 4:04:01 AM,F,51.009
8/30/20, 5:04:01 AM,F,47.403
8/30/20, 6:04:01 AM,F,51.009
8/30/20, 7:04:01 AM,F,54.614
8/30/20, 8:04:01 AM,F,74.43
8/30/20, 9:04:01 AM,F,100.512
8/30/20, 10:04:01 AM,F,118.475
8/30/20, 11:04:01 AM,F,116.68
8/30/20, 12:04:01 PM,F,108.598
8/30/20, 1:04:01 PM,F,117.578
8/30/20, 2:04:01 PM,F,119.373
8/30/20, 3:04:01 PM,F,119.373
8/30/20, 4:04:01 PM,F,113.089
8/30/20, 5:04:01 PM,F,101.411
8/30/20, 6:04:01 PM,F,80.73
8/30/20, 7:04:01 PM,F,74.43
8/30/20, 8:04:01 PM,F,67.227
8/30/20, 9:04:01 PM,F,62.724
8/30/20, 10:04:01 PM,F,60.021
8/30/20, 11:04:01 PM,F,58.219
8/31/20, 12:04:01 AM,F,56.417
8/31/20, 1:04:01 AM,F,53.713
8/31/20, 2:04:01 AM,F,51.91
8/31/20, 3:04:01 AM,F,51.009
8/31/20, 4:04:01 AM,F,48.304
8/31/20, 5:04:01 AM,F,46.501
8/31/20, 6:04:01 AM,F,44.697
8/31/20, 7:04:01 AM,F,46.501
8/31/20, 8:04:01 AM,F,80.73
8/31/20, 9:04:01 AM,F,104.107
8/31/20, 10:04:01 AM,F,112.191
8/31/20, 11:04:01 AM,F,112.191
8/31/20, 12:04:01 PM,F,113.986
8/31/20, 1:04:01 PM,F,114.884
8/31/20, 2:04:01 PM,F,119.373
8/31/20, 3:04:01 PM,F,118.475
8/31/20, 4:04:01 PM,F,119.373
8/31/20, 5:04:01 PM,F,96.917
8/31/20, 6:04:01 PM,F,79.83
8/31/20, 7:04:01 PM,F,72.63
8/31/20, 8:04:01 PM,F,66.327
8/31/20, 9:04:01 PM,F,62.724
8/31/20, 10:04:01 PM,F,60.922
8/31/20, 11:04:01 PM,F,59.12
9/1/20, 12:04:01 AM,F,55.516
9/1/20, 1:04:01 AM,F,54.614
9/1/20, 2:04:01 AM,F,59.12
9/1/20, 3:04:01 AM,F,60.021
9/1/20, 4:04:01 AM,F,60.021
9/1/20, 5:04:01 AM,F,58.219
9/1/20, 6:04:01 AM,F,57.318
9/1/20, 7:04:01 AM,F,56.417
9/1/20, 8:04:01 AM,F,75.33
9/1/20, 9:04:01 AM,F,99.614
9/1/20, 10:04:01 AM,F,101.411
9/1/20, 11:04:01 AM,F,106.802
9/1/20, 12:04:01 PM,F,109.496
9/1/20, 1:04:01 PM,F,109.496
9/1/20, 2:04:01 PM,F,115.782
9/1/20, 3:04:01 PM,F,116.68
9/1/20, 4:04:01 PM,F,105.005
9/1/20, 5:04:01 PM,F,97.816
9/1/20, 6:04:01 PM,F,79.83
9/1/20, 7:04:01 PM,F,73.53
9/1/20, 8:04:01 PM,F,68.128
9/1/20, 9:04:01 PM,F,64.525
9/1/20, 10:04:01 PM,F,60.021
9/1/20, 11:04:01 PM,F,59.12
9/2/20, 12:04:01 AM,F,57.318
9/2/20, 1:04:01 AM,F,57.318
9/2/20, 2:04:01 AM,F,55.516
9/2/20, 3:04:01 AM,F,51.91
9/2/20, 4:04:01 AM,F,51.91
9/2/20, 5:04:01 AM,F,51.009
9/2/20, 6:04:01 AM,F,50.107
9/2/20, 7:04:01 AM,F,52.812
9/2/20, 8:04:01 AM,F,78.03
9/2/20, 9:04:01 AM,F,105.005
9/2/20, 10:04:01 AM,F,117.578
9/2/20, 11:04:01 AM,F,120.27
9/2/20, 12:04:01 PM,F,117.578
9/2/20, 1:04:01 PM,F,117.578
9/2/20, 2:04:01 PM,F,116.68
9/2/20, 3:04:01 PM,F,113.089
9/2/20, 4:04:01 PM,F,104.107
9/2/20, 5:04:01 PM,F,92.422
9/2/20, 6:04:01 PM,F,79.83
9/2/20, 7:04:01 PM,F,75.33
9/2/20, 8:04:01 PM,F,69.929
9/2/20, 9:04:01 PM,F,66.327
9/2/20, 10:04:01 PM,F,61.823
9/2/20, 11:04:01 PM,F,60.021
9/3/20, 12:04:01 AM,F,60.021
9/3/20, 1:04:01 AM,F,57.318
9/3/20, 2:04:01 AM,F,56.417
9/3/20, 3:04:01 AM,F,55.516
9/3/20, 4:04:01 AM,F,55.516
9/3/20, 5:04:01 AM,F,52.812
9/3/20, 6:04:01 AM,F,51.91
9/3/20, 7:04:01 AM,F,53.713
9/3/20, 8:04:01 AM,F,83.429
9/3/20, 9:04:01 AM,F,105.903
9/3/20, 10:04:01 AM,F,116.68
9/3/20, 11:04:01 AM,F,120.27
9/3/20, 12:04:01 PM,F,120.27
9/3/20, 1:04:01 PM,F,120.27
9/3/20, 2:04:01 PM,F,119.373
9/3/20, 3:04:01 PM,F,112.191
9/3/20, 4:04:01 PM,F,106.802
9/3/20, 5:04:01 PM,F,97.816
9/3/20, 6:04:01 PM,F,85.228
9/3/20, 7:04:01 PM,F,78.93
9/3/20, 8:04:01 PM,F,72.63
9/3/20, 9:04:01 PM,F,68.128
9/3/20, 10:04:01 PM,F,66.327
9/3/20, 11:04:01 PM,F,62.724
9/4/20, 12:04:01 AM,F,60.922
9/4/20, 1:04:01 AM,F,60.922
9/4/20, 2:04:01 AM,F,60.021
9/4/20, 3:04:01 AM,F,59.12
9/4/20, 4:04:01 AM,F,57.318
9/4/20, 5:04:01 AM,F,57.318
9/4/20, 6:04:01 AM,F,56.417
9/4/20, 7:04:01 AM,F,59.12
9/4/20, 8:04:01 AM,F,89.725
9/4/20, 9:04:01 AM,F,110.394
9/4/20, 10:04:01 AM,F,129.243
9/4/20, 11:04:01 AM,F,121.168
9/4/20, 12:04:01 PM,F,124.757
9/4/20, 1:04:01 PM,F,125.655
9/4/20, 2:04:01 PM,F,126.552
9/4/20, 3:04:01 PM,F,127.449
9/4/20, 4:04:01 PM,F,117.578
9/4/20, 5:04:01 PM,F,106.802
9/4/20, 6:04:01 PM,F,91.523
9/4/20, 7:04:01 PM,F,84.328
9/4/20, 8:04:01 PM,F,76.23
9/4/20, 9:04:01 PM,F,70.829
9/4/20, 10:04:01 PM,F,69.028
9/4/20, 11:04:01 PM,F,68.128
9/5/20, 12:04:01 AM,F,69.929
9/5/20, 1:04:01 AM,F,69.929
9/5/20, 2:04:01 AM,F,68.128
9/5/20, 3:04:01 AM,F,68.128
9/5/20, 4:04:01 AM,F,65.426
9/5/20, 5:04:01 AM,F,66.327
9/5/20, 6:04:01 AM,F,67.227
9/5/20, 7:04:01 AM,F,71.729
9/5/20, 8:04:01 AM,F,96.917
9/5/20, 9:04:01 AM,F,122.065
9/5/20, 10:04:01 AM,F,140.004
9/5/20, 11:04:01 AM,F,152.548
9/5/20, 12:04:01 PM,F,150.757
9/5/20, 1:04:01 PM,F,158.817
9/5/20, 2:04:01 PM,F,146.277
9/5/20, 3:04:01 PM,F,148.069
9/5/20, 4:04:01 PM,F,139.107
9/5/20, 5:04:01 PM,F,126.552
9/5/20, 6:04:01 PM,F,105.903
9/5/20, 7:04:01 PM,F,96.019
9/5/20, 8:04:01 PM,F,87.027
9/5/20, 9:04:01 PM,F,84.328
9/5/20, 10:04:01 PM,F,84.328
9/5/20, 11:04:01 PM,F,80.73
9/6/20, 12:04:01 AM,F,76.23
9/6/20, 1:04:01 AM,F,77.13
9/6/20, 2:04:01 AM,F,75.33
9/6/20, 3:04:01 AM,F,75.33
9/6/20, 4:04:01 AM,F,74.43
9/6/20, 5:04:01 AM,F,76.23
9/6/20, 6:04:01 AM,F,74.43
9/6/20, 7:04:01 AM,F,76.23
9/6/20, 8:04:01 AM,F,105.903
9/6/20, 9:04:01 AM,F,123.86
9/6/20, 10:04:01 AM,F,139.107
9/6/20, 11:04:01 AM,F,153.444
9/6/20, 12:04:01 PM,F,153.444
9/6/20, 1:04:01 PM,F,159.712
9/6/20, 2:04:01 PM,F,157.026
9/6/20, 3:04:01 PM,F,156.13
9/6/20, 4:04:01 PM,F,140.004
9/6/20, 5:04:01 PM,F,129.243
9/6/20, 6:04:01 PM,F,107.7
9/6/20, 7:04:01 PM,F,100.512
9/6/20, 8:04:01 PM,F,87.926
9/6/20, 9:04:01 PM,F,83.429
9/6/20, 10:04:01 PM,F,87.926
9/6/20, 11:04:01 PM,F,85.228
