Date/Time,Unit,Value,
8/30/2020, 8:45:01 PM,F,62.844
8/30/2020, 9:45:01 PM,F,61.042
8/30/2020, 10:45:01 PM,F,57.438
8/30/2020, 11:45:01 PM,F,54.735
8/31/2020, 12:45:01 AM,F,53.834
8/31/2020, 1:45:01 AM,F,51.131
8/31/2020, 2:45:01 AM,F,49.328
8/31/2020, 3:45:01 AM,F,48.427
8/31/2020, 4:45:01 AM,F,46.624
8/31/2020, 5:45:01 AM,F,44.821
8/31/2020, 6:45:01 AM,F,45.722
8/31/2020, 7:45:01 AM,F,72.749
8/31/2020, 8:45:01 AM,F,98.839
8/31/2020, 9:45:01 AM,F,117.71
8/31/2020, 10:45:01 AM,F,123.098
8/31/2020, 11:45:01 AM,F,121.302
8/31/2020, 12:45:01 PM,F,116.811
8/31/2020, 1:45:01 PM,F,122.2
8/31/2020, 2:45:01 PM,F,124.894
8/31/2020, 3:45:01 PM,F,122.2
8/31/2020, 4:45:01 PM,F,105.131
8/31/2020, 5:45:01 PM,F,83.549
8/31/2020, 6:45:01 PM,F,73.649
8/31/2020, 7:45:01 PM,F,67.347
8/31/2020, 8:45:01 PM,F,62.844
8/31/2020, 9:45:01 PM,F,60.141
8/31/2020, 10:45:01 PM,F,57.438
8/31/2020, 11:45:01 PM,F,55.636
9/1/2020, 12:45:01 AM,F,53.834
9/1/2020, 1:45:01 AM,F,57.438
9/1/2020, 2:45:01 AM,F,61.042
9/1/2020, 3:45:01 AM,F,61.042
9/1/2020, 4:45:01 AM,F,60.141
9/1/2020, 5:45:01 AM,F,59.24
9/1/2020, 6:45:01 AM,F,56.538
9/1/2020, 7:45:01 AM,F,69.147
9/1/2020, 8:45:01 AM,F,91.645
9/1/2020, 9:45:01 AM,F,108.726
9/1/2020, 10:45:01 AM,F,116.811
9/1/2020, 11:45:01 AM,F,119.506
9/1/2020, 12:45:01 PM,F,113.218
9/1/2020, 1:45:01 PM,F,115.015
9/1/2020, 2:45:01 PM,F,120.404
9/1/2020, 3:45:01 PM,F,117.71
9/1/2020, 4:45:01 PM,F,99.738
9/1/2020, 5:45:01 PM,F,83.549
9/1/2020, 6:45:01 PM,F,75.449
9/1/2020, 7:45:01 PM,F,68.247
9/1/2020, 8:45:01 PM,F,64.645
9/1/2020, 9:45:01 PM,F,61.042
9/1/2020, 10:45:01 PM,F,59.24
9/1/2020, 11:45:01 PM,F,56.538
