1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000006CB73241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:02:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 21:02:01 PDT 2020
Total Mission Samples:  9152
Total Device Samples:  17152
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 9:02:01 PM,%RH,-35.541
8/29/20, 10:02:01 PM,%RH,-35.541
8/29/20, 11:02:01 PM,%RH,-35.971
8/30/20, 12:02:01 AM,%RH,-36.05
8/30/20, 1:02:01 AM,%RH,-36.13
8/30/20, 2:02:01 AM,%RH,-36.212
8/30/20, 3:02:01 AM,%RH,-36.296
8/30/20, 4:02:01 AM,%RH,-36.212
8/30/20, 5:02:01 AM,%RH,-36.47
8/30/20, 6:02:01 AM,%RH,-36.212
8/30/20, 7:02:01 AM,%RH,-36.382
8/30/20, 8:02:01 AM,%RH,-34.805
8/30/20, 9:02:01 AM,%RH,-33.848
8/30/20, 10:02:01 AM,%RH,-33.494
8/30/20, 11:02:01 AM,%RH,15.297
8/30/20, 12:02:01 PM,%RH,17.854
8/30/20, 1:02:01 PM,%RH,19.474
8/30/20, 2:02:01 PM,%RH,-7.033
8/30/20, 3:02:01 PM,%RH,1.105
8/30/20, 4:02:01 PM,%RH,-9.64
8/30/20, 5:02:01 PM,%RH,-26.946
8/30/20, 6:02:01 PM,%RH,-24.314
8/30/20, 7:02:01 PM,%RH,-13.239
8/30/20, 8:02:01 PM,%RH,-30.065
8/30/20, 9:02:01 PM,%RH,-34.575
8/30/20, 10:02:01 PM,%RH,-34.825
8/30/20, 11:02:01 PM,%RH,-7.629
8/31/20, 12:02:01 AM,%RH,-23.54
8/31/20, 1:02:01 AM,%RH,-16.146
8/31/20, 2:02:01 AM,%RH,-8.734
8/31/20, 3:02:01 AM,%RH,-36.212
8/31/20, 4:02:01 AM,%RH,-36.382
8/31/20, 5:02:01 AM,%RH,-36.56
8/31/20, 6:02:01 AM,%RH,-36.651
8/31/20, 7:02:01 AM,%RH,-36.382
8/31/20, 8:02:01 AM,%RH,-33.69
8/31/20, 9:02:01 AM,%RH,-33.778
8/31/20, 10:02:01 AM,%RH,-33.477
8/31/20, 11:02:01 AM,%RH,-33.469
8/31/20, 12:02:01 PM,%RH,18.106
8/31/20, 1:02:01 PM,%RH,22.129
8/31/20, 2:02:01 PM,%RH,-31.063
8/31/20, 3:02:01 PM,%RH,-27.138
8/31/20, 4:02:01 PM,%RH,-17.167
8/31/20, 5:02:01 PM,%RH,-3.512
8/31/20, 6:02:01 PM,%RH,-28.977
8/31/20, 7:02:01 PM,%RH,-33.441
8/31/20, 8:02:01 PM,%RH,-25.376
8/31/20, 9:02:01 PM,%RH,-33.585
8/31/20, 10:02:01 PM,%RH,-25.123
8/31/20, 11:02:01 PM,%RH,-29.527
9/1/20, 12:02:01 AM,%RH,-23.465
9/1/20, 1:02:01 AM,%RH,-35.895
9/1/20, 2:02:01 AM,%RH,-35.82
9/1/20, 3:02:01 AM,%RH,-35.608
9/1/20, 4:02:01 AM,%RH,-35.677
9/1/20, 5:02:01 AM,%RH,-36.05
9/1/20, 6:02:01 AM,%RH,-35.971
9/1/20, 7:02:01 AM,%RH,-36.212
9/1/20, 8:02:01 AM,%RH,-34.948
9/1/20, 9:02:01 AM,%RH,-33.886
9/1/20, 10:02:01 AM,%RH,-33.568
9/1/20, 11:02:01 AM,%RH,-33.485
9/1/20, 12:02:01 PM,%RH,-33.465
9/1/20, 1:02:01 PM,%RH,24.804
9/1/20, 2:02:01 PM,%RH,22.663
