1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1600000069B95C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:20:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 23:20:01 PDT 2020
Total Mission Samples:  7486
Total Device Samples:  13719
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 11:20:01 PM,%RH,97.963
8/30/20, 12:20:01 AM,%RH,99.86
8/30/20, 1:20:01 AM,%RH,101.112
8/30/20, 2:20:01 AM,%RH,100.864
8/30/20, 3:20:01 AM,%RH,99.091
8/30/20, 4:20:01 AM,%RH,100.559
8/30/20, 5:20:01 AM,%RH,100.436
8/30/20, 6:20:01 AM,%RH,101.18
8/30/20, 7:20:01 AM,%RH,101.324
8/30/20, 8:20:01 AM,%RH,58.089
8/30/20, 9:20:01 AM,%RH,29.679
8/30/20, 10:20:01 AM,%RH,23.361
8/30/20, 11:20:01 AM,%RH,23.196
8/30/20, 12:20:01 PM,%RH,26.63
8/30/20, 1:20:01 PM,%RH,24.174
8/30/20, 2:20:01 PM,%RH,26.858
8/30/20, 3:20:01 PM,%RH,30.08
8/30/20, 4:20:01 PM,%RH,32.874
8/30/20, 5:20:01 PM,%RH,38.446
8/30/20, 6:20:01 PM,%RH,49.374
8/30/20, 7:20:01 PM,%RH,63.271
8/30/20, 8:20:01 PM,%RH,79.376
8/30/20, 9:20:01 PM,%RH,89.785
8/30/20, 10:20:01 PM,%RH,94.613
8/30/20, 11:20:01 PM,%RH,98.537
8/31/20, 12:20:01 AM,%RH,98.877
8/31/20, 1:20:01 AM,%RH,100.205
8/31/20, 2:20:01 AM,%RH,101.112
8/31/20, 3:20:01 AM,%RH,101.596
8/31/20, 4:20:01 AM,%RH,100.983
8/31/20, 5:20:01 AM,%RH,102.316
8/31/20, 6:20:01 AM,%RH,102.261
8/31/20, 7:20:01 AM,%RH,104.687
8/31/20, 8:20:01 AM,%RH,41.783
8/31/20, 9:20:01 AM,%RH,34.317
8/31/20, 10:20:01 AM,%RH,24.876
8/31/20, 11:20:01 AM,%RH,31.391
8/31/20, 12:20:01 PM,%RH,28.072
8/31/20, 1:20:01 PM,%RH,28.879
8/31/20, 2:20:01 PM,%RH,24.82
8/31/20, 3:20:01 PM,%RH,22.657
8/31/20, 4:20:01 PM,%RH,37.057
8/31/20, 5:20:01 PM,%RH,38.387
8/31/20, 6:20:01 PM,%RH,54.945
8/31/20, 7:20:01 PM,%RH,67.421
8/31/20, 8:20:01 PM,%RH,79.955
8/31/20, 9:20:01 PM,%RH,91.384
8/31/20, 10:20:01 PM,%RH,95.201
8/31/20, 11:20:01 PM,%RH,98.122
9/1/20, 12:20:01 AM,%RH,97.963
9/1/20, 1:20:01 AM,%RH,100.205
9/1/20, 2:20:01 AM,%RH,100.179
9/1/20, 3:20:01 AM,%RH,100.095
9/1/20, 4:20:01 AM,%RH,100.585
9/1/20, 5:20:01 AM,%RH,100.014
9/1/20, 6:20:01 AM,%RH,99.86
9/1/20, 7:20:01 AM,%RH,100.913
9/1/20, 8:20:01 AM,%RH,55.615
9/1/20, 9:20:01 AM,%RH,40.801
9/1/20, 10:20:01 AM,%RH,38.446
9/1/20, 11:20:01 AM,%RH,35.953
9/1/20, 12:20:01 PM,%RH,35.222
9/1/20, 1:20:01 PM,%RH,35.281
9/1/20, 2:20:01 PM,%RH,31.45
9/1/20, 3:20:01 PM,%RH,31.391
9/1/20, 4:20:01 PM,%RH,43.964
9/1/20, 5:20:01 PM,%RH,41.033
9/1/20, 6:20:01 PM,%RH,53.743
9/1/20, 7:20:01 PM,%RH,66.863
9/1/20, 8:20:01 PM,%RH,78.306
9/1/20, 9:20:01 PM,%RH,87.094
9/1/20, 10:20:01 PM,%RH,95.071
9/1/20, 11:20:01 PM,%RH,96.126
9/2/20, 12:20:01 AM,%RH,98.537
9/2/20, 1:20:01 AM,%RH,99.445
9/2/20, 2:20:01 AM,%RH,100.425
9/2/20, 3:20:01 AM,%RH,101.18
9/2/20, 4:20:01 AM,%RH,100.276
9/2/20, 5:20:01 AM,%RH,101.531
9/2/20, 6:20:01 AM,%RH,102.497
9/2/20, 7:20:01 AM,%RH,103.196
9/2/20, 8:20:01 AM,%RH,45.736
9/2/20, 9:20:01 AM,%RH,30.419
9/2/20, 10:20:01 AM,%RH,26.218
9/2/20, 11:20:01 AM,%RH,22.931
9/2/20, 12:20:01 PM,%RH,22.821
9/2/20, 1:20:01 PM,%RH,25.407
9/2/20, 2:20:01 PM,%RH,30.766
9/2/20, 3:20:01 PM,%RH,38.626
9/2/20, 4:20:01 PM,%RH,43.901
9/2/20, 5:20:01 PM,%RH,47.945
9/2/20, 6:20:01 PM,%RH,56.236
9/2/20, 7:20:01 PM,%RH,63.349
9/2/20, 8:20:01 PM,%RH,73.212
9/2/20, 9:20:01 PM,%RH,83.848
9/2/20, 10:20:01 PM,%RH,92.443
9/2/20, 11:20:01 PM,%RH,93.497
9/3/20, 12:20:01 AM,%RH,95.071
9/3/20, 1:20:01 AM,%RH,93.169
9/3/20, 2:20:01 AM,%RH,94.188
9/3/20, 3:20:01 AM,%RH,95.967
9/3/20, 4:20:01 AM,%RH,97.963
9/3/20, 5:20:01 AM,%RH,97.814
9/3/20, 6:20:01 AM,%RH,97.317
9/3/20, 7:20:01 AM,%RH,90.861
9/3/20, 8:20:01 AM,%RH,40.688
9/3/20, 9:20:01 AM,%RH,33.373
9/3/20, 10:20:01 AM,%RH,25.922
9/3/20, 11:20:01 AM,%RH,27.727
9/3/20, 12:20:01 PM,%RH,24.286
