1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:49:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 30 20:49:01 PDT 2020
Total Mission Samples:  9176
Total Device Samples:  17197
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/30/20, 8:49:01 PM,%RH,79.35
8/30/20, 9:49:01 PM,%RH,86.01
8/30/20, 10:49:01 PM,%RH,92.759
8/30/20, 11:49:01 PM,%RH,96.643
8/31/20, 12:49:01 AM,%RH,98.599
8/31/20, 1:49:01 AM,%RH,98.892
8/31/20, 2:49:01 AM,%RH,99.396
8/31/20, 3:49:01 AM,%RH,100.27
8/31/20, 4:49:01 AM,%RH,100.652
8/31/20, 5:49:01 AM,%RH,100.597
8/31/20, 6:49:01 AM,%RH,100.544
8/31/20, 7:49:01 AM,%RH,60.941
8/31/20, 8:49:01 AM,%RH,41.486
8/31/20, 9:49:01 AM,%RH,38.579
8/31/20, 10:49:01 AM,%RH,31.662
8/31/20, 11:49:01 AM,%RH,30.322
8/31/20, 12:49:01 PM,%RH,31.546
8/31/20, 1:49:01 PM,%RH,24.448
8/31/20, 2:49:01 PM,%RH,20.529
8/31/20, 3:49:01 PM,%RH,19.729
8/31/20, 4:49:01 PM,%RH,28.977
8/31/20, 5:49:01 PM,%RH,41.486
8/31/20, 6:49:01 PM,%RH,56.72
8/31/20, 7:49:01 PM,%RH,69.686
8/31/20, 8:49:01 PM,%RH,79.915
8/31/20, 9:49:01 PM,%RH,90.372
8/31/20, 10:49:01 PM,%RH,94.316
8/31/20, 11:49:01 PM,%RH,97.74
9/1/20, 12:49:01 AM,%RH,98.599
9/1/20, 1:49:01 AM,%RH,99.841
9/1/20, 2:49:01 AM,%RH,100.427
9/1/20, 3:49:01 AM,%RH,99.421
9/1/20, 4:49:01 AM,%RH,99.338
9/1/20, 5:49:01 AM,%RH,98.753
9/1/20, 6:49:01 AM,%RH,98.599
9/1/20, 7:49:01 AM,%RH,74.334
9/1/20, 8:49:01 AM,%RH,48.979
9/1/20, 9:49:01 AM,%RH,51.542
9/1/20, 10:49:01 AM,%RH,41.654
9/1/20, 11:49:01 AM,%RH,37.868
9/1/20, 12:49:01 PM,%RH,38.522
9/1/20, 1:49:01 PM,%RH,32.271
9/1/20, 2:49:01 PM,%RH,26.383
