1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FA0000006CB64F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:52:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:52:01 PDT 2020
Total Mission Samples:  9152
Total Device Samples:  17231
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:52:01 PM,%RH,65.076
8/29/20, 9:52:01 PM,%RH,68.249
8/29/20, 10:52:01 PM,%RH,71.296
8/29/20, 11:52:01 PM,%RH,72.847
8/30/20, 12:52:01 AM,%RH,71.779
8/30/20, 1:52:01 AM,%RH,71.144
8/30/20, 2:52:01 AM,%RH,70.084
8/30/20, 3:52:01 AM,%RH,71.804
8/30/20, 4:52:01 AM,%RH,72.109
8/30/20, 5:52:01 AM,%RH,69.805
8/30/20, 6:52:01 AM,%RH,72.479
8/30/20, 7:52:01 AM,%RH,62.644
8/30/20, 8:52:01 AM,%RH,30.385
8/30/20, 9:52:01 AM,%RH,14.953
8/30/20, 10:52:01 AM,%RH,10.263
8/30/20, 11:52:01 AM,%RH,11.032
8/30/20, 12:52:01 PM,%RH,14.468
8/30/20, 1:52:01 PM,%RH,13.606
8/30/20, 2:52:01 PM,%RH,13.387
8/30/20, 3:52:01 PM,%RH,20.911
8/30/20, 4:52:01 PM,%RH,32.038
8/30/20, 5:52:01 PM,%RH,41.814
8/30/20, 6:52:01 PM,%RH,51.114
8/30/20, 7:52:01 PM,%RH,59.716
8/30/20, 8:52:01 PM,%RH,67.956
8/30/20, 9:52:01 PM,%RH,71.604
8/30/20, 10:52:01 PM,%RH,74.201
8/30/20, 11:52:01 PM,%RH,73.143
8/31/20, 12:52:01 AM,%RH,73.066
8/31/20, 1:52:01 AM,%RH,75.614
8/31/20, 2:52:01 AM,%RH,75.366
8/31/20, 3:52:01 AM,%RH,76.418
8/31/20, 4:52:01 AM,%RH,76.35
8/31/20, 5:52:01 AM,%RH,75.272
8/31/20, 6:52:01 AM,%RH,75.089
8/31/20, 7:52:01 AM,%RH,50.069
8/31/20, 8:52:01 AM,%RH,25.323
8/31/20, 9:52:01 AM,%RH,17.467
8/31/20, 10:52:01 AM,%RH,15.416
8/31/20, 11:52:01 AM,%RH,13.736
8/31/20, 12:52:01 PM,%RH,14.512
8/31/20, 1:52:01 PM,%RH,14.378
8/31/20, 2:52:01 PM,%RH,13.431
8/31/20, 3:52:01 PM,%RH,17.788
8/31/20, 4:52:01 PM,%RH,32.805
8/31/20, 5:52:01 PM,%RH,42.453
8/31/20, 6:52:01 PM,%RH,55.393
8/31/20, 7:52:01 PM,%RH,66.832
8/31/20, 8:52:01 PM,%RH,69.869
8/31/20, 9:52:01 PM,%RH,75.13
8/31/20, 10:52:01 PM,%RH,78.291
8/31/20, 11:52:01 PM,%RH,78.451
9/1/20, 12:52:01 AM,%RH,78.742
9/1/20, 1:52:01 AM,%RH,77.808
9/1/20, 2:52:01 AM,%RH,78.419
9/1/20, 3:52:01 AM,%RH,79.497
9/1/20, 4:52:01 AM,%RH,78.56
9/1/20, 5:52:01 AM,%RH,78.225
9/1/20, 6:52:01 AM,%RH,78.629
9/1/20, 7:52:01 AM,%RH,67.032
9/1/20, 8:52:01 AM,%RH,37.265
9/1/20, 9:52:01 AM,%RH,25.119
9/1/20, 10:52:01 AM,%RH,19.936
9/1/20, 11:52:01 AM,%RH,16.128
9/1/20, 12:52:01 PM,%RH,18.498
9/1/20, 1:52:01 PM,%RH,17.616
9/1/20, 2:52:01 PM,%RH,16.731
9/1/20, 3:52:01 PM,%RH,24.722
9/1/20, 4:52:01 PM,%RH,35.489
9/1/20, 5:52:01 PM,%RH,44.96
9/1/20, 6:52:01 PM,%RH,51.677
9/1/20, 7:52:01 PM,%RH,63.919
9/1/20, 8:52:01 PM,%RH,70.982
9/1/20, 9:52:01 PM,%RH,72.289
9/1/20, 10:52:01 PM,%RH,74.519
9/1/20, 11:52:01 PM,%RH,74.08
9/2/20, 12:52:01 AM,%RH,74.629
9/2/20, 1:52:01 AM,%RH,76.557
9/2/20, 2:52:01 AM,%RH,76.934
9/2/20, 3:52:01 AM,%RH,76.634
9/2/20, 4:52:01 AM,%RH,76.331
9/2/20, 5:52:01 AM,%RH,77.005
9/2/20, 6:52:01 AM,%RH,76.404
9/2/20, 7:52:01 AM,%RH,54.608
9/2/20, 8:52:01 AM,%RH,28.345
9/2/20, 9:52:01 AM,%RH,17.566
9/2/20, 10:52:01 AM,%RH,12.991
9/2/20, 11:52:01 AM,%RH,12.19
9/2/20, 12:52:01 PM,%RH,9.407
9/2/20, 1:52:01 PM,%RH,14.423
9/2/20, 2:52:01 PM,%RH,17.665
9/2/20, 3:52:01 PM,%RH,29.088
9/2/20, 4:52:01 PM,%RH,40.795
9/2/20, 5:52:01 PM,%RH,46.185
9/2/20, 6:52:01 PM,%RH,52.281
9/2/20, 7:52:01 PM,%RH,58.884
9/2/20, 8:52:01 PM,%RH,64.326
9/2/20, 9:52:01 PM,%RH,65.103
9/2/20, 10:52:01 PM,%RH,66.339
9/2/20, 11:52:01 PM,%RH,67.933
9/3/20, 12:52:01 AM,%RH,68.304
9/3/20, 1:52:01 AM,%RH,70.525
9/3/20, 2:52:01 AM,%RH,70.51
9/3/20, 3:52:01 AM,%RH,71.13
9/3/20, 4:52:01 AM,%RH,73.221
9/3/20, 5:52:01 AM,%RH,71.616
9/3/20, 6:52:01 AM,%RH,72.241
9/3/20, 7:52:01 AM,%RH,50.218
