Date/Time,Unit,Value
2/1/2020 3:49,%RH,49.353
2/1/2020 4:49,%RH,52.916
2/1/2020 5:49,%RH,59.319
2/1/2020 6:49,%RH,57.169
2/1/2020 7:49,%RH,42.38
2/1/2020 8:49,%RH,39.523
2/1/2020 9:49,%RH,32.815
2/1/2020 10:49,%RH,27.858
2/1/2020 11:49,%RH,21.407
2/1/2020 12:49,%RH,23.586
2/1/2020 13:49,%RH,26.893
2/1/2020 14:49,%RH,26.841
2/1/2020 15:49,%RH,29.452
2/1/2020 16:49,%RH,50.706
2/1/2020 17:49,%RH,70.784
2/1/2020 18:49,%RH,56.977
2/1/2020 19:49,%RH,60.89
2/1/2020 20:49,%RH,51.418
2/1/2020 21:49,%RH,59.633
2/1/2020 22:49,%RH,61.881
2/1/2020 23:49,%RH,61.289
2/2/2020 0:49,%RH,69.743
2/2/2020 1:49,%RH,71.508
2/2/2020 2:49,%RH,68.127
2/2/2020 3:49,%RH,67.44
2/2/2020 4:49,%RH,69.169
2/2/2020 5:49,%RH,73.574
2/2/2020 6:49,%RH,82.881
2/2/2020 7:49,%RH,50.706
2/2/2020 8:49,%RH,37.411
2/2/2020 9:49,%RH,33.218
2/2/2020 10:49,%RH,31.584
2/2/2020 11:49,%RH,26.439
2/2/2020 12:49,%RH,28.779
2/2/2020 13:49,%RH,38.634
2/2/2020 14:49,%RH,53.844
2/2/2020 15:49,%RH,58.089
2/2/2020 16:49,%RH,65.585
2/2/2020 17:49,%RH,90.644
2/2/2020 18:49,%RH,92.354
2/2/2020 19:49,%RH,68.19
2/2/2020 20:49,%RH,47.555
2/2/2020 21:49,%RH,29.301
2/2/2020 22:49,%RH,32.252
2/2/2020 23:49,%RH,29.086
2/3/2020 0:49,%RH,34.359
2/3/2020 1:49,%RH,46.895
2/3/2020 2:49,%RH,49.39
2/3/2020 3:49,%RH,53.643
2/3/2020 4:49,%RH,56.683
2/3/2020 5:49,%RH,60.23
2/3/2020 6:49,%RH,60.826
2/3/2020 7:49,%RH,57.889
2/3/2020 8:49,%RH,48.397
2/3/2020 9:49,%RH,34.645
2/3/2020 10:49,%RH,32.677
2/3/2020 11:49,%RH,31.21
2/3/2020 12:49,%RH,30.401
2/3/2020 13:49,%RH,36.452
2/3/2020 14:49,%RH,31.074
2/3/2020 15:49,%RH,30.271
2/3/2020 16:49,%RH,31.593
2/3/2020 17:49,%RH,30.653
2/3/2020 18:49,%RH,28.731
2/3/2020 19:49,%RH,34.669
2/3/2020 20:49,%RH,38.5
2/3/2020 21:49,%RH,39.08
2/3/2020 22:49,%RH,37.659
2/3/2020 23:49,%RH,41.28
2/4/2020 0:49,%RH,35.386
2/4/2020 1:49,%RH,39.756
2/4/2020 2:49,%RH,47.891
2/4/2020 3:49,%RH,42.22
2/4/2020 4:49,%RH,45.945
2/4/2020 5:49,%RH,52.758
2/4/2020 6:49,%RH,41.104
2/4/2020 7:49,%RH,21.453
2/4/2020 8:49,%RH,15.245
2/4/2020 9:49,%RH,13.783
2/4/2020 10:49,%RH,13.842
2/4/2020 11:49,%RH,11.231
2/4/2020 12:49,%RH,11.526
2/4/2020 13:49,%RH,13.187
2/4/2020 14:49,%RH,14.428
2/4/2020 15:49,%RH,15.814
2/4/2020 16:49,%RH,18.271
2/4/2020 17:49,%RH,29.575
2/4/2020 18:49,%RH,34.204
2/4/2020 19:49,%RH,30.377
2/4/2020 20:49,%RH,34.204
2/4/2020 21:49,%RH,30.77
2/4/2020 22:49,%RH,30.24
2/4/2020 23:49,%RH,28.977
2/5/2020 0:49,%RH,29.713
2/5/2020 1:49,%RH,35.323
2/5/2020 2:49,%RH,36.568
2/5/2020 3:49,%RH,40.46
2/5/2020 4:49,%RH,42.971
2/5/2020 5:49,%RH,41.104
2/5/2020 6:49,%RH,49.195
2/5/2020 7:49,%RH,33.261
2/5/2020 8:49,%RH,22.799
2/5/2020 9:49,%RH,20.332
2/5/2020 10:49,%RH,17.925
2/5/2020 11:49,%RH,15.283
2/5/2020 12:49,%RH,16.095
2/5/2020 13:49,%RH,19.36
2/5/2020 14:49,%RH,21.234
2/5/2020 15:49,%RH,24.755
2/5/2020 16:49,%RH,34.348
2/5/2020 17:49,%RH,49.451
2/5/2020 18:49,%RH,64.857
2/5/2020 19:49,%RH,75.616
2/5/2020 20:49,%RH,78.952
2/5/2020 21:49,%RH,82.695
2/5/2020 22:49,%RH,84.318
2/5/2020 23:49,%RH,77.193
2/6/2020 0:49,%RH,87.487
2/6/2020 1:49,%RH,90.101
2/6/2020 2:49,%RH,88.532
2/6/2020 3:49,%RH,88.035
2/6/2020 4:49,%RH,84.813
2/6/2020 5:49,%RH,90.101
2/6/2020 6:49,%RH,89.617
2/6/2020 7:49,%RH,55.233
2/6/2020 8:49,%RH,41.569
2/6/2020 9:49,%RH,36.043
2/6/2020 10:49,%RH,27.625
2/6/2020 11:49,%RH,26.528
2/6/2020 12:49,%RH,25.793
2/6/2020 13:49,%RH,37.626
2/6/2020 14:49,%RH,42.145
2/6/2020 15:49,%RH,47.517
2/6/2020 16:49,%RH,61.167
2/6/2020 17:49,%RH,73.995
2/6/2020 18:49,%RH,87.317
2/6/2020 19:49,%RH,94.919
2/6/2020 20:49,%RH,99.397
2/6/2020 21:49,%RH,100.408
2/6/2020 22:49,%RH,100.85
2/6/2020 23:49,%RH,103.281
2/7/2020 0:49,%RH,102.299
2/7/2020 1:49,%RH,102.323
2/7/2020 2:49,%RH,102.313
2/7/2020 3:49,%RH,101.322
2/7/2020 4:49,%RH,103.281
2/7/2020 5:49,%RH,102.323
2/7/2020 6:49,%RH,103.277
2/7/2020 7:49,%RH,96.481
2/7/2020 8:49,%RH,51.965
2/7/2020 9:49,%RH,42.128
2/7/2020 10:49,%RH,35.111
2/7/2020 11:49,%RH,33.43
2/7/2020 12:49,%RH,30.59
2/7/2020 13:49,%RH,44.363
2/7/2020 14:49,%RH,51.931
2/7/2020 15:49,%RH,56.855
2/7/2020 16:49,%RH,67.91
2/7/2020 17:49,%RH,83.053
2/7/2020 18:49,%RH,93.686
2/7/2020 19:49,%RH,100.019
2/7/2020 20:49,%RH,99.494
2/7/2020 21:49,%RH,100.974
2/7/2020 22:49,%RH,101.004
2/7/2020 23:49,%RH,101.903
2/8/2020 0:49,%RH,102.352
2/8/2020 1:49,%RH,102.824
2/8/2020 2:49,%RH,102.824
2/8/2020 3:49,%RH,102.801
2/8/2020 4:49,%RH,101.414
2/8/2020 5:49,%RH,98.422
2/8/2020 6:49,%RH,85.604
2/8/2020 7:49,%RH,57.954
2/8/2020 8:49,%RH,44.404
2/8/2020 9:49,%RH,39.523
2/8/2020 10:49,%RH,36.033
2/8/2020 11:49,%RH,34.761
2/8/2020 12:49,%RH,34.043
2/8/2020 13:49,%RH,43.07
2/8/2020 14:49,%RH,50.038
2/8/2020 15:49,%RH,52.493
2/8/2020 16:49,%RH,66.326
2/8/2020 17:49,%RH,80.95
2/8/2020 18:49,%RH,95.309
2/8/2020 19:49,%RH,99.029
2/8/2020 20:49,%RH,101.037
2/8/2020 21:49,%RH,101.983
2/8/2020 22:49,%RH,101.465
2/8/2020 23:49,%RH,102.416
2/9/2020 0:49,%RH,101.928
2/9/2020 1:49,%RH,103.326
2/9/2020 2:49,%RH,102.902
2/9/2020 3:49,%RH,102.05
2/9/2020 4:49,%RH,102.05
2/9/2020 5:49,%RH,102.573
2/9/2020 6:49,%RH,102.126
2/9/2020 7:49,%RH,87.611
2/9/2020 8:49,%RH,50.038
2/9/2020 9:49,%RH,50.506
2/9/2020 10:49,%RH,31.158
2/9/2020 11:49,%RH,28.981
2/9/2020 12:49,%RH,24.854
2/9/2020 13:49,%RH,26.43
2/9/2020 14:49,%RH,24.009
2/9/2020 15:49,%RH,25.439
2/9/2020 16:49,%RH,24.681
2/9/2020 17:49,%RH,25.133
2/9/2020 18:49,%RH,25.133
2/9/2020 19:49,%RH,26.999
2/9/2020 20:49,%RH,27.594
2/9/2020 21:49,%RH,32.605
2/9/2020 22:49,%RH,40.05
2/9/2020 23:49,%RH,44.946
2/10/2020 0:49,%RH,31.947
2/10/2020 1:49,%RH,33.261
2/10/2020 2:49,%RH,28.854
2/10/2020 3:49,%RH,27.448
2/10/2020 4:49,%RH,27.521
2/10/2020 5:49,%RH,30.771
2/10/2020 6:49,%RH,29.592
2/10/2020 7:49,%RH,25.592
2/10/2020 8:49,%RH,22.677
2/10/2020 9:49,%RH,21.349
2/10/2020 10:49,%RH,18.894
2/10/2020 11:49,%RH,18.304
2/10/2020 12:49,%RH,22.837
2/10/2020 13:49,%RH,22.358
2/10/2020 14:49,%RH,27.644
2/10/2020 15:49,%RH,24.165
2/10/2020 16:49,%RH,24.061
2/10/2020 17:49,%RH,23.932
2/10/2020 18:49,%RH,20.681
2/10/2020 19:49,%RH,19.386
2/10/2020 20:49,%RH,20.846
2/10/2020 21:49,%RH,24.017
2/10/2020 22:49,%RH,30.484
2/10/2020 23:49,%RH,25.89
2/11/2020 0:49,%RH,34.015
2/11/2020 1:49,%RH,22.059
2/11/2020 2:49,%RH,22.664
2/11/2020 3:49,%RH,25.818
2/11/2020 4:49,%RH,32.182
2/11/2020 5:49,%RH,48.415
2/11/2020 6:49,%RH,43.174
2/11/2020 7:49,%RH,25.541
2/11/2020 8:49,%RH,20.548
2/11/2020 9:49,%RH,19.266
2/11/2020 10:49,%RH,18.732
2/11/2020 11:49,%RH,16.256
2/11/2020 12:49,%RH,15.446
2/11/2020 13:49,%RH,22.198
2/11/2020 14:49,%RH,26.126
2/11/2020 15:49,%RH,32.752
2/11/2020 16:49,%RH,32.528
2/11/2020 17:49,%RH,50.133
2/11/2020 18:49,%RH,53.702
