Date/Time,Unit,Value
2/1/2020 4:05,%RH,46.909
2/1/2020 5:05,%RH,49.305
2/1/2020 6:05,%RH,52.812
2/1/2020 7:05,%RH,52.344
2/1/2020 8:05,%RH,36.182
2/1/2020 9:05,%RH,26.668
2/1/2020 10:05,%RH,23.99
2/1/2020 11:05,%RH,16.603
2/1/2020 12:05,%RH,14.679
2/1/2020 13:05,%RH,15.373
2/1/2020 14:05,%RH,15.324
2/1/2020 15:05,%RH,16.522
2/1/2020 16:05,%RH,28.107
2/1/2020 17:05,%RH,38.38
2/1/2020 18:05,%RH,55.544
2/1/2020 19:05,%RH,47.27
2/1/2020 20:05,%RH,50.737
2/1/2020 21:05,%RH,59.378
2/1/2020 22:05,%RH,55.404
2/1/2020 23:05,%RH,59.313
2/2/2020 0:05,%RH,63.772
2/2/2020 1:05,%RH,62.576
2/2/2020 2:05,%RH,68.56
2/2/2020 3:05,%RH,63.145
2/2/2020 4:05,%RH,67.957
2/2/2020 5:05,%RH,63.596
2/2/2020 6:05,%RH,63.596
2/2/2020 7:05,%RH,73.28
2/2/2020 8:05,%RH,38.689
2/2/2020 9:05,%RH,32.98
2/2/2020 10:05,%RH,29.534
2/2/2020 11:05,%RH,21.862
2/2/2020 12:05,%RH,18.225
2/2/2020 13:05,%RH,18.277
2/2/2020 14:05,%RH,20.882
2/2/2020 15:05,%RH,34.07
2/2/2020 16:05,%RH,52.495
2/2/2020 17:05,%RH,68.353
2/2/2020 18:05,%RH,78.202
2/2/2020 19:05,%RH,72.487
2/2/2020 20:05,%RH,60.807
2/2/2020 21:05,%RH,36.671
2/2/2020 22:05,%RH,25.796
2/2/2020 23:05,%RH,25.65
2/3/2020 0:05,%RH,28.966
2/3/2020 1:05,%RH,32.969
2/3/2020 2:05,%RH,43.679
2/3/2020 3:05,%RH,53.459
2/3/2020 4:05,%RH,55.194
2/3/2020 5:05,%RH,57.023
2/3/2020 6:05,%RH,59.308
2/3/2020 7:05,%RH,61.042
2/3/2020 8:05,%RH,59.471
2/3/2020 9:05,%RH,38.214
2/3/2020 10:05,%RH,38.338
2/3/2020 11:05,%RH,44.674
2/3/2020 12:05,%RH,31.277
2/3/2020 13:05,%RH,33.214
2/3/2020 14:05,%RH,24.221
2/3/2020 15:05,%RH,23.308
2/3/2020 16:05,%RH,23.669
2/3/2020 17:05,%RH,30.096
2/3/2020 18:05,%RH,23.99
2/3/2020 19:05,%RH,26.042
2/3/2020 20:05,%RH,32.623
2/3/2020 21:05,%RH,35.327
2/3/2020 22:05,%RH,35.126
2/3/2020 23:05,%RH,26.579
2/4/2020 0:05,%RH,25.754
2/4/2020 1:05,%RH,24.166
