1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 11000000543C1521
Is Mission Active?  true
Mission Start:  Sat Feb 01 03:18:00 PST 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1663
Total Samples:  1663
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2/1/20 3:18:00 AM,C,8.5
2/1/20 4:18:00 AM,C,6
2/1/20 5:18:00 AM,C,4.5
2/1/20 6:18:00 AM,C,5
2/1/20 7:18:00 AM,C,5
2/1/20 8:18:00 AM,C,20
2/1/20 9:18:00 AM,C,31.5
2/1/20 10:18:00 AM,C,43
2/1/20 11:18:00 AM,C,50
2/1/20 12:18:00 PM,C,51
2/1/20 1:18:00 PM,C,45
2/1/20 2:18:00 PM,C,33.5
2/1/20 3:18:00 PM,C,25
2/1/20 4:18:00 PM,C,18.5
2/1/20 5:18:00 PM,C,12
2/1/20 6:18:00 PM,C,8.5
2/1/20 7:18:00 PM,C,8
2/1/20 8:18:00 PM,C,7.5
2/1/20 9:18:00 PM,C,8
2/1/20 10:18:00 PM,C,6.5
2/1/20 11:18:00 PM,C,5
2/2/20 12:18:00 AM,C,5
2/2/20 1:18:00 AM,C,4
2/2/20 2:18:00 AM,C,3
2/2/20 3:18:00 AM,C,3.5
2/2/20 4:18:00 AM,C,3
2/2/20 5:18:00 AM,C,2
2/2/20 6:18:00 AM,C,1.5
2/2/20 7:18:00 AM,C,2
2/2/20 8:18:00 AM,C,15.5
2/2/20 9:18:00 AM,C,25.5
2/2/20 10:18:00 AM,C,35.5
2/2/20 11:18:00 AM,C,42.5
2/2/20 12:18:00 PM,C,43.5
2/2/20 1:18:00 PM,C,41
2/2/20 2:18:00 PM,C,33
2/2/20 3:18:00 PM,C,22
2/2/20 4:18:00 PM,C,15.5
2/2/20 5:18:00 PM,C,10.5
2/2/20 6:18:00 PM,C,7.5
2/2/20 7:18:00 PM,C,9
2/2/20 8:18:00 PM,C,9.5
2/2/20 9:18:00 PM,C,8
2/2/20 10:18:00 PM,C,6.5
2/2/20 11:18:00 PM,C,4.5
2/3/20 12:18:00 AM,C,5
2/3/20 1:18:00 AM,C,4.5
2/3/20 2:18:00 AM,C,4
2/3/20 3:18:00 AM,C,3.5
2/3/20 4:18:00 AM,C,3.5
2/3/20 5:18:00 AM,C,3
2/3/20 6:18:00 AM,C,3
