1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 080000006D9F9941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:51:01 PST 2020
Mission Sample Count:  1663
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:51:01 PST 2020
Total Mission Samples:  1663
Total Device Samples:  10503
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:51:01 AM,C,8.527
2/1/20 4:51:01 AM,C,8.527
2/1/20 5:51:01 AM,C,7.024
2/1/20 6:51:01 AM,C,7.525
2/1/20 7:51:01 AM,C,16.039
2/1/20 8:51:01 AM,C,26.045
2/1/20 9:51:01 AM,C,32.542
2/1/20 10:51:01 AM,C,42.029
2/1/20 11:51:01 AM,C,47.017
2/1/20 12:51:01 PM,C,45.521
2/1/20 1:51:01 PM,C,44.523
2/1/20 2:51:01 PM,C,39.034
2/1/20 3:51:01 PM,C,21.544
2/1/20 4:51:01 PM,C,17.04
2/1/20 5:51:01 PM,C,10.531
2/1/20 6:51:01 PM,C,12.034
2/1/20 7:51:01 PM,C,8.527
2/1/20 8:51:01 PM,C,9.028
2/1/20 9:51:01 PM,C,7.024
2/1/20 10:51:01 PM,C,7.525
2/1/20 11:51:01 PM,C,6.523
2/2/20 12:51:01 AM,C,5.52
2/2/20 1:51:01 AM,C,6.021
2/2/20 2:51:01 AM,C,4.518
2/2/20 3:51:01 AM,C,4.518
2/2/20 4:51:01 AM,C,4.016
2/2/20 5:51:01 AM,C,3.515
2/2/20 6:51:01 AM,C,3.515
2/2/20 7:51:01 AM,C,13.536
2/2/20 8:51:01 AM,C,21.544
2/2/20 9:51:01 AM,C,34.54
2/2/20 10:51:01 AM,C,40.531
2/2/20 11:51:01 AM,C,40.531
2/2/20 12:51:01 PM,C,35.04
2/2/20 1:51:01 PM,C,38.036
2/2/20 2:51:01 PM,C,32.042
2/2/20 3:51:01 PM,C,18.041
2/2/20 4:51:01 PM,C,14.537
2/2/20 5:51:01 PM,C,10.03
2/2/20 6:51:01 PM,C,10.531
2/2/20 7:51:01 PM,C,12.034
2/2/20 8:51:01 PM,C,10.03
2/2/20 9:51:01 PM,C,9.028
2/2/20 10:51:01 PM,C,7.024
2/2/20 11:51:01 PM,C,7.525
2/3/20 12:51:01 AM,C,7.024
2/3/20 1:51:01 AM,C,5.019
2/3/20 2:51:01 AM,C,5.52
2/3/20 3:51:01 AM,C,4.518
2/3/20 4:51:01 AM,C,4.518
2/3/20 5:51:01 AM,C,4.518
2/3/20 6:51:01 AM,C,4.016
2/3/20 7:51:01 AM,C,5.019
2/3/20 8:51:01 AM,C,8.026
2/3/20 9:51:01 AM,C,17.04
2/3/20 10:51:01 AM,C,20.043
2/3/20 11:51:01 AM,C,22.044
2/3/20 12:51:01 PM,C,20.543
2/3/20 1:51:01 PM,C,22.544
2/3/20 2:51:01 PM,C,19.543
2/3/20 3:51:01 PM,C,7.525
2/3/20 4:51:01 PM,C,6.021
2/3/20 5:51:01 PM,C,5.019
2/3/20 6:51:01 PM,C,5.52
2/3/20 7:51:01 PM,C,4.016
2/3/20 8:51:01 PM,C,4.016
2/3/20 9:51:01 PM,C,2.512
2/3/20 10:51:01 PM,C,1.509
2/3/20 11:51:01 PM,C,-0.497
2/4/20 12:51:01 AM,C,-2.002
2/4/20 1:51:01 AM,C,-0.998
2/4/20 2:51:01 AM,C,-2.503
2/4/20 3:51:01 AM,C,-3.005
2/4/20 4:51:01 AM,C,-3.507
2/4/20 5:51:01 AM,C,-5.012
2/4/20 6:51:01 AM,C,0.005
2/4/20 7:51:01 AM,C,7.525
2/4/20 8:51:01 AM,C,14.037
2/4/20 9:51:01 AM,C,21.044
2/4/20 10:51:01 AM,C,25.545
2/4/20 11:51:01 AM,C,30.044
2/4/20 12:51:01 PM,C,26.545
2/4/20 1:51:01 PM,C,27.045
2/4/20 2:51:01 PM,C,22.544
2/4/20 3:51:01 PM,C,11.032
2/4/20 4:51:01 PM,C,6.523
2/4/20 5:51:01 PM,C,0.506
2/4/20 6:51:01 PM,C,0.506
2/4/20 7:51:01 PM,C,0.005
2/4/20 8:51:01 PM,C,0.005
2/4/20 9:51:01 PM,C,0.005
2/4/20 10:51:01 PM,C,0.005
2/4/20 11:51:01 PM,C,0.506
2/5/20 12:51:01 AM,C,2.011
2/5/20 1:51:01 AM,C,-1.5
2/5/20 2:51:01 AM,C,-2.002
2/5/20 3:51:01 AM,C,-0.998
2/5/20 4:51:01 AM,C,-0.998
2/5/20 5:51:01 AM,C,-0.497
2/5/20 6:51:01 AM,C,-3.005
2/5/20 7:51:01 AM,C,6.523
2/5/20 8:51:01 AM,C,16.039
2/5/20 9:51:01 AM,C,22.544
2/5/20 10:51:01 AM,C,33.042
2/5/20 11:51:01 AM,C,35.539
2/5/20 12:51:01 PM,C,39.034
2/5/20 1:51:01 PM,C,37.536
2/5/20 2:51:01 PM,C,31.543
2/5/20 3:51:01 PM,C,15.539
2/5/20 4:51:01 PM,C,12.034
2/5/20 5:51:01 PM,C,8.527
2/5/20 6:51:01 PM,C,4.016
2/5/20 7:51:01 PM,C,3.014
2/5/20 8:51:01 PM,C,2.011
2/5/20 9:51:01 PM,C,1.008
2/5/20 10:51:01 PM,C,0.506
2/5/20 11:51:01 PM,C,1.008
2/6/20 12:51:01 AM,C,0.005
2/6/20 1:51:01 AM,C,-0.497
2/6/20 2:51:01 AM,C,-0.497
2/6/20 3:51:01 AM,C,0.506
2/6/20 4:51:01 AM,C,-0.497
2/6/20 5:51:01 AM,C,-0.497
2/6/20 6:51:01 AM,C,0.005
2/6/20 7:51:01 AM,C,9.028
2/6/20 8:51:01 AM,C,17.541
2/6/20 9:51:01 AM,C,26.045
2/6/20 10:51:01 AM,C,33.541
2/6/20 11:51:01 AM,C,37.037
2/6/20 12:51:01 PM,C,38.036
2/6/20 1:51:01 PM,C,34.54
2/6/20 2:51:01 PM,C,29.044
2/6/20 3:51:01 PM,C,15.038
2/6/20 4:51:01 PM,C,12.534
2/6/20 5:51:01 PM,C,10.03
2/6/20 6:51:01 PM,C,7.024
2/6/20 7:51:01 PM,C,4.016
2/6/20 8:51:01 PM,C,2.512
2/6/20 9:51:01 PM,C,3.014
2/6/20 10:51:01 PM,C,2.512
2/6/20 11:51:01 PM,C,1.509
2/7/20 12:51:01 AM,C,1.008
2/7/20 1:51:01 AM,C,1.008
2/7/20 2:51:01 AM,C,1.509
2/7/20 3:51:01 AM,C,1.008
2/7/20 4:51:01 AM,C,0.005
2/7/20 5:51:01 AM,C,0.506
2/7/20 6:51:01 AM,C,0.506
2/7/20 7:51:01 AM,C,9.028
2/7/20 8:51:01 AM,C,18.542
2/7/20 9:51:01 AM,C,26.545
2/7/20 10:51:01 AM,C,32.542
2/7/20 11:51:01 AM,C,38.036
2/7/20 12:51:01 PM,C,38.036
2/7/20 1:51:01 PM,C,36.038
2/7/20 2:51:01 PM,C,31.043
2/7/20 3:51:01 PM,C,17.541
2/7/20 4:51:01 PM,C,15.038
2/7/20 5:51:01 PM,C,11.533
2/7/20 6:51:01 PM,C,7.024
2/7/20 7:51:01 PM,C,6.021
2/7/20 8:51:01 PM,C,5.52
2/7/20 9:51:01 PM,C,4.016
2/7/20 10:51:01 PM,C,4.518
2/7/20 11:51:01 PM,C,3.515
2/8/20 12:51:01 AM,C,2.512
2/8/20 1:51:01 AM,C,2.512
2/8/20 2:51:01 AM,C,2.512
2/8/20 3:51:01 AM,C,2.512
2/8/20 4:51:01 AM,C,3.014
2/8/20 5:51:01 AM,C,2.011
2/8/20 6:51:01 AM,C,2.512
2/8/20 7:51:01 AM,C,10.531
2/8/20 8:51:01 AM,C,18.041
2/8/20 9:51:01 AM,C,26.045
2/8/20 10:51:01 AM,C,38.535
2/8/20 11:51:01 AM,C,39.034
2/8/20 12:51:01 PM,C,37.536
2/8/20 1:51:01 PM,C,36.538
2/8/20 2:51:01 PM,C,32.042
2/8/20 3:51:01 PM,C,18.041
2/8/20 4:51:01 PM,C,15.038
2/8/20 5:51:01 PM,C,12.034
2/8/20 6:51:01 PM,C,9.529
2/8/20 7:51:01 PM,C,6.021
2/8/20 8:51:01 PM,C,5.52
