1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  1665
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:45:01 PST 2020
Total Mission Samples:  1665
Total Device Samples:  9321
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:45:01 AM,%RH,56.462
2/1/20 4:45:01 AM,%RH,54.205
2/1/20 5:45:01 AM,%RH,59.985
2/1/20 6:45:01 AM,%RH,55.403
2/1/20 7:45:01 AM,%RH,55.011
2/1/20 8:45:01 AM,%RH,26.48
2/1/20 9:45:01 AM,%RH,17.658
2/1/20 10:45:01 AM,%RH,24.598
2/1/20 11:45:01 AM,%RH,19.542
2/1/20 12:45:01 PM,%RH,14.374
2/1/20 1:45:01 PM,%RH,17.07
2/1/20 2:45:01 PM,%RH,16.082
2/1/20 3:45:01 PM,%RH,16.992
2/1/20 4:45:01 PM,%RH,29.181
2/1/20 5:45:01 PM,%RH,56.418
2/1/20 6:45:01 PM,%RH,55.225
2/1/20 7:45:01 PM,%RH,59.221
2/1/20 8:45:01 PM,%RH,59.735
2/1/20 9:45:01 PM,%RH,65.197
2/1/20 10:45:01 PM,%RH,66.257
2/1/20 11:45:01 PM,%RH,75.252
2/2/20 12:45:01 AM,%RH,71.576
2/2/20 1:45:01 AM,%RH,73.132
2/2/20 2:45:01 AM,%RH,75.726
2/2/20 3:45:01 AM,%RH,75.2
2/2/20 4:45:01 AM,%RH,78.227
2/2/20 5:45:01 AM,%RH,80.226
2/2/20 6:45:01 AM,%RH,84.631
2/2/20 7:45:01 AM,%RH,63.711
2/2/20 8:45:01 AM,%RH,36.044
2/2/20 9:45:01 AM,%RH,22.598
2/2/20 10:45:01 AM,%RH,18.598
2/2/20 11:45:01 AM,%RH,22.666
2/2/20 12:45:01 PM,%RH,19.281
2/2/20 1:45:01 PM,%RH,23.82
2/2/20 2:45:01 PM,%RH,32.601
2/2/20 3:45:01 PM,%RH,36.402
2/2/20 4:45:01 PM,%RH,60.988
2/2/20 5:45:01 PM,%RH,73.353
2/2/20 6:45:01 PM,%RH,78.97
2/2/20 7:45:01 PM,%RH,66.092
2/2/20 8:45:01 PM,%RH,47.613
2/2/20 9:45:01 PM,%RH,28.499
2/2/20 10:45:01 PM,%RH,29.642
2/2/20 11:45:01 PM,%RH,28.892
2/3/20 12:45:01 AM,%RH,34.86
2/3/20 1:45:01 AM,%RH,49.374
2/3/20 2:45:01 AM,%RH,53.643
2/3/20 3:45:01 AM,%RH,57.168
2/3/20 4:45:01 AM,%RH,59.571
2/3/20 5:45:01 AM,%RH,61.833
2/3/20 6:45:01 AM,%RH,63.498
2/3/20 7:45:01 AM,%RH,60.153
2/3/20 8:45:01 AM,%RH,47.83
2/3/20 9:45:01 AM,%RH,28.047
2/3/20 10:45:01 AM,%RH,22.736
2/3/20 11:45:01 AM,%RH,22.522
2/3/20 12:45:01 PM,%RH,22.416
2/3/20 1:45:01 PM,%RH,21.542
2/3/20 2:45:01 PM,%RH,19.389
2/3/20 3:45:01 PM,%RH,17.61
2/3/20 4:45:01 PM,%RH,32.796
2/3/20 5:45:01 PM,%RH,28.678
2/3/20 6:45:01 PM,%RH,26.012
2/3/20 7:45:01 PM,%RH,33.924
2/3/20 8:45:01 PM,%RH,37.814
2/3/20 9:45:01 PM,%RH,43.433
2/3/20 10:45:01 PM,%RH,48.244
2/3/20 11:45:01 PM,%RH,45.683
2/4/20 12:45:01 AM,%RH,38.025
2/4/20 1:45:01 AM,%RH,37.963
2/4/20 2:45:01 AM,%RH,43.56
2/4/20 3:45:01 AM,%RH,39.744
2/4/20 4:45:01 AM,%RH,46.633
2/4/20 5:45:01 AM,%RH,52.797
2/4/20 6:45:01 AM,%RH,33.326
2/4/20 7:45:01 AM,%RH,30.533
2/4/20 8:45:01 AM,%RH,16.654
2/4/20 9:45:01 AM,%RH,13.481
2/4/20 10:45:01 AM,%RH,12.954
2/4/20 11:45:01 AM,%RH,13.848
2/4/20 12:45:01 PM,%RH,11.26
2/4/20 1:45:01 PM,%RH,9.822
2/4/20 2:45:01 PM,%RH,10.077
2/4/20 3:45:01 PM,%RH,12.232
2/4/20 4:45:01 PM,%RH,22.216
2/4/20 5:45:01 PM,%RH,33.054
2/4/20 6:45:01 PM,%RH,34.855
2/4/20 7:45:01 PM,%RH,34.855
2/4/20 8:45:01 PM,%RH,44.942
2/4/20 9:45:01 PM,%RH,25.032
2/4/20 10:45:01 PM,%RH,27.571
2/4/20 11:45:01 PM,%RH,31.443
2/5/20 12:45:01 AM,%RH,30.226
2/5/20 1:45:01 AM,%RH,42.445
2/5/20 2:45:01 AM,%RH,49.235
2/5/20 3:45:01 AM,%RH,51.044
2/5/20 4:45:01 AM,%RH,59.431
2/5/20 5:45:01 AM,%RH,48.661
2/5/20 6:45:01 AM,%RH,58.251
2/5/20 7:45:01 AM,%RH,36.318
2/5/20 8:45:01 AM,%RH,25.638
2/5/20 9:45:01 AM,%RH,18.912
2/5/20 10:45:01 AM,%RH,15.629
2/5/20 11:45:01 AM,%RH,17.67
2/5/20 12:45:01 PM,%RH,12.47
2/5/20 1:45:01 PM,%RH,13.057
2/5/20 2:45:01 PM,%RH,13.481
2/5/20 3:45:01 PM,%RH,17.162
2/5/20 4:45:01 PM,%RH,31.117
2/5/20 5:45:01 PM,%RH,37.396
2/5/20 6:45:01 PM,%RH,44.763
2/5/20 7:45:01 PM,%RH,50.3
2/5/20 8:45:01 PM,%RH,69.045
2/5/20 9:45:01 PM,%RH,72.264
2/5/20 10:45:01 PM,%RH,75.417
2/5/20 11:45:01 PM,%RH,75.905
2/6/20 12:45:01 AM,%RH,77.922
2/6/20 1:45:01 AM,%RH,73.829
2/6/20 2:45:01 AM,%RH,81.493
2/6/20 3:45:01 AM,%RH,84.92
2/6/20 4:45:01 AM,%RH,81.996
2/6/20 5:45:01 AM,%RH,86.38
2/6/20 6:45:01 AM,%RH,88.757
2/6/20 7:45:01 AM,%RH,63.194
2/6/20 8:45:01 AM,%RH,37.591
2/6/20 9:45:01 AM,%RH,22.666
2/6/20 10:45:01 AM,%RH,17.618
2/6/20 11:45:01 AM,%RH,21.63
2/6/20 12:45:01 PM,%RH,23.606
2/6/20 1:45:01 PM,%RH,22.842
2/6/20 2:45:01 PM,%RH,24.754
2/6/20 3:45:01 PM,%RH,30.663
2/6/20 4:45:01 PM,%RH,57.677
2/6/20 5:45:01 PM,%RH,65.461
2/6/20 6:45:01 PM,%RH,75.007
2/6/20 7:45:01 PM,%RH,77.445
2/6/20 8:45:01 PM,%RH,92.66
2/6/20 9:45:01 PM,%RH,94.883
2/6/20 10:45:01 PM,%RH,95.77
2/6/20 11:45:01 PM,%RH,96.21
2/7/20 12:45:01 AM,%RH,95.721
2/7/20 1:45:01 AM,%RH,97.907
2/7/20 2:45:01 AM,%RH,99.601
2/7/20 3:45:01 AM,%RH,98.359
2/7/20 4:45:01 AM,%RH,98.719
2/7/20 5:45:01 AM,%RH,99.147
2/7/20 6:45:01 AM,%RH,98.732
2/7/20 7:45:01 AM,%RH,84.978
2/7/20 8:45:01 AM,%RH,44.957
2/7/20 9:45:01 AM,%RH,26.267
2/7/20 10:45:01 AM,%RH,23.874
2/7/20 11:45:01 AM,%RH,24.745
2/7/20 12:45:01 PM,%RH,25.235
2/7/20 1:45:01 PM,%RH,24.529
2/7/20 2:45:01 PM,%RH,30.596
2/7/20 3:45:01 PM,%RH,40.904
2/7/20 4:45:01 PM,%RH,62.788
2/7/20 5:45:01 PM,%RH,73.426
2/7/20 6:45:01 PM,%RH,80.807
2/7/20 7:45:01 PM,%RH,90.225
2/7/20 8:45:01 PM,%RH,95.132
2/7/20 9:45:01 PM,%RH,97.642
2/7/20 10:45:01 PM,%RH,95.933
2/7/20 11:45:01 PM,%RH,97.174
2/8/20 12:45:01 AM,%RH,97.952
2/8/20 1:45:01 AM,%RH,96.268
2/8/20 2:45:01 AM,%RH,93.598
2/8/20 3:45:01 AM,%RH,94.465
2/8/20 4:45:01 AM,%RH,93.537
2/8/20 5:45:01 AM,%RH,95.257
2/8/20 6:45:01 AM,%RH,92.603
2/8/20 7:45:01 AM,%RH,63.356
2/8/20 8:45:01 AM,%RH,38.971
2/8/20 9:45:01 AM,%RH,26.86
2/8/20 10:45:01 AM,%RH,23.099
2/8/20 11:45:01 AM,%RH,29.376
2/8/20 12:45:01 PM,%RH,31.338
2/8/20 1:45:01 PM,%RH,27.824
2/8/20 2:45:01 PM,%RH,31.864
2/8/20 3:45:01 PM,%RH,35.005
2/8/20 4:45:01 PM,%RH,62.788
2/8/20 5:45:01 PM,%RH,75.021
2/8/20 6:45:01 PM,%RH,88.154
2/8/20 7:45:01 PM,%RH,93.485
2/8/20 8:45:01 PM,%RH,97.326
2/8/20 9:45:01 PM,%RH,98.11
2/8/20 10:45:01 PM,%RH,99.746
2/8/20 11:45:01 PM,%RH,99.322
2/9/20 12:45:01 AM,%RH,100.557
2/9/20 1:45:01 AM,%RH,100.137
2/9/20 2:45:01 AM,%RH,100.62
2/9/20 3:45:01 AM,%RH,99.982
2/9/20 4:45:01 AM,%RH,97.759
2/9/20 5:45:01 AM,%RH,97.37
