1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 430000006D9D2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:46:01 PST 2020
Mission Sample Count:  1664
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:46:01 PST 2020
Total Mission Samples:  1664
Total Device Samples:  10465
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:46:01 AM,C,8.08
2/1/20 4:46:01 AM,C,8.581
2/1/20 5:46:01 AM,C,7.077
2/1/20 6:46:01 AM,C,8.581
2/1/20 7:46:01 AM,C,23.605
2/1/20 8:46:01 AM,C,32.602
2/1/20 9:46:01 AM,C,37.594
2/1/20 10:46:01 AM,C,41.585
2/1/20 11:46:01 AM,C,45.573
2/1/20 12:46:01 PM,C,46.569
2/1/20 1:46:01 PM,C,42.582
2/1/20 2:46:01 PM,C,39.091
2/1/20 3:46:01 PM,C,35.098
2/1/20 4:46:01 PM,C,20.103
2/1/20 5:46:01 PM,C,10.086
2/1/20 6:46:01 PM,C,10.587
2/1/20 7:46:01 PM,C,9.083
2/1/20 8:46:01 PM,C,9.083
2/1/20 9:46:01 PM,C,7.077
2/1/20 10:46:01 PM,C,7.579
2/1/20 11:46:01 PM,C,5.071
2/2/20 12:46:01 AM,C,5.572
2/2/20 1:46:01 AM,C,5.572
2/2/20 2:46:01 AM,C,4.569
2/2/20 3:46:01 AM,C,3.064
2/2/20 4:46:01 AM,C,3.064
2/2/20 5:46:01 AM,C,2.06
2/2/20 6:46:01 AM,C,1.056
2/2/20 7:46:01 AM,C,20.603
2/2/20 8:46:01 AM,C,28.605
2/2/20 9:46:01 AM,C,34.599
2/2/20 10:46:01 AM,C,39.091
2/2/20 11:46:01 AM,C,36.596
2/2/20 12:46:01 PM,C,39.589
2/2/20 1:46:01 PM,C,32.602
2/2/20 2:46:01 PM,C,28.105
2/2/20 3:46:01 PM,C,25.105
2/2/20 4:46:01 PM,C,15.096
2/2/20 5:46:01 PM,C,9.584
2/2/20 6:46:01 PM,C,9.083
2/2/20 7:46:01 PM,C,11.088
2/2/20 8:46:01 PM,C,10.086
2/2/20 9:46:01 PM,C,8.581
2/2/20 10:46:01 PM,C,7.077
2/2/20 11:46:01 PM,C,6.576
2/3/20 12:46:01 AM,C,6.074
2/3/20 1:46:01 AM,C,4.067
2/3/20 2:46:01 AM,C,4.569
2/3/20 3:46:01 AM,C,4.067
2/3/20 4:46:01 AM,C,4.067
2/3/20 5:46:01 AM,C,4.067
2/3/20 6:46:01 AM,C,3.565
2/3/20 7:46:01 AM,C,5.071
2/3/20 8:46:01 AM,C,8.08
2/3/20 9:46:01 AM,C,21.604
2/3/20 10:46:01 AM,C,23.605
2/3/20 11:46:01 AM,C,23.105
2/3/20 12:46:01 PM,C,22.104
2/3/20 1:46:01 PM,C,22.104
2/3/20 2:46:01 PM,C,21.604
2/3/20 3:46:01 PM,C,18.101
2/3/20 4:46:01 PM,C,6.576
2/3/20 5:46:01 PM,C,5.071
2/3/20 6:46:01 PM,C,5.572
2/3/20 7:46:01 PM,C,4.067
2/3/20 8:46:01 PM,C,3.565
2/3/20 9:46:01 PM,C,2.06
2/3/20 10:46:01 PM,C,0.052
2/3/20 11:46:01 PM,C,-1.455
2/4/20 12:46:01 AM,C,-0.953
2/4/20 1:46:01 AM,C,-0.45
2/4/20 2:46:01 AM,C,-2.962
2/4/20 3:46:01 AM,C,-2.962
2/4/20 4:46:01 AM,C,-4.469
2/4/20 5:46:01 AM,C,-4.469
2/4/20 6:46:01 AM,C,-1.455
2/4/20 7:46:01 AM,C,14.595
2/4/20 8:46:01 AM,C,21.604
2/4/20 9:46:01 AM,C,27.105
2/4/20 10:46:01 AM,C,28.605
2/4/20 11:46:01 AM,C,27.105
2/4/20 12:46:01 PM,C,26.105
2/4/20 1:46:01 PM,C,25.105
2/4/20 2:46:01 PM,C,23.105
2/4/20 3:46:01 PM,C,16.599
2/4/20 4:46:01 PM,C,9.584
2/4/20 5:46:01 PM,C,1.558
2/4/20 6:46:01 PM,C,1.056
2/4/20 7:46:01 PM,C,-0.45
2/4/20 8:46:01 PM,C,-1.957
2/4/20 9:46:01 PM,C,3.064
2/4/20 10:46:01 PM,C,0.554
2/4/20 11:46:01 PM,C,-0.45
2/5/20 12:46:01 AM,C,0.554
2/5/20 1:46:01 AM,C,-1.957
2/5/20 2:46:01 AM,C,-1.957
2/5/20 3:46:01 AM,C,-2.459
2/5/20 4:46:01 AM,C,-3.464
2/5/20 5:46:01 AM,C,-2.459
2/5/20 6:46:01 AM,C,-4.469
2/5/20 7:46:01 AM,C,11.088
2/5/20 8:46:01 AM,C,20.103
2/5/20 9:46:01 AM,C,24.605
2/5/20 10:46:01 AM,C,28.105
2/5/20 11:46:01 AM,C,29.604
2/5/20 12:46:01 PM,C,31.103
2/5/20 1:46:01 PM,C,30.104
2/5/20 2:46:01 PM,C,27.605
2/5/20 3:46:01 PM,C,22.605
2/5/20 4:46:01 PM,C,13.092
2/5/20 5:46:01 PM,C,8.581
2/5/20 6:46:01 PM,C,4.067
2/5/20 7:46:01 PM,C,3.565
2/5/20 8:46:01 PM,C,1.056
2/5/20 9:46:01 PM,C,0.052
2/5/20 10:46:01 PM,C,0.554
2/5/20 11:46:01 PM,C,1.056
2/6/20 12:46:01 AM,C,-0.953
2/6/20 1:46:01 AM,C,-1.455
2/6/20 2:46:01 AM,C,-1.455
2/6/20 3:46:01 AM,C,-1.455
2/6/20 4:46:01 AM,C,-0.45
2/6/20 5:46:01 AM,C,-1.455
2/6/20 6:46:01 AM,C,-0.953
2/6/20 7:46:01 AM,C,15.597
2/6/20 8:46:01 AM,C,22.605
2/6/20 9:46:01 AM,C,26.605
2/6/20 10:46:01 AM,C,28.605
2/6/20 11:46:01 AM,C,30.603
2/6/20 12:46:01 PM,C,29.105
2/6/20 1:46:01 PM,C,28.105
2/6/20 2:46:01 PM,C,25.105
2/6/20 3:46:01 PM,C,22.104
2/6/20 4:46:01 PM,C,13.593
2/6/20 5:46:01 PM,C,9.584
2/6/20 6:46:01 PM,C,7.077
2/6/20 7:46:01 PM,C,4.067
2/6/20 8:46:01 PM,C,1.558
2/6/20 9:46:01 PM,C,1.558
2/6/20 10:46:01 PM,C,1.558
2/6/20 11:46:01 PM,C,0.554
2/7/20 12:46:01 AM,C,0.052
2/7/20 1:46:01 AM,C,-0.45
2/7/20 2:46:01 AM,C,0.052
2/7/20 3:46:01 AM,C,0.052
2/7/20 4:46:01 AM,C,-0.953
2/7/20 5:46:01 AM,C,-0.953
2/7/20 6:46:01 AM,C,-0.953
2/7/20 7:46:01 AM,C,17.099
