1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 460000006D9ACF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:44:01 PST 2020
Mission Sample Count:  1975
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:44:01 PST 2020
Total Mission Samples:  1975
Total Device Samples:  10772
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:44:01 AM,C,10.097
2/1/20 4:44:01 AM,C,9.595
2/1/20 5:44:01 AM,C,8.592
2/1/20 6:44:01 AM,C,9.595
2/1/20 7:44:01 AM,C,17.615
2/1/20 8:44:01 AM,C,26.121
2/1/20 9:44:01 AM,C,29.62
2/1/20 10:44:01 AM,C,28.62
2/1/20 11:44:01 AM,C,32.617
2/1/20 12:44:01 PM,C,30.119
2/1/20 1:44:01 PM,C,24.121
2/1/20 2:44:01 PM,C,23.12
2/1/20 3:44:01 PM,C,21.619
2/1/20 4:44:01 PM,C,17.615
2/1/20 5:44:01 PM,C,13.105
2/1/20 6:44:01 PM,C,12.604
2/1/20 7:44:01 PM,C,11.1
2/1/20 8:44:01 PM,C,12.103
2/1/20 9:44:01 PM,C,9.595
2/1/20 10:44:01 PM,C,9.595
2/1/20 11:44:01 PM,C,10.097
2/2/20 12:44:01 AM,C,8.09
2/2/20 1:44:01 AM,C,7.589
2/2/20 2:44:01 AM,C,7.589
2/2/20 3:44:01 AM,C,8.09
2/2/20 4:44:01 AM,C,6.083
2/2/20 5:44:01 AM,C,6.083
2/2/20 6:44:01 AM,C,4.577
2/2/20 7:44:01 AM,C,16.112
2/2/20 8:44:01 AM,C,23.12
2/2/20 9:44:01 AM,C,25.621
2/2/20 10:44:01 AM,C,25.121
2/2/20 11:44:01 AM,C,28.121
2/2/20 12:44:01 PM,C,28.62
2/2/20 1:44:01 PM,C,20.618
2/2/20 2:44:01 PM,C,18.616
2/2/20 3:44:01 PM,C,17.114
2/2/20 4:44:01 PM,C,14.609
2/2/20 5:44:01 PM,C,9.595
2/2/20 6:44:01 PM,C,8.592
2/2/20 7:44:01 PM,C,11.1
2/2/20 8:44:01 PM,C,11.1
2/2/20 9:44:01 PM,C,9.094
2/2/20 10:44:01 PM,C,8.09
2/2/20 11:44:01 PM,C,8.09
2/3/20 12:44:01 AM,C,7.589
2/3/20 1:44:01 AM,C,6.083
2/3/20 2:44:01 AM,C,5.581
2/3/20 3:44:01 AM,C,5.079
2/3/20 4:44:01 AM,C,5.079
2/3/20 5:44:01 AM,C,4.577
2/3/20 6:44:01 AM,C,4.577
2/3/20 7:44:01 AM,C,5.079
2/3/20 8:44:01 AM,C,7.087
2/3/20 9:44:01 AM,C,12.604
2/3/20 10:44:01 AM,C,11.1
2/3/20 11:44:01 AM,C,12.604
2/3/20 12:44:01 PM,C,11.601
2/3/20 1:44:01 PM,C,8.592
2/3/20 2:44:01 PM,C,8.09
2/3/20 3:44:01 PM,C,7.087
2/3/20 4:44:01 PM,C,6.585
2/3/20 5:44:01 PM,C,5.581
2/3/20 6:44:01 PM,C,5.581
2/3/20 7:44:01 PM,C,5.581
2/3/20 8:44:01 PM,C,5.079
2/3/20 9:44:01 PM,C,4.577
2/3/20 10:44:01 PM,C,3.071
2/3/20 11:44:01 PM,C,1.061
2/4/20 12:44:01 AM,C,1.061
2/4/20 1:44:01 AM,C,1.564
2/4/20 2:44:01 AM,C,-1.451
2/4/20 3:44:01 AM,C,-0.949
2/4/20 4:44:01 AM,C,-1.954
2/4/20 5:44:01 AM,C,-2.959
2/4/20 6:44:01 AM,C,-0.446
2/4/20 7:44:01 AM,C,10.097
2/4/20 8:44:01 AM,C,17.114
2/4/20 9:44:01 AM,C,19.117
2/4/20 10:44:01 AM,C,15.11
2/4/20 11:44:01 AM,C,16.613
2/4/20 12:44:01 PM,C,15.11
2/4/20 1:44:01 PM,C,10.097
2/4/20 2:44:01 PM,C,10.097
2/4/20 3:44:01 PM,C,10.097
2/4/20 4:44:01 PM,C,8.09
2/4/20 5:44:01 PM,C,3.071
2/4/20 6:44:01 PM,C,1.564
2/4/20 7:44:01 PM,C,2.066
2/4/20 8:44:01 PM,C,0.559
2/4/20 9:44:01 PM,C,2.066
2/4/20 10:44:01 PM,C,1.564
2/4/20 11:44:01 PM,C,3.573
2/5/20 12:44:01 AM,C,3.071
2/5/20 1:44:01 AM,C,0.056
2/5/20 2:44:01 AM,C,1.061
2/5/20 3:44:01 AM,C,0.056
2/5/20 4:44:01 AM,C,-0.446
2/5/20 5:44:01 AM,C,0.056
2/5/20 6:44:01 AM,C,-1.954
2/5/20 7:44:01 AM,C,7.589
2/5/20 8:44:01 AM,C,15.611
2/5/20 9:44:01 AM,C,20.118
2/5/20 10:44:01 AM,C,19.617
2/5/20 11:44:01 AM,C,20.618
2/5/20 12:44:01 PM,C,22.12
2/5/20 1:44:01 PM,C,16.613
2/5/20 2:44:01 PM,C,14.609
2/5/20 3:44:01 PM,C,14.108
2/5/20 4:44:01 PM,C,11.601
2/5/20 5:44:01 PM,C,6.585
2/5/20 6:44:01 PM,C,4.577
2/5/20 7:44:01 PM,C,3.071
2/5/20 8:44:01 PM,C,2.568
2/5/20 9:44:01 PM,C,1.564
2/5/20 10:44:01 PM,C,1.061
2/5/20 11:44:01 PM,C,2.066
2/6/20 12:44:01 AM,C,0.559
2/6/20 1:44:01 AM,C,0.056
2/6/20 2:44:01 AM,C,0.056
2/6/20 3:44:01 AM,C,-0.446
2/6/20 4:44:01 AM,C,0.559
2/6/20 5:44:01 AM,C,-0.446
2/6/20 6:44:01 AM,C,0.056
2/6/20 7:44:01 AM,C,12.103
2/6/20 8:44:01 AM,C,18.616
