1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000006D9AC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Oct 22 16:00:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:00:01 PDT 2021
Total Mission Samples:  8568
Total Device Samples:  54418
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:00:01 AM,%RH,102.555
4/27/21, 1:00:01 AM,%RH,101.741
4/27/21, 2:00:01 AM,%RH,101.741
4/27/21, 3:00:01 AM,%RH,103.015
4/27/21, 4:00:01 AM,%RH,103.474
4/27/21, 5:00:01 AM,%RH,104.302
4/27/21, 6:00:01 AM,%RH,103.824
4/27/21, 7:00:01 AM,%RH,103.872
4/27/21, 8:00:01 AM,%RH,102.183
4/27/21, 9:00:01 AM,%RH,94.137
4/27/21, 10:00:01 AM,%RH,84.839
4/27/21, 11:00:01 AM,%RH,66.442
4/27/21, 12:00:01 PM,%RH,40.69
4/27/21, 1:00:01 PM,%RH,30.305
4/27/21, 2:00:01 PM,%RH,28.775
4/27/21, 3:00:01 PM,%RH,29.195
4/27/21, 4:00:01 PM,%RH,28.199
4/27/21, 5:00:01 PM,%RH,29.904
4/27/21, 6:00:01 PM,%RH,41.748
4/27/21, 7:00:01 PM,%RH,42.366
4/27/21, 8:00:01 PM,%RH,47.641
4/27/21, 9:00:01 PM,%RH,44.486
4/27/21, 10:00:01 PM,%RH,40.153
4/27/21, 11:00:01 PM,%RH,40.723
4/28/21, 12:00:01 AM,%RH,46.309
4/28/21, 1:00:01 AM,%RH,47.565
4/28/21, 2:00:01 AM,%RH,55.284
4/28/21, 3:00:01 AM,%RH,58.889
4/28/21, 4:00:01 AM,%RH,43.673
4/28/21, 5:00:01 AM,%RH,44.639
4/28/21, 6:00:01 AM,%RH,54.821
4/28/21, 7:00:01 AM,%RH,51.913
4/28/21, 8:00:01 AM,%RH,30.771
4/28/21, 9:00:01 AM,%RH,24.205
4/28/21, 10:00:01 AM,%RH,21.884
4/28/21, 11:00:01 AM,%RH,21.178
4/28/21, 12:00:01 PM,%RH,17.107
4/28/21, 1:00:01 PM,%RH,17.671
4/28/21, 2:00:01 PM,%RH,16.133
4/28/21, 3:00:01 PM,%RH,16.133
4/28/21, 4:00:01 PM,%RH,14.176
4/28/21, 5:00:01 PM,%RH,16.008
4/28/21, 6:00:01 PM,%RH,20.76
4/28/21, 7:00:01 PM,%RH,21.356
4/28/21, 8:00:01 PM,%RH,29.121
4/28/21, 9:00:01 PM,%RH,20.926
4/28/21, 10:00:01 PM,%RH,17.323
4/28/21, 11:00:01 PM,%RH,20.22
4/29/21, 12:00:01 AM,%RH,25.536
4/29/21, 1:00:01 AM,%RH,31.461
4/29/21, 2:00:01 AM,%RH,30.793
4/29/21, 3:00:01 AM,%RH,41.853
4/29/21, 4:00:01 AM,%RH,38.193
4/29/21, 5:00:01 AM,%RH,43.699
4/29/21, 6:00:01 AM,%RH,34.409
4/29/21, 7:00:01 AM,%RH,38.409
4/29/21, 8:00:01 AM,%RH,20.204
4/29/21, 9:00:01 AM,%RH,21.338
4/29/21, 10:00:01 AM,%RH,16.74
4/29/21, 11:00:01 AM,%RH,16.015
4/29/21, 12:00:01 PM,%RH,15.288
4/29/21, 1:00:01 PM,%RH,16.74
4/29/21, 2:00:01 PM,%RH,14.511
4/29/21, 3:00:01 PM,%RH,15.866
4/29/21, 4:00:01 PM,%RH,17.107
4/29/21, 5:00:01 PM,%RH,22.914
4/29/21, 6:00:01 PM,%RH,25.274
4/29/21, 7:00:01 PM,%RH,35.753
4/29/21, 8:00:01 PM,%RH,52.04
4/29/21, 9:00:01 PM,%RH,52.04
4/29/21, 10:00:01 PM,%RH,58.66
4/29/21, 11:00:01 PM,%RH,62.578
4/30/21, 12:00:01 AM,%RH,62.578
4/30/21, 1:00:01 AM,%RH,60.669
4/30/21, 2:00:01 AM,%RH,52.92
4/30/21, 3:00:01 AM,%RH,49.839
4/30/21, 4:00:01 AM,%RH,49.217
4/30/21, 5:00:01 AM,%RH,50.933
4/30/21, 6:00:01 AM,%RH,54.402
4/30/21, 7:00:01 AM,%RH,58.363
4/30/21, 8:00:01 AM,%RH,22.86
4/30/21, 9:00:01 AM,%RH,19.009
4/30/21, 10:00:01 AM,%RH,18.389
4/30/21, 11:00:01 AM,%RH,19.164
4/30/21, 12:00:01 PM,%RH,16.407
4/30/21, 1:00:01 PM,%RH,16.989
4/30/21, 2:00:01 PM,%RH,14.511
4/30/21, 3:00:01 PM,%RH,15.19
4/30/21, 4:00:01 PM,%RH,20.522
4/30/21, 5:00:01 PM,%RH,20.097
4/30/21, 6:00:01 PM,%RH,21.891
4/30/21, 7:00:01 PM,%RH,26.498
4/30/21, 8:00:01 PM,%RH,35.558
4/30/21, 9:00:01 PM,%RH,45.768
