1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 470000006CBA1941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:01:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:01:01 PDT 2021
Total Mission Samples:  14915
Total Device Samples:  22527
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:01:01 AM,C,4.589
4/27/21, 1:01:01 AM,C,4.589
4/27/21, 2:01:01 AM,C,6.097
4/27/21, 3:01:01 AM,C,5.595
4/27/21, 4:01:01 AM,C,4.087
4/27/21, 5:01:01 AM,C,2.578
4/27/21, 6:01:01 AM,C,2.075
4/27/21, 7:01:01 AM,C,2.578
4/27/21, 8:01:01 AM,C,11.621
4/27/21, 9:01:01 AM,C,19.642
4/27/21, 10:01:01 AM,C,21.144
4/27/21, 11:01:01 AM,C,23.646
4/27/21, 12:01:01 PM,C,31.142
4/27/21, 1:01:01 PM,C,29.644
4/27/21, 2:01:01 PM,C,30.143
4/27/21, 3:01:01 PM,C,27.646
4/27/21, 4:01:01 PM,C,26.646
4/27/21, 5:01:01 PM,C,19.642
4/27/21, 6:01:01 PM,C,17.138
4/27/21, 7:01:01 PM,C,16.135
4/27/21, 8:01:01 PM,C,13.628
4/27/21, 9:01:01 PM,C,13.127
4/27/21, 10:01:01 PM,C,12.625
4/27/21, 11:01:01 PM,C,14.13
4/28/21, 12:01:01 AM,C,13.127
4/28/21, 1:01:01 AM,C,12.625
4/28/21, 2:01:01 AM,C,10.618
4/28/21, 3:01:01 AM,C,11.12
4/28/21, 4:01:01 AM,C,14.631
4/28/21, 5:01:01 AM,C,14.13
4/28/21, 6:01:01 AM,C,13.628
4/28/21, 7:01:01 AM,C,13.628
4/28/21, 8:01:01 AM,C,30.643
4/28/21, 9:01:01 AM,C,35.632
4/28/21, 10:01:01 AM,C,37.626
4/28/21, 11:01:01 AM,C,38.623
4/28/21, 12:01:01 PM,C,40.117
4/28/21, 1:01:01 PM,C,37.128
4/28/21, 2:01:01 PM,C,37.626
4/28/21, 3:01:01 PM,C,36.629
4/28/21, 4:01:01 PM,C,32.14
4/28/21, 5:01:01 PM,C,27.146
4/28/21, 6:01:01 PM,C,25.646
4/28/21, 7:01:01 PM,C,22.646
4/28/21, 8:01:01 PM,C,19.141
4/28/21, 9:01:01 PM,C,18.14
4/28/21, 10:01:01 PM,C,18.641
4/28/21, 11:01:01 PM,C,18.14
4/29/21, 12:01:01 AM,C,14.631
4/29/21, 1:01:01 AM,C,14.631
4/29/21, 2:01:01 AM,C,11.12
4/29/21, 3:01:01 AM,C,8.107
4/29/21, 4:01:01 AM,C,8.609
4/29/21, 5:01:01 AM,C,6.6
4/29/21, 6:01:01 AM,C,10.116
4/29/21, 7:01:01 AM,C,9.614
4/29/21, 8:01:01 AM,C,31.641
4/29/21, 9:01:01 AM,C,41.611
4/29/21, 10:01:01 AM,C,46.586
4/29/21, 11:01:01 AM,C,47.083
4/29/21, 12:01:01 PM,C,47.58
4/29/21, 1:01:01 PM,C,43.104
4/29/21, 2:01:01 PM,C,44.099
4/29/21, 3:01:01 PM,C,41.113
4/29/21, 4:01:01 PM,C,39.121
4/29/21, 5:01:01 PM,C,32.639
4/29/21, 6:01:01 PM,C,28.145
4/29/21, 7:01:01 PM,C,24.646
4/29/21, 8:01:01 PM,C,17.639
4/29/21, 9:01:01 PM,C,18.641
4/29/21, 10:01:01 PM,C,15.634
4/29/21, 11:01:01 PM,C,13.628
4/30/21, 12:01:01 AM,C,12.123
4/30/21, 1:01:01 AM,C,11.621
4/30/21, 2:01:01 AM,C,13.127
4/30/21, 3:01:01 AM,C,13.628
4/30/21, 4:01:01 AM,C,11.621
4/30/21, 5:01:01 AM,C,11.12
4/30/21, 6:01:01 AM,C,10.116
4/30/21, 7:01:01 AM,C,11.621
4/30/21, 8:01:01 AM,C,33.138
4/30/21, 9:01:01 AM,C,43.104
