1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D0000006D9F6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:01:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:01:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  22021
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:01:01 AM,C,6.556
4/27/21, 1:01:01 AM,C,7.057
4/27/21, 2:01:01 AM,C,6.556
4/27/21, 3:01:01 AM,C,6.054
4/27/21, 4:01:01 AM,C,6.556
4/27/21, 5:01:01 AM,C,5.553
4/27/21, 6:01:01 AM,C,4.048
4/27/21, 7:01:01 AM,C,4.048
4/27/21, 8:01:01 AM,C,13.072
4/27/21, 9:01:01 AM,C,17.078
4/27/21, 10:01:01 AM,C,21.082
4/27/21, 11:01:01 AM,C,26.084
4/27/21, 12:01:01 PM,C,25.084
4/27/21, 1:01:01 PM,C,24.584
4/27/21, 2:01:01 PM,C,26.084
4/27/21, 3:01:01 PM,C,23.083
4/27/21, 4:01:01 PM,C,23.584
4/27/21, 5:01:01 PM,C,19.581
4/27/21, 6:01:01 PM,C,18.58
4/27/21, 7:01:01 PM,C,17.078
4/27/21, 8:01:01 PM,C,16.077
4/27/21, 9:01:01 PM,C,15.576
4/27/21, 10:01:01 PM,C,16.077
4/27/21, 11:01:01 PM,C,16.077
4/28/21, 12:01:01 AM,C,16.077
4/28/21, 1:01:01 AM,C,15.075
4/28/21, 2:01:01 AM,C,13.573
4/28/21, 3:01:01 AM,C,15.075
4/28/21, 4:01:01 AM,C,17.078
4/28/21, 5:01:01 AM,C,16.578
4/28/21, 6:01:01 AM,C,16.077
4/28/21, 7:01:01 AM,C,16.578
4/28/21, 8:01:01 AM,C,24.584
4/28/21, 9:01:01 AM,C,28.084
4/28/21, 10:01:01 AM,C,29.583
4/28/21, 11:01:01 AM,C,31.082
4/28/21, 12:01:01 PM,C,33.08
4/28/21, 1:01:01 PM,C,35.077
4/28/21, 2:01:01 PM,C,35.077
4/28/21, 3:01:01 PM,C,31.581
4/28/21, 4:01:01 PM,C,30.083
4/28/21, 5:01:01 PM,C,27.584
4/28/21, 6:01:01 PM,C,26.084
4/28/21, 7:01:01 PM,C,25.084
4/28/21, 8:01:01 PM,C,21.583
4/28/21, 9:01:01 PM,C,22.083
4/28/21, 10:01:01 PM,C,21.082
4/28/21, 11:01:01 PM,C,22.083
4/29/21, 12:01:01 AM,C,19.581
4/29/21, 1:01:01 AM,C,20.082
4/29/21, 2:01:01 AM,C,18.079
4/29/21, 3:01:01 AM,C,14.574
4/29/21, 4:01:01 AM,C,14.074
4/29/21, 5:01:01 AM,C,13.072
4/29/21, 6:01:01 AM,C,14.574
