1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0F0000006CB83541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:43:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:43:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22519
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:43:01 AM,%RH,102.647
4/27/21, 1:43:01 AM,%RH,102.321
4/27/21, 2:43:01 AM,%RH,101.876
4/27/21, 3:43:01 AM,%RH,102.582
4/27/21, 4:43:01 AM,%RH,102.996
4/27/21, 5:43:01 AM,%RH,103.025
4/27/21, 6:43:01 AM,%RH,103.412
4/27/21, 7:43:01 AM,%RH,102.412
4/27/21, 8:43:01 AM,%RH,100.356
4/27/21, 9:43:01 AM,%RH,98.467
4/27/21, 10:43:01 AM,%RH,52.271
4/27/21, 11:43:01 AM,%RH,30.615
4/27/21, 12:43:01 PM,%RH,28.586
4/27/21, 1:43:01 PM,%RH,26.382
4/27/21, 2:43:01 PM,%RH,23.114
4/27/21, 3:43:01 PM,%RH,20.865
4/27/21, 4:43:01 PM,%RH,25.207
4/27/21, 5:43:01 PM,%RH,32.623
4/27/21, 6:43:01 PM,%RH,36.627
4/27/21, 7:43:01 PM,%RH,40.537
4/27/21, 8:43:01 PM,%RH,42.174
4/27/21, 9:43:01 PM,%RH,38.33
4/27/21, 10:43:01 PM,%RH,35.013
4/27/21, 11:43:01 PM,%RH,37.67
4/28/21, 12:43:01 AM,%RH,43.958
4/28/21, 1:43:01 AM,%RH,46.438
4/28/21, 2:43:01 AM,%RH,53.238
4/28/21, 3:43:01 AM,%RH,43.23
4/28/21, 4:43:01 AM,%RH,38.608
4/28/21, 5:43:01 AM,%RH,42.821
4/28/21, 6:43:01 AM,%RH,42.532
4/28/21, 7:43:01 AM,%RH,27.349
4/28/21, 8:43:01 AM,%RH,21.293
4/28/21, 9:43:01 AM,%RH,19.292
4/28/21, 10:43:01 AM,%RH,17.218
4/28/21, 11:43:01 AM,%RH,14.97
4/28/21, 12:43:01 PM,%RH,12.758
4/28/21, 1:43:01 PM,%RH,12.858
4/28/21, 2:43:01 PM,%RH,11.569
4/28/21, 3:43:01 PM,%RH,10.428
4/28/21, 4:43:01 PM,%RH,13.712
4/28/21, 5:43:01 PM,%RH,14.339
4/28/21, 6:43:01 PM,%RH,19.159
4/28/21, 7:43:01 PM,%RH,21.045
4/28/21, 8:43:01 PM,%RH,24.239
4/28/21, 9:43:01 PM,%RH,13.673
4/28/21, 10:43:01 PM,%RH,16.319
4/28/21, 11:43:01 PM,%RH,16.992
4/29/21, 12:43:01 AM,%RH,22.55
4/29/21, 1:43:01 AM,%RH,26.1
4/29/21, 2:43:01 AM,%RH,35.016
4/29/21, 3:43:01 AM,%RH,29.313
4/29/21, 4:43:01 AM,%RH,34.349
4/29/21, 5:43:01 AM,%RH,28.555
4/29/21, 6:43:01 AM,%RH,33.825
4/29/21, 7:43:01 AM,%RH,16.122
4/29/21, 8:43:01 AM,%RH,14.487
4/29/21, 9:43:01 AM,%RH,14.237
4/29/21, 10:43:01 AM,%RH,12.743
4/29/21, 11:43:01 AM,%RH,11.288
4/29/21, 12:43:01 PM,%RH,10.354
4/29/21, 1:43:01 PM,%RH,11.288
4/29/21, 2:43:01 PM,%RH,11.288
4/29/21, 3:43:01 PM,%RH,9.555
4/29/21, 4:43:01 PM,%RH,11.373
4/29/21, 5:43:01 PM,%RH,21.902
4/29/21, 6:43:01 PM,%RH,26.488
4/29/21, 7:43:01 PM,%RH,35.055
4/29/21, 8:43:01 PM,%RH,41.532
4/29/21, 9:43:01 PM,%RH,45.964
4/29/21, 10:43:01 PM,%RH,54.687
4/29/21, 11:43:01 PM,%RH,50.364
4/30/21, 12:43:01 AM,%RH,46.587
4/30/21, 1:43:01 AM,%RH,40.951
4/30/21, 2:43:01 AM,%RH,39.644
4/30/21, 3:43:01 AM,%RH,45.728
4/30/21, 4:43:01 AM,%RH,40.65
4/30/21, 5:43:01 AM,%RH,36.194
4/30/21, 6:43:01 AM,%RH,43.241
4/30/21, 7:43:01 AM,%RH,23.221
4/30/21, 8:43:01 AM,%RH,16.897
4/30/21, 9:43:01 AM,%RH,15.077
4/30/21, 10:43:01 AM,%RH,11.511
4/30/21, 11:43:01 AM,%RH,12.974
4/30/21, 12:43:01 PM,%RH,12.131
4/30/21, 1:43:01 PM,%RH,12.176
4/30/21, 2:43:01 PM,%RH,12.04
4/30/21, 3:43:01 PM,%RH,12.507
4/30/21, 4:43:01 PM,%RH,17.113
4/30/21, 5:43:01 PM,%RH,17.631
4/30/21, 6:43:01 PM,%RH,20.255
4/30/21, 7:43:01 PM,%RH,26.978
4/30/21, 8:43:01 PM,%RH,35.59
4/30/21, 9:43:01 PM,%RH,51.011
4/30/21, 10:43:01 PM,%RH,52.856
4/30/21, 11:43:01 PM,%RH,44.546
5/1/21, 12:43:01 AM,%RH,48.007
5/1/21, 1:43:01 AM,%RH,45.165
5/1/21, 2:43:01 AM,%RH,50.912
5/1/21, 3:43:01 AM,%RH,47.086
5/1/21, 4:43:01 AM,%RH,56.216
5/1/21, 5:43:01 AM,%RH,63.145
5/1/21, 6:43:01 AM,%RH,70.717
5/1/21, 7:43:01 AM,%RH,51.853
5/1/21, 8:43:01 AM,%RH,28.907
5/1/21, 9:43:01 AM,%RH,21.001
5/1/21, 10:43:01 AM,%RH,25.672
5/1/21, 11:43:01 AM,%RH,23.925
5/1/21, 12:43:01 PM,%RH,23.98
5/1/21, 1:43:01 PM,%RH,22.331
5/1/21, 2:43:01 PM,%RH,25.183
5/1/21, 3:43:01 PM,%RH,29.071
