1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000069B97741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:15:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:15:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19697
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:15:01 AM,C,5.057
4/27/21, 1:15:01 AM,C,6.563
4/27/21, 2:15:01 AM,C,7.065
4/27/21, 3:15:01 AM,C,6.061
4/27/21, 4:15:01 AM,C,5.057
4/27/21, 5:15:01 AM,C,4.053
4/27/21, 6:15:01 AM,C,3.049
4/27/21, 7:15:01 AM,C,4.053
4/27/21, 8:15:01 AM,C,11.58
4/27/21, 9:15:01 AM,C,18.094
4/27/21, 10:15:01 AM,C,24.6
4/27/21, 11:15:01 AM,C,25.6
4/27/21, 12:15:01 PM,C,33.593
4/27/21, 1:15:01 PM,C,34.591
4/27/21, 2:15:01 PM,C,39.08
4/27/21, 3:15:01 PM,C,34.092
4/27/21, 4:15:01 PM,C,33.593
4/27/21, 5:15:01 PM,C,24.6
4/27/21, 6:15:01 PM,C,18.094
4/27/21, 7:15:01 PM,C,15.089
4/27/21, 8:15:01 PM,C,13.585
4/27/21, 9:15:01 PM,C,13.084
4/27/21, 10:15:01 PM,C,13.585
4/27/21, 11:15:01 PM,C,13.585
4/28/21, 12:15:01 AM,C,13.084
4/28/21, 1:15:01 AM,C,12.583
4/28/21, 2:15:01 AM,C,11.079
4/28/21, 3:15:01 AM,C,12.583
4/28/21, 4:15:01 AM,C,14.588
4/28/21, 5:15:01 AM,C,13.585
4/28/21, 6:15:01 AM,C,12.583
4/28/21, 7:15:01 AM,C,14.086
4/28/21, 8:15:01 AM,C,24.6
4/28/21, 9:15:01 AM,C,37.584
4/28/21, 10:15:01 AM,C,41.074
4/28/21, 11:15:01 AM,C,38.083
4/28/21, 12:15:01 PM,C,40.576
4/28/21, 1:15:01 PM,C,47.052
4/28/21, 2:15:01 PM,C,45.06
4/28/21, 3:15:01 PM,C,41.573
4/28/21, 4:15:01 PM,C,39.579
4/28/21, 5:15:01 PM,C,31.596
4/28/21, 6:15:01 PM,C,25.1
4/28/21, 7:15:01 PM,C,22.098
4/28/21, 8:15:01 PM,C,19.096
4/28/21, 9:15:01 PM,C,18.094
4/28/21, 10:15:01 PM,C,16.592
4/28/21, 11:15:01 PM,C,18.094
4/29/21, 12:15:01 AM,C,16.091
4/29/21, 1:15:01 AM,C,14.588
4/29/21, 2:15:01 AM,C,12.583
4/29/21, 3:15:01 AM,C,12.583
4/29/21, 4:15:01 AM,C,12.081
4/29/21, 5:15:01 AM,C,8.571
4/29/21, 6:15:01 AM,C,9.072
4/29/21, 7:15:01 AM,C,11.58
4/29/21, 8:15:01 AM,C,25.6
4/29/21, 9:15:01 AM,C,39.08
4/29/21, 10:15:01 AM,C,47.052
4/29/21, 11:15:01 AM,C,43.566
4/29/21, 12:15:01 PM,C,46.554
4/29/21, 1:15:01 PM,C,49.54
4/29/21, 2:15:01 PM,C,47.549
4/29/21, 3:15:01 PM,C,42.569
4/29/21, 4:15:01 PM,C,41.573
4/29/21, 5:15:01 PM,C,34.092
4/29/21, 6:15:01 PM,C,28.099
4/29/21, 7:15:01 PM,C,24.099
4/29/21, 8:15:01 PM,C,18.595
4/29/21, 9:15:01 PM,C,18.595
4/29/21, 10:15:01 PM,C,16.592
4/29/21, 11:15:01 PM,C,15.089
4/30/21, 12:15:01 AM,C,14.588
4/30/21, 1:15:01 AM,C,14.086
4/30/21, 2:15:01 AM,C,15.089
4/30/21, 3:15:01 AM,C,15.59
4/30/21, 4:15:01 AM,C,13.585
4/30/21, 5:15:01 AM,C,12.583
4/30/21, 6:15:01 AM,C,11.58
4/30/21, 7:15:01 AM,C,15.089
4/30/21, 8:15:01 AM,C,27.099
4/30/21, 9:15:01 AM,C,40.576
4/30/21, 10:15:01 AM,C,45.558
4/30/21, 11:15:01 AM,C,42.071
4/30/21, 12:15:01 PM,C,42.569
4/30/21, 1:15:01 PM,C,42.569
4/30/21, 2:15:01 PM,C,44.562
4/30/21, 3:15:01 PM,C,39.579
4/30/21, 4:15:01 PM,C,37.584
4/30/21, 5:15:01 PM,C,33.593
4/30/21, 6:15:01 PM,C,29.098
4/30/21, 7:15:01 PM,C,26.599
4/30/21, 8:15:01 PM,C,22.599
4/30/21, 9:15:01 PM,C,20.097
4/30/21, 10:15:01 PM,C,16.091
4/30/21, 11:15:01 PM,C,15.089
5/1/21, 12:15:01 AM,C,15.089
5/1/21, 1:15:01 AM,C,14.086
5/1/21, 2:15:01 AM,C,14.086
5/1/21, 3:15:01 AM,C,14.086
5/1/21, 4:15:01 AM,C,13.084
5/1/21, 5:15:01 AM,C,12.081
5/1/21, 6:15:01 AM,C,11.079
5/1/21, 7:15:01 AM,C,14.588
5/1/21, 8:15:01 AM,C,21.598
5/1/21, 9:15:01 AM,C,33.593
5/1/21, 10:15:01 AM,C,33.593
5/1/21, 11:15:01 AM,C,32.594
5/1/21, 12:15:01 PM,C,34.591
5/1/21, 1:15:01 PM,C,34.092
5/1/21, 2:15:01 PM,C,32.095
5/1/21, 3:15:01 PM,C,30.597
5/1/21, 4:15:01 PM,C,27.099
5/1/21, 5:15:01 PM,C,25.6
5/1/21, 6:15:01 PM,C,21.598
5/1/21, 7:15:01 PM,C,18.595
5/1/21, 8:15:01 PM,C,16.091
5/1/21, 9:15:01 PM,C,12.583
5/1/21, 10:15:01 PM,C,12.081
5/1/21, 11:15:01 PM,C,11.079
5/2/21, 12:15:01 AM,C,9.574
5/2/21, 1:15:01 AM,C,8.571
5/2/21, 2:15:01 AM,C,9.072
5/2/21, 3:15:01 AM,C,8.069
5/2/21, 4:15:01 AM,C,7.567
5/2/21, 5:15:01 AM,C,7.567
5/2/21, 6:15:01 AM,C,6.563
5/2/21, 7:15:01 AM,C,11.58
5/2/21, 8:15:01 AM,C,18.094
5/2/21, 9:15:01 AM,C,24.6
5/2/21, 10:15:01 AM,C,28.599
5/2/21, 11:15:01 AM,C,27.599
5/2/21, 12:15:01 PM,C,30.097
5/2/21, 1:15:01 PM,C,30.597
5/2/21, 2:15:01 PM,C,31.596
5/2/21, 3:15:01 PM,C,28.099
5/2/21, 4:15:01 PM,C,26.599
5/2/21, 5:15:01 PM,C,23.099
5/2/21, 6:15:01 PM,C,18.595
5/2/21, 7:15:01 PM,C,16.592
5/2/21, 8:15:01 PM,C,14.086
5/2/21, 9:15:01 PM,C,12.583
5/2/21, 10:15:01 PM,C,12.081
5/2/21, 11:15:01 PM,C,11.58
5/3/21, 12:15:01 AM,C,11.58
5/3/21, 1:15:01 AM,C,11.079
5/3/21, 2:15:01 AM,C,10.577
5/3/21, 3:15:01 AM,C,9.574
5/3/21, 4:15:01 AM,C,9.072
5/3/21, 5:15:01 AM,C,9.574
5/3/21, 6:15:01 AM,C,9.072
5/3/21, 7:15:01 AM,C,12.081
5/3/21, 8:15:01 AM,C,25.1
5/3/21, 9:15:01 AM,C,35.09
5/3/21, 10:15:01 AM,C,43.566
5/3/21, 11:15:01 AM,C,42.569
5/3/21, 12:15:01 PM,C,44.064
5/3/21, 1:15:01 PM,C,45.06
5/3/21, 2:15:01 PM,C,44.064
5/3/21, 3:15:01 PM,C,38.083
5/3/21, 4:15:01 PM,C,36.088
5/3/21, 5:15:01 PM,C,30.597
5/3/21, 6:15:01 PM,C,26.599
5/3/21, 7:15:01 PM,C,23.099
5/3/21, 8:15:01 PM,C,20.097
5/3/21, 9:15:01 PM,C,18.094
5/3/21, 10:15:01 PM,C,16.091
5/3/21, 11:15:01 PM,C,14.588
5/4/21, 12:15:01 AM,C,12.583
5/4/21, 1:15:01 AM,C,10.577
5/4/21, 2:15:01 AM,C,9.574
5/4/21, 3:15:01 AM,C,9.072
5/4/21, 4:15:01 AM,C,8.571
5/4/21, 5:15:01 AM,C,7.567
5/4/21, 6:15:01 AM,C,8.069
5/4/21, 7:15:01 AM,C,13.585
5/4/21, 8:15:01 AM,C,24.6
5/4/21, 9:15:01 AM,C,33.593
5/4/21, 10:15:01 AM,C,39.08
5/4/21, 11:15:01 AM,C,35.589
5/4/21, 12:15:01 PM,C,38.083
5/4/21, 1:15:01 PM,C,37.584
5/4/21, 2:15:01 PM,C,39.579
5/4/21, 3:15:01 PM,C,37.584
5/4/21, 4:15:01 PM,C,36.088
5/4/21, 5:15:01 PM,C,31.596
5/4/21, 6:15:01 PM,C,27.099
5/4/21, 7:15:01 PM,C,24.099
5/4/21, 8:15:01 PM,C,20.097
5/4/21, 9:15:01 PM,C,17.593
5/4/21, 10:15:01 PM,C,13.585
5/4/21, 11:15:01 PM,C,13.585
5/5/21, 12:15:01 AM,C,13.585
5/5/21, 1:15:01 AM,C,13.585
5/5/21, 2:15:01 AM,C,12.583
5/5/21, 3:15:01 AM,C,12.081
5/5/21, 4:15:01 AM,C,11.58
5/5/21, 5:15:01 AM,C,10.577
5/5/21, 6:15:01 AM,C,9.574
5/5/21, 7:15:01 AM,C,15.59
5/5/21, 8:15:01 AM,C,26.599
5/5/21, 9:15:01 AM,C,37.086
5/5/21, 10:15:01 AM,C,41.573
5/5/21, 11:15:01 AM,C,38.582
5/5/21, 12:15:01 PM,C,39.579
5/5/21, 1:15:01 PM,C,38.582
5/5/21, 2:15:01 PM,C,40.078
5/5/21, 3:15:01 PM,C,36.088
5/5/21, 4:15:01 PM,C,36.587
5/5/21, 5:15:01 PM,C,31.596
5/5/21, 6:15:01 PM,C,27.599
5/5/21, 7:15:01 PM,C,24.099
5/5/21, 8:15:01 PM,C,20.597
5/5/21, 9:15:01 PM,C,17.093
5/5/21, 10:15:01 PM,C,15.089
5/5/21, 11:15:01 PM,C,12.081
