1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C00000069B58641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:11:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:11:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19702
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:11:01 AM,C,4.59
4/27/21, 1:11:01 AM,C,5.593
4/27/21, 2:11:01 AM,C,6.095
4/27/21, 3:11:01 AM,C,5.092
4/27/21, 4:11:01 AM,C,4.59
4/27/21, 5:11:01 AM,C,2.081
4/27/21, 6:11:01 AM,C,1.579
4/27/21, 7:11:01 AM,C,3.085
4/27/21, 8:11:01 AM,C,13.113
4/27/21, 9:11:01 AM,C,18.121
4/27/21, 10:11:01 AM,C,19.622
4/27/21, 11:11:01 AM,C,23.125
4/27/21, 12:11:01 PM,C,31.622
4/27/21, 1:11:01 PM,C,33.62
4/27/21, 2:11:01 PM,C,33.62
4/27/21, 3:11:01 PM,C,31.622
4/27/21, 4:11:01 PM,C,28.624
4/27/21, 5:11:01 PM,C,22.124
4/27/21, 6:11:01 PM,C,17.62
4/27/21, 7:11:01 PM,C,15.617
4/27/21, 8:11:01 PM,C,13.614
4/27/21, 9:11:01 PM,C,13.614
4/27/21, 10:11:01 PM,C,13.614
4/27/21, 11:11:01 PM,C,14.115
4/28/21, 12:11:01 AM,C,13.113
4/28/21, 1:11:01 AM,C,12.612
4/28/21, 2:11:01 AM,C,10.607
4/28/21, 3:11:01 AM,C,11.61
4/28/21, 4:11:01 AM,C,15.116
4/28/21, 5:11:01 AM,C,14.115
4/28/21, 6:11:01 AM,C,12.111
4/28/21, 7:11:01 AM,C,14.115
4/28/21, 8:11:01 AM,C,27.125
4/28/21, 9:11:01 AM,C,32.122
4/28/21, 10:11:01 AM,C,36.615
4/28/21, 11:11:01 AM,C,36.615
4/28/21, 12:11:01 PM,C,42.602
4/28/21, 1:11:01 PM,C,41.604
4/28/21, 2:11:01 PM,C,42.602
4/28/21, 3:11:01 PM,C,40.108
4/28/21, 4:11:01 PM,C,35.617
4/28/21, 5:11:01 PM,C,29.124
4/28/21, 6:11:01 PM,C,24.625
4/28/21, 7:11:01 PM,C,21.624
4/28/21, 8:11:01 PM,C,18.621
4/28/21, 9:11:01 PM,C,18.121
4/28/21, 10:11:01 PM,C,17.119
4/28/21, 11:11:01 PM,C,18.121
4/29/21, 12:11:01 AM,C,12.612
4/29/21, 1:11:01 AM,C,11.61
4/29/21, 2:11:01 AM,C,10.106
4/29/21, 3:11:01 AM,C,10.106
4/29/21, 4:11:01 AM,C,9.104
4/29/21, 5:11:01 AM,C,6.095
4/29/21, 6:11:01 AM,C,7.098
4/29/21, 7:11:01 AM,C,9.605
4/29/21, 8:11:01 AM,C,27.625
4/29/21, 9:11:01 AM,C,36.116
4/29/21, 10:11:01 AM,C,43.599
4/29/21, 11:11:01 AM,C,48.582
4/29/21, 12:11:01 PM,C,50.575
4/29/21, 1:11:01 PM,C,46.091
4/29/21, 2:11:01 PM,C,44.596
4/29/21, 3:11:01 PM,C,45.094
4/29/21, 4:11:01 PM,C,42.103
4/29/21, 5:11:01 PM,C,33.62
4/29/21, 6:11:01 PM,C,28.624
4/29/21, 7:11:01 PM,C,24.125
4/29/21, 8:11:01 PM,C,15.617
4/29/21, 9:11:01 PM,C,16.619
4/29/21, 10:11:01 PM,C,14.616
4/29/21, 11:11:01 PM,C,12.612
4/30/21, 12:11:01 AM,C,11.61
4/30/21, 1:11:01 AM,C,12.111
4/30/21, 2:11:01 AM,C,12.612
4/30/21, 3:11:01 AM,C,13.614
4/30/21, 4:11:01 AM,C,11.61
4/30/21, 5:11:01 AM,C,10.607
4/30/21, 6:11:01 AM,C,9.104
4/30/21, 7:11:01 AM,C,11.61
4/30/21, 8:11:01 AM,C,30.623
4/30/21, 9:11:01 AM,C,38.611
4/30/21, 10:11:01 AM,C,45.094
4/30/21, 11:11:01 AM,C,47.088
4/30/21, 12:11:01 PM,C,49.08
4/30/21, 1:11:01 PM,C,46.091
4/30/21, 2:11:01 PM,C,41.604
4/30/21, 3:11:01 PM,C,40.108
4/30/21, 4:11:01 PM,C,36.615
4/30/21, 5:11:01 PM,C,32.621
4/30/21, 6:11:01 PM,C,29.124
4/30/21, 7:11:01 PM,C,26.125
4/30/21, 8:11:01 PM,C,21.624
4/30/21, 9:11:01 PM,C,19.122
4/30/21, 10:11:01 PM,C,13.113
4/30/21, 11:11:01 PM,C,12.612
5/1/21, 12:11:01 AM,C,12.612
5/1/21, 1:11:01 AM,C,11.61
5/1/21, 2:11:01 AM,C,12.612
5/1/21, 3:11:01 AM,C,12.111
5/1/21, 4:11:01 AM,C,11.108
5/1/21, 5:11:01 AM,C,9.605
5/1/21, 6:11:01 AM,C,8.602
5/1/21, 7:11:01 AM,C,12.612
5/1/21, 8:11:01 AM,C,24.625
5/1/21, 9:11:01 AM,C,33.12
5/1/21, 10:11:01 AM,C,35.118
5/1/21, 11:11:01 AM,C,36.116
5/1/21, 12:11:01 PM,C,39.11
5/1/21, 1:11:01 PM,C,36.116
5/1/21, 2:11:01 PM,C,33.62
5/1/21, 3:11:01 PM,C,32.621
5/1/21, 4:11:01 PM,C,29.124
5/1/21, 5:11:01 PM,C,25.125
5/1/21, 6:11:01 PM,C,21.624
5/1/21, 7:11:01 PM,C,18.621
5/1/21, 8:11:01 PM,C,16.619
5/1/21, 9:11:01 PM,C,10.607
5/1/21, 10:11:01 PM,C,10.106
5/1/21, 11:11:01 PM,C,9.605
5/2/21, 12:11:01 AM,C,7.599
5/2/21, 1:11:01 AM,C,7.098
5/2/21, 2:11:01 AM,C,6.597
5/2/21, 3:11:01 AM,C,6.095
5/2/21, 4:11:01 AM,C,6.095
5/2/21, 5:11:01 AM,C,6.597
5/2/21, 6:11:01 AM,C,5.593
5/2/21, 7:11:01 AM,C,10.607
5/2/21, 8:11:01 AM,C,22.124
5/2/21, 9:11:01 AM,C,27.125
5/2/21, 10:11:01 AM,C,31.123
5/2/21, 11:11:01 AM,C,30.623
5/2/21, 12:11:01 PM,C,33.12
5/2/21, 1:11:01 PM,C,34.119
5/2/21, 2:11:01 PM,C,31.123
5/2/21, 3:11:01 PM,C,28.124
5/2/21, 4:11:01 PM,C,26.625
5/2/21, 5:11:01 PM,C,23.625
5/2/21, 6:11:01 PM,C,19.122
5/2/21, 7:11:01 PM,C,17.119
5/2/21, 8:11:01 PM,C,14.115
5/2/21, 9:11:01 PM,C,12.612
5/2/21, 10:11:01 PM,C,11.61
5/2/21, 11:11:01 PM,C,11.61
5/3/21, 12:11:01 AM,C,11.61
5/3/21, 1:11:01 AM,C,10.607
5/3/21, 2:11:01 AM,C,11.108
5/3/21, 3:11:01 AM,C,10.106
5/3/21, 4:11:01 AM,C,9.605
5/3/21, 5:11:01 AM,C,9.104
5/3/21, 6:11:01 AM,C,8.101
5/3/21, 7:11:01 AM,C,12.111
5/3/21, 8:11:01 AM,C,28.624
5/3/21, 9:11:01 AM,C,34.119
5/3/21, 10:11:01 AM,C,38.611
5/3/21, 11:11:01 AM,C,42.103
5/3/21, 12:11:01 PM,C,46.589
5/3/21, 1:11:01 PM,C,44.097
5/3/21, 2:11:01 PM,C,41.604
5/3/21, 3:11:01 PM,C,38.112
5/3/21, 4:11:01 PM,C,35.118
5/3/21, 5:11:01 PM,C,30.123
5/3/21, 6:11:01 PM,C,26.125
5/3/21, 7:11:01 PM,C,23.125
5/3/21, 8:11:01 PM,C,20.123
5/3/21, 9:11:01 PM,C,17.62
5/3/21, 10:11:01 PM,C,15.617
5/3/21, 11:11:01 PM,C,14.616
5/4/21, 12:11:01 AM,C,10.607
5/4/21, 1:11:01 AM,C,8.602
5/4/21, 2:11:01 AM,C,7.098
5/4/21, 3:11:01 AM,C,6.597
5/4/21, 4:11:01 AM,C,6.095
5/4/21, 5:11:01 AM,C,5.092
5/4/21, 6:11:01 AM,C,6.095
5/4/21, 7:11:01 AM,C,9.605
5/4/21, 8:11:01 AM,C,26.125
5/4/21, 9:11:01 AM,C,33.62
5/4/21, 10:11:01 AM,C,37.114
5/4/21, 11:11:01 AM,C,39.11
5/4/21, 12:11:01 PM,C,42.103
5/4/21, 1:11:01 PM,C,40.607
5/4/21, 2:11:01 PM,C,39.609
5/4/21, 3:11:01 PM,C,37.613
5/4/21, 4:11:01 PM,C,35.118
5/4/21, 5:11:01 PM,C,31.622
5/4/21, 6:11:01 PM,C,27.125
5/4/21, 7:11:01 PM,C,24.625
5/4/21, 8:11:01 PM,C,20.623
5/4/21, 9:11:01 PM,C,15.116
5/4/21, 10:11:01 PM,C,11.108
5/4/21, 11:11:01 PM,C,11.108
5/5/21, 12:11:01 AM,C,11.61
5/5/21, 1:11:01 AM,C,12.111
5/5/21, 2:11:01 AM,C,10.106
5/5/21, 3:11:01 AM,C,10.106
5/5/21, 4:11:01 AM,C,9.605
5/5/21, 5:11:01 AM,C,8.602
5/5/21, 6:11:01 AM,C,7.098
5/5/21, 7:11:01 AM,C,13.614
5/5/21, 8:11:01 AM,C,27.125
5/5/21, 9:11:01 AM,C,36.116
