1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:45:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22572
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:45:01 AM,%RH,101.487
4/27/21, 1:45:01 AM,%RH,101.607
4/27/21, 2:45:01 AM,%RH,101.237
4/27/21, 3:45:01 AM,%RH,102.245
4/27/21, 4:45:01 AM,%RH,102.245
4/27/21, 5:45:01 AM,%RH,102.245
4/27/21, 6:45:01 AM,%RH,102.6
4/27/21, 7:45:01 AM,%RH,101.607
4/27/21, 8:45:01 AM,%RH,101.277
4/27/21, 9:45:01 AM,%RH,100.388
4/27/21, 10:45:01 AM,%RH,97.319
4/27/21, 11:45:01 AM,%RH,24.199
4/27/21, 12:45:01 PM,%RH,21.79
4/27/21, 1:45:01 PM,%RH,18.397
4/27/21, 2:45:01 PM,%RH,16.363
4/27/21, 3:45:01 PM,%RH,17.044
4/27/21, 4:45:01 PM,%RH,20.461
4/27/21, 5:45:01 PM,%RH,24.543
4/27/21, 6:45:01 PM,%RH,35.69
4/27/21, 7:45:01 PM,%RH,40.248
4/27/21, 8:45:01 PM,%RH,40.016
4/27/21, 9:45:01 PM,%RH,37.539
4/27/21, 10:45:01 PM,%RH,33.519
4/27/21, 11:45:01 PM,%RH,36.867
4/28/21, 12:45:01 AM,%RH,38.061
4/28/21, 1:45:01 AM,%RH,41.8
4/28/21, 2:45:01 AM,%RH,48.595
4/28/21, 3:45:01 AM,%RH,42.265
4/28/21, 4:45:01 AM,%RH,39.624
4/28/21, 5:45:01 AM,%RH,42.845
4/28/21, 6:45:01 AM,%RH,42.189
4/28/21, 7:45:01 AM,%RH,26.267
4/28/21, 8:45:01 AM,%RH,19.07
4/28/21, 9:45:01 AM,%RH,15.629
4/28/21, 10:45:01 AM,%RH,13.709
4/28/21, 11:45:01 AM,%RH,11.656
4/28/21, 12:45:01 PM,%RH,9.479
4/28/21, 1:45:01 PM,%RH,9.522
4/28/21, 2:45:01 PM,%RH,8.971
4/28/21, 3:45:01 PM,%RH,8.761
4/28/21, 4:45:01 PM,%RH,13.562
4/28/21, 5:45:01 PM,%RH,12.368
