1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E0000006D97D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:05:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:05:01 PDT 2021
Total Mission Samples:  14915
Total Device Samples:  22550
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:05:01 AM,C,5.094
4/27/21, 1:05:01 AM,C,5.094
4/27/21, 2:05:01 AM,C,6.6
4/27/21, 3:05:01 AM,C,6.098
4/27/21, 4:05:01 AM,C,5.094
4/27/21, 5:05:01 AM,C,2.079
4/27/21, 6:05:01 AM,C,1.576
4/27/21, 7:05:01 AM,C,3.084
4/27/21, 8:05:01 AM,C,12.121
4/27/21, 9:05:01 AM,C,16.632
4/27/21, 10:05:01 AM,C,18.636
4/27/21, 11:05:01 AM,C,26.141
4/27/21, 12:05:01 PM,C,30.138
4/27/21, 1:05:01 PM,C,31.137
4/27/21, 2:05:01 PM,C,30.637
4/27/21, 3:05:01 PM,C,29.139
4/27/21, 4:05:01 PM,C,31.636
4/27/21, 5:05:01 PM,C,27.64
4/27/21, 6:05:01 PM,C,19.136
4/27/21, 7:05:01 PM,C,16.131
4/27/21, 8:05:01 PM,C,14.627
4/27/21, 9:05:01 PM,C,14.126
4/27/21, 10:05:01 PM,C,14.627
4/27/21, 11:05:01 PM,C,15.129
4/28/21, 12:05:01 AM,C,14.627
4/28/21, 1:05:01 AM,C,13.625
4/28/21, 2:05:01 AM,C,12.622
4/28/21, 3:05:01 AM,C,13.625
4/28/21, 4:05:01 AM,C,15.129
4/28/21, 5:05:01 AM,C,14.627
4/28/21, 6:05:01 AM,C,14.627
4/28/21, 7:05:01 AM,C,15.129
4/28/21, 8:05:01 AM,C,27.64
4/28/21, 9:05:01 AM,C,34.132
4/28/21, 10:05:01 AM,C,37.124
4/28/21, 11:05:01 AM,C,40.613
4/28/21, 12:05:01 PM,C,38.122
4/28/21, 1:05:01 PM,C,38.62
4/28/21, 2:05:01 PM,C,39.118
4/28/21, 3:05:01 PM,C,39.617
4/28/21, 4:05:01 PM,C,38.62
4/28/21, 5:05:01 PM,C,34.631
4/28/21, 6:05:01 PM,C,26.64
4/28/21, 7:05:01 PM,C,23.14
4/28/21, 8:05:01 PM,C,20.138
4/28/21, 9:05:01 PM,C,20.138
4/28/21, 10:05:01 PM,C,19.637
4/28/21, 11:05:01 PM,C,20.138
