1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000006CB5D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:04:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 01:04:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22891
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 1:04:01 AM,%RH,100.614
4/27/21, 2:04:01 AM,%RH,100.226
4/27/21, 3:04:01 AM,%RH,100.572
4/27/21, 4:04:01 AM,%RH,100.144
4/27/21, 5:04:01 AM,%RH,100.846
4/27/21, 6:04:01 AM,%RH,101.168
4/27/21, 7:04:01 AM,%RH,101.58
4/27/21, 8:04:01 AM,%RH,100.62
4/27/21, 9:04:01 AM,%RH,100.072
4/27/21, 10:04:01 AM,%RH,98.872
4/27/21, 11:04:01 AM,%RH,97.754
4/27/21, 12:04:01 PM,%RH,25.557
4/27/21, 1:04:01 PM,%RH,19.919
4/27/21, 2:04:01 PM,%RH,18.238
4/27/21, 3:04:01 PM,%RH,16.015
4/27/21, 4:04:01 PM,%RH,19.129
4/27/21, 5:04:01 PM,%RH,21.386
4/27/21, 6:04:01 PM,%RH,31.876
4/27/21, 7:04:01 PM,%RH,39.228
4/27/21, 8:04:01 PM,%RH,44.326
4/27/21, 9:04:01 PM,%RH,41.478
4/27/21, 10:04:01 PM,%RH,38.237
4/27/21, 11:04:01 PM,%RH,35.704
4/28/21, 12:04:01 AM,%RH,40.113
4/28/21, 1:04:01 AM,%RH,41.478
4/28/21, 2:04:01 AM,%RH,45.771
4/28/21, 3:04:01 AM,%RH,47.642
4/28/21, 4:04:01 AM,%RH,43.098
4/28/21, 5:04:01 AM,%RH,43.676
4/28/21, 6:04:01 AM,%RH,47.021
4/28/21, 7:04:01 AM,%RH,44.664
4/28/21, 8:04:01 AM,%RH,25.386
4/28/21, 9:04:01 AM,%RH,16.707
4/28/21, 10:04:01 AM,%RH,14.912
4/28/21, 11:04:01 AM,%RH,13.138
4/28/21, 12:04:01 PM,%RH,11.511
4/28/21, 1:04:01 PM,%RH,10.943
4/28/21, 2:04:01 PM,%RH,10.124
4/28/21, 3:04:01 PM,%RH,8.445
4/28/21, 4:04:01 PM,%RH,10.937
4/28/21, 5:04:01 PM,%RH,11.269
4/28/21, 6:04:01 PM,%RH,17.705
4/28/21, 7:04:01 PM,%RH,21.172
4/28/21, 8:04:01 PM,%RH,23.006
4/28/21, 9:04:01 PM,%RH,18.618
4/28/21, 10:04:01 PM,%RH,13.403
4/28/21, 11:04:01 PM,%RH,14.888
4/29/21, 12:04:01 AM,%RH,17.665
4/29/21, 1:04:01 AM,%RH,21.193
4/29/21, 2:04:01 AM,%RH,23.141
4/29/21, 3:04:01 AM,%RH,24.576
4/29/21, 4:04:01 AM,%RH,27.2
4/29/21, 5:04:01 AM,%RH,28.426
4/29/21, 6:04:01 AM,%RH,27.74
4/29/21, 7:04:01 AM,%RH,28.573
4/29/21, 8:04:01 AM,%RH,16.036
4/29/21, 9:04:01 AM,%RH,12.503
4/29/21, 10:04:01 AM,%RH,9.304
4/29/21, 11:04:01 AM,%RH,9.419
4/29/21, 12:04:01 PM,%RH,9.568
4/29/21, 1:04:01 PM,%RH,9.457
4/29/21, 2:04:01 PM,%RH,9.494
4/29/21, 3:04:01 PM,%RH,9.531
4/29/21, 4:04:01 PM,%RH,9.922
4/29/21, 5:04:01 PM,%RH,16.065
4/29/21, 6:04:01 PM,%RH,21.761
4/29/21, 7:04:01 PM,%RH,29.918
4/29/21, 8:04:01 PM,%RH,39.488
4/29/21, 9:04:01 PM,%RH,38.916
4/29/21, 10:04:01 PM,%RH,44.512
4/29/21, 11:04:01 PM,%RH,45.725
4/30/21, 12:04:01 AM,%RH,48.244
4/30/21, 1:04:01 AM,%RH,39.81
4/30/21, 2:04:01 AM,%RH,33.794
4/30/21, 3:04:01 AM,%RH,31.045
4/30/21, 4:04:01 AM,%RH,32.378
4/30/21, 5:04:01 AM,%RH,32.287
4/30/21, 6:04:01 AM,%RH,33.533
4/30/21, 7:04:01 AM,%RH,35.025
4/30/21, 8:04:01 AM,%RH,19.644
4/30/21, 9:04:01 AM,%RH,13.448
4/30/21, 10:04:01 AM,%RH,11.721
4/30/21, 11:04:01 AM,%RH,11.063
4/30/21, 12:04:01 PM,%RH,10.821
4/30/21, 1:04:01 PM,%RH,10.084
4/30/21, 2:04:01 PM,%RH,10.738
4/30/21, 3:04:01 PM,%RH,12.106
4/30/21, 4:04:01 PM,%RH,14.767
4/30/21, 5:04:01 PM,%RH,15.12
4/30/21, 6:04:01 PM,%RH,18.24
4/30/21, 7:04:01 PM,%RH,22.319
4/30/21, 8:04:01 PM,%RH,29.015
4/30/21, 9:04:01 PM,%RH,35.617
4/30/21, 10:04:01 PM,%RH,43.904
4/30/21, 11:04:01 PM,%RH,45.689
5/1/21, 12:04:01 AM,%RH,42.484
5/1/21, 1:04:01 AM,%RH,44.362
5/1/21, 2:04:01 AM,%RH,44.973
5/1/21, 3:04:01 AM,%RH,46.55
5/1/21, 4:04:01 AM,%RH,46.262
5/1/21, 5:04:01 AM,%RH,51.251
5/1/21, 6:04:01 AM,%RH,52.314
5/1/21, 7:04:01 AM,%RH,65.196
5/1/21, 8:04:01 AM,%RH,38.59
5/1/21, 9:04:01 AM,%RH,21.843
5/1/21, 10:04:01 AM,%RH,20.334
5/1/21, 11:04:01 AM,%RH,22.568
5/1/21, 12:04:01 PM,%RH,20.706
5/1/21, 1:04:01 PM,%RH,21.897
5/1/21, 2:04:01 PM,%RH,22.297
