1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 71000000546CF121
Is Mission Active?  true
Mission Start:  Sat Feb 01 03:33:00 PST 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  14915
Total Samples:  14915
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  185 0 F
Low Temperature Alarm:  -40 °F

Date/Time,Unit,Value
7/21/21, 7:33:00 AM,F,93.2
7/21/21, 8:33:00 AM,F,110.3
7/21/21, 9:33:00 AM,F,109.4
7/21/21, 10:33:00 AM,F,116.6
7/21/21, 11:33:00 AM,F,118.4
7/21/21, 12:33:00 PM,F,116.6
7/21/21, 1:33:00 PM,F,113
7/21/21, 2:33:00 PM,F,110.3
7/21/21, 3:33:00 PM,F,110.3
7/21/21, 4:33:00 PM,F,104.9
7/21/21, 5:33:00 PM,F,92.3
7/21/21, 6:33:00 PM,F,85.1
7/21/21, 7:33:00 PM,F,79.7
7/21/21, 8:33:00 PM,F,75.2
7/21/21, 9:33:00 PM,F,69.8
7/21/21, 10:33:00 PM,F,64.4
7/21/21, 11:33:00 PM,F,63.5
7/22/21, 12:33:00 AM,F,60.8
7/22/21, 1:33:00 AM,F,60.8
7/22/21, 2:33:00 AM,F,59.9
7/22/21, 3:33:00 AM,F,59
7/22/21, 4:33:00 AM,F,59
7/22/21, 5:33:00 AM,F,58.1
7/22/21, 6:33:00 AM,F,60.8
7/22/21, 7:33:00 AM,F,95
7/22/21, 8:33:00 AM,F,113
7/22/21, 9:33:00 AM,F,110.3
7/22/21, 10:33:00 AM,F,117.5
7/22/21, 11:33:00 AM,F,113
7/22/21, 12:33:00 PM,F,114.8
7/22/21, 1:33:00 PM,F,103.1
7/22/21, 2:33:00 PM,F,106.7
7/22/21, 3:33:00 PM,F,100.4
7/22/21, 4:33:00 PM,F,98.6
7/22/21, 5:33:00 PM,F,91.4
7/22/21, 6:33:00 PM,F,83.3
7/22/21, 7:33:00 PM,F,77
7/22/21, 8:33:00 PM,F,72.5
7/22/21, 9:33:00 PM,F,69.8
7/22/21, 10:33:00 PM,F,66.2
7/22/21, 11:33:00 PM,F,60.8
