1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A90000006D9F9141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:03:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 01:03:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  23746
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 1:03:01 AM,C,4.518
4/27/21, 2:03:01 AM,C,7.525
4/27/21, 3:03:01 AM,C,7.525
4/27/21, 4:03:01 AM,C,3.515
4/27/21, 5:03:01 AM,C,2.512
4/27/21, 6:03:01 AM,C,2.512
4/27/21, 7:03:01 AM,C,2.011
4/27/21, 8:03:01 AM,C,6.021
4/27/21, 9:03:01 AM,C,15.539
4/27/21, 10:03:01 AM,C,17.541
4/27/21, 11:03:01 AM,C,20.043
4/27/21, 12:03:01 PM,C,20.543
4/27/21, 1:03:01 PM,C,23.045
4/27/21, 2:03:01 PM,C,32.542
4/27/21, 3:03:01 PM,C,31.043
4/27/21, 4:03:01 PM,C,31.543
4/27/21, 5:03:01 PM,C,27.045
4/27/21, 6:03:01 PM,C,17.04
4/27/21, 7:03:01 PM,C,15.038
4/27/21, 8:03:01 PM,C,13.536
4/27/21, 9:03:01 PM,C,13.035
4/27/21, 10:03:01 PM,C,13.035
4/27/21, 11:03:01 PM,C,14.037
4/28/21, 12:03:01 AM,C,12.534
4/28/21, 1:03:01 AM,C,12.034
4/28/21, 2:03:01 AM,C,9.028
4/28/21, 3:03:01 AM,C,8.527
4/28/21, 4:03:01 AM,C,14.537
4/28/21, 5:03:01 AM,C,14.537
4/28/21, 6:03:01 AM,C,12.034
4/28/21, 7:03:01 AM,C,12.534
4/28/21, 8:03:01 AM,C,20.043
4/28/21, 9:03:01 AM,C,26.545
4/28/21, 10:03:01 AM,C,30.543
4/28/21, 11:03:01 AM,C,38.036
4/28/21, 12:03:01 PM,C,38.535
4/28/21, 1:03:01 PM,C,40.531
4/28/21, 2:03:01 PM,C,43.026
4/28/21, 3:03:01 PM,C,43.525
4/28/21, 4:03:01 PM,C,39.034
4/28/21, 5:03:01 PM,C,33.541
4/28/21, 6:03:01 PM,C,24.545
4/28/21, 7:03:01 PM,C,22.044
4/28/21, 8:03:01 PM,C,18.542
4/28/21, 9:03:01 PM,C,16.54
4/28/21, 10:03:01 PM,C,17.541
4/28/21, 11:03:01 PM,C,16.54
4/29/21, 12:03:01 AM,C,10.531
4/29/21, 1:03:01 AM,C,9.529
4/29/21, 2:03:01 AM,C,9.028
4/29/21, 3:03:01 AM,C,5.52
4/29/21, 4:03:01 AM,C,5.52
