1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000697C7541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:13:01 PDT 2020
Mission Sample Count:  2587
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:13:01 PDT 2020
Total Mission Samples:  2587
Total Device Samples:  9069
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:13:01 PM,%RH,96.316
4/10/20 6:13:01 PM,%RH,95.486
4/10/20 7:13:01 PM,%RH,98.365
4/10/20 8:13:01 PM,%RH,98.358
4/10/20 9:13:01 PM,%RH,98.358
4/10/20 10:13:01 PM,%RH,98.358
4/10/20 11:13:01 PM,%RH,98.358
4/11/20 12:13:01 AM,%RH,98.822
4/11/20 1:13:01 AM,%RH,99.282
4/11/20 2:13:01 AM,%RH,99.288
4/11/20 3:13:01 AM,%RH,99.755
4/11/20 4:13:01 AM,%RH,97.755
4/11/20 5:13:01 AM,%RH,97.222
4/11/20 6:13:01 AM,%RH,97.591
4/11/20 7:13:01 AM,%RH,97.063
4/11/20 8:13:01 AM,%RH,97.141
4/11/20 9:13:01 AM,%RH,100.203
4/11/20 10:13:01 AM,%RH,98.366
4/11/20 11:13:01 AM,%RH,97.968
4/11/20 12:13:01 PM,%RH,97.137
4/11/20 1:13:01 PM,%RH,96.769
4/11/20 2:13:01 PM,%RH,95.953
4/11/20 3:13:01 PM,%RH,96.516
4/11/20 4:13:01 PM,%RH,96.566
4/11/20 5:13:01 PM,%RH,96.516
4/11/20 6:13:01 PM,%RH,96.891
4/11/20 7:13:01 PM,%RH,96.339
4/11/20 8:13:01 PM,%RH,95.761
4/11/20 9:13:01 PM,%RH,95.652
4/11/20 10:13:01 PM,%RH,94.645
4/11/20 11:13:01 PM,%RH,94.618
4/12/20 12:13:01 AM,%RH,94.129
4/12/20 1:13:01 AM,%RH,93.157
4/12/20 2:13:01 AM,%RH,93.151
4/12/20 3:13:01 AM,%RH,92.178
4/12/20 4:13:01 AM,%RH,92.174
4/12/20 5:13:01 AM,%RH,91.19
4/12/20 6:13:01 AM,%RH,89.702
4/12/20 7:13:01 AM,%RH,88.7
4/12/20 8:13:01 AM,%RH,87.686
4/12/20 9:13:01 AM,%RH,87.181
4/12/20 10:13:01 AM,%RH,85.645
4/12/20 11:13:01 AM,%RH,85.64
4/12/20 12:13:01 PM,%RH,85.129
4/12/20 1:13:01 PM,%RH,84.091
4/12/20 2:13:01 PM,%RH,84.091
4/12/20 3:13:01 PM,%RH,83.569
4/12/20 4:13:01 PM,%RH,83.038
4/12/20 5:13:01 PM,%RH,82.511
4/12/20 6:13:01 PM,%RH,81.452
4/12/20 7:13:01 PM,%RH,81.452
4/12/20 8:13:01 PM,%RH,81.446
4/12/20 9:13:01 PM,%RH,81.452
4/12/20 10:13:01 PM,%RH,80.92
4/12/20 11:13:01 PM,%RH,81.452
4/13/20 12:13:01 AM,%RH,80.385
4/13/20 1:13:01 AM,%RH,79.842
4/13/20 2:13:01 AM,%RH,78.226
4/13/20 3:13:01 AM,%RH,77.617
4/13/20 4:13:01 AM,%RH,78.146
4/13/20 5:13:01 AM,%RH,78.146
4/13/20 6:13:01 AM,%RH,78.146
4/13/20 7:13:01 AM,%RH,77.538
4/13/20 8:13:01 AM,%RH,77.087
4/13/20 9:13:01 AM,%RH,79.849
4/13/20 10:13:01 AM,%RH,79.914
4/13/20 11:13:01 AM,%RH,81.02
4/13/20 12:13:01 PM,%RH,81.02
4/13/20 1:13:01 PM,%RH,81.042
4/13/20 2:13:01 PM,%RH,80.534
4/13/20 3:13:01 PM,%RH,79.976
4/13/20 4:13:01 PM,%RH,79.44
4/13/20 5:13:01 PM,%RH,78.88
4/13/20 6:13:01 PM,%RH,77.776
4/13/20 7:13:01 PM,%RH,78.298
4/13/20 8:13:01 PM,%RH,77.721
4/13/20 9:13:01 PM,%RH,77.694
4/13/20 10:13:01 PM,%RH,77.674
4/13/20 11:13:01 PM,%RH,76.578
4/14/20 12:13:01 AM,%RH,75.026
4/14/20 1:13:01 AM,%RH,74.945
4/14/20 2:13:01 AM,%RH,74.327
4/14/20 3:13:01 AM,%RH,74.867
4/14/20 4:13:01 AM,%RH,74.25
4/14/20 5:13:01 AM,%RH,74.715
4/14/20 6:13:01 AM,%RH,74.715
4/14/20 7:13:01 AM,%RH,74.642
4/14/20 8:13:01 AM,%RH,74.715
4/14/20 9:13:01 AM,%RH,75.026
4/14/20 10:13:01 AM,%RH,77.721
4/14/20 11:13:01 AM,%RH,79.465
4/14/20 12:13:01 PM,%RH,80.683
4/14/20 1:13:01 PM,%RH,80.305
4/14/20 2:13:01 PM,%RH,77.03
4/14/20 3:13:01 PM,%RH,71.149
4/14/20 4:13:01 PM,%RH,67.931
4/14/20 5:13:01 PM,%RH,67.351
4/14/20 6:13:01 PM,%RH,67.241
4/14/20 7:13:01 PM,%RH,67.086
4/14/20 8:13:01 PM,%RH,66.945
4/14/20 9:13:01 PM,%RH,66.817
4/14/20 10:13:01 PM,%RH,66.739
4/14/20 11:13:01 PM,%RH,66.666
4/15/20 12:13:01 AM,%RH,66.632
4/15/20 1:13:01 AM,%RH,67.73
4/15/20 2:13:01 AM,%RH,67.093
4/15/20 3:13:01 AM,%RH,67.647
4/15/20 4:13:01 AM,%RH,68.178
4/15/20 5:13:01 AM,%RH,68.157
4/15/20 6:13:01 AM,%RH,68.735
4/15/20 7:13:01 AM,%RH,68.715
4/15/20 8:13:01 AM,%RH,69.311
4/15/20 9:13:01 AM,%RH,69.402
4/15/20 10:13:01 AM,%RH,71.29
4/15/20 11:13:01 AM,%RH,72.608
4/15/20 12:13:01 PM,%RH,71.715
4/15/20 1:13:01 PM,%RH,69.083
4/15/20 2:13:01 PM,%RH,65.19
4/15/20 3:13:01 PM,%RH,58.108
4/15/20 4:13:01 PM,%RH,55.704
4/15/20 5:13:01 PM,%RH,58.658
4/15/20 6:13:01 PM,%RH,59.755
4/15/20 7:13:01 PM,%RH,59.531
4/15/20 8:13:01 PM,%RH,59.375
