1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 47000000697C5441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:14:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 00:14:01 PDT 2020
Total Mission Samples:  4679
Total Device Samples:  11111
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 12:14:01 AM,%RH,37.758
5/5/20 1:14:01 AM,%RH,41.254
5/5/20 2:14:01 AM,%RH,56.884
5/5/20 3:14:01 AM,%RH,44.214
5/5/20 4:14:01 AM,%RH,41.179
5/5/20 5:14:01 AM,%RH,35.43
5/5/20 6:14:01 AM,%RH,46.732
5/5/20 7:14:01 AM,%RH,23.2
5/5/20 8:14:01 AM,%RH,20.624
5/5/20 9:14:01 AM,%RH,18.319
5/5/20 10:14:01 AM,%RH,13.621
5/5/20 11:14:01 AM,%RH,18.212
5/5/20 12:14:01 PM,%RH,24.709
5/5/20 1:14:01 PM,%RH,25.243
5/5/20 2:14:01 PM,%RH,13.338
5/5/20 3:14:01 PM,%RH,22.896
5/5/20 4:14:01 PM,%RH,21.539
5/5/20 5:14:01 PM,%RH,30.262
5/5/20 6:14:01 PM,%RH,33.417
5/5/20 7:14:01 PM,%RH,57.211
5/5/20 8:14:01 PM,%RH,55.294
5/5/20 9:14:01 PM,%RH,31.143
5/5/20 10:14:01 PM,%RH,32.39
5/5/20 11:14:01 PM,%RH,32.963
5/6/20 12:14:01 AM,%RH,26.911
5/6/20 1:14:01 AM,%RH,28.278
5/6/20 2:14:01 AM,%RH,28.857
5/6/20 3:14:01 AM,%RH,27.442
5/6/20 4:14:01 AM,%RH,25.434
5/6/20 5:14:01 AM,%RH,25.331
5/6/20 6:14:01 AM,%RH,26.07
5/6/20 7:14:01 AM,%RH,25.538
5/6/20 8:14:01 AM,%RH,19.868
5/6/20 9:14:01 AM,%RH,16.273
5/6/20 10:14:01 AM,%RH,14.254
5/6/20 11:14:01 AM,%RH,14.206
5/6/20 12:14:01 PM,%RH,21.533
5/6/20 1:14:01 PM,%RH,19.037
5/6/20 2:14:01 PM,%RH,19.394
5/6/20 3:14:01 PM,%RH,18.473
5/6/20 4:14:01 PM,%RH,18.113
5/6/20 5:14:01 PM,%RH,20.199
5/6/20 6:14:01 PM,%RH,21.383
5/6/20 7:14:01 PM,%RH,19.124
5/6/20 8:14:01 PM,%RH,20.955
5/6/20 9:14:01 PM,%RH,22.347
5/6/20 10:14:01 PM,%RH,20.149
5/6/20 11:14:01 PM,%RH,19.986
5/7/20 12:14:01 AM,%RH,22.615
5/7/20 1:14:01 AM,%RH,21.222
5/7/20 2:14:01 AM,%RH,20.686
5/7/20 3:14:01 AM,%RH,19.121
5/7/20 4:14:01 AM,%RH,41.057
5/7/20 5:14:01 AM,%RH,52.382
5/7/20 6:14:01 AM,%RH,44.664
5/7/20 7:14:01 AM,%RH,22.774
5/7/20 8:14:01 AM,%RH,19.426
5/7/20 9:14:01 AM,%RH,19.688
5/7/20 10:14:01 AM,%RH,16.764
5/7/20 11:14:01 AM,%RH,14.488
5/7/20 12:14:01 PM,%RH,20.532
5/7/20 1:14:01 PM,%RH,18.184
5/7/20 2:14:01 PM,%RH,18.134
5/7/20 3:14:01 PM,%RH,13.895
5/7/20 4:14:01 PM,%RH,26.192
5/7/20 5:14:01 PM,%RH,33.736
5/7/20 6:14:01 PM,%RH,39.381
5/7/20 7:14:01 PM,%RH,52.447
5/7/20 8:14:01 PM,%RH,63.758
5/7/20 9:14:01 PM,%RH,77.712
5/7/20 10:14:01 PM,%RH,81.347
5/7/20 11:14:01 PM,%RH,87.452
5/8/20 12:14:01 AM,%RH,82.873
5/8/20 1:14:01 AM,%RH,86.412
5/8/20 2:14:01 AM,%RH,83.329
5/8/20 3:14:01 AM,%RH,77.475
5/8/20 4:14:01 AM,%RH,82.12
5/8/20 5:14:01 AM,%RH,89.754
5/8/20 6:14:01 AM,%RH,82.653
5/8/20 7:14:01 AM,%RH,49.045
5/8/20 8:14:01 AM,%RH,31.489
5/8/20 9:14:01 AM,%RH,23.97
5/8/20 10:14:01 AM,%RH,20.267
5/8/20 11:14:01 AM,%RH,18.985
5/8/20 12:14:01 PM,%RH,25.476
5/8/20 1:14:01 PM,%RH,19.294
5/8/20 2:14:01 PM,%RH,21.75
5/8/20 3:14:01 PM,%RH,18.061
5/8/20 4:14:01 PM,%RH,29.737
5/8/20 5:14:01 PM,%RH,39.591
5/8/20 6:14:01 PM,%RH,46.306
5/8/20 7:14:01 PM,%RH,59.114
5/8/20 8:14:01 PM,%RH,72.541
5/8/20 9:14:01 PM,%RH,83.178
5/8/20 10:14:01 PM,%RH,91.625
5/8/20 11:14:01 PM,%RH,97.867
5/9/20 12:14:01 AM,%RH,100.152
5/9/20 1:14:01 AM,%RH,101.046
5/9/20 2:14:01 AM,%RH,101.107
5/9/20 3:14:01 AM,%RH,88.861
5/9/20 4:14:01 AM,%RH,97.993
5/9/20 5:14:01 AM,%RH,100.83
5/9/20 6:14:01 AM,%RH,99.497
5/9/20 7:14:01 AM,%RH,59.227
5/9/20 8:14:01 AM,%RH,36.568
5/9/20 9:14:01 AM,%RH,26.529
5/9/20 10:14:01 AM,%RH,23.602
5/9/20 11:14:01 AM,%RH,25.538
5/9/20 12:14:01 PM,%RH,27.568
5/9/20 1:14:01 PM,%RH,30.075
5/9/20 2:14:01 PM,%RH,29.073
5/9/20 3:14:01 PM,%RH,28.202
5/9/20 4:14:01 PM,%RH,31.661
5/9/20 5:14:01 PM,%RH,36.85
5/9/20 6:14:01 PM,%RH,58.742
5/9/20 7:14:01 PM,%RH,73.249
5/9/20 8:14:01 PM,%RH,90.163
5/9/20 9:14:01 PM,%RH,96.689
5/9/20 10:14:01 PM,%RH,100.014
5/9/20 11:14:01 PM,%RH,100.693
5/10/20 12:14:01 AM,%RH,100.569
5/10/20 1:14:01 AM,%RH,101.464
5/10/20 2:14:01 AM,%RH,102.41
5/10/20 3:14:01 AM,%RH,102.774
5/10/20 4:14:01 AM,%RH,103.244
5/10/20 5:14:01 AM,%RH,103.102
5/10/20 6:14:01 AM,%RH,103.147
5/10/20 7:14:01 AM,%RH,101.411
5/10/20 8:14:01 AM,%RH,47.294
5/10/20 9:14:01 AM,%RH,44.841
5/10/20 10:14:01 AM,%RH,32.634
5/10/20 11:14:01 AM,%RH,30.029
5/10/20 12:14:01 PM,%RH,28.143
5/10/20 1:14:01 PM,%RH,31.267
5/10/20 2:14:01 PM,%RH,30.391
5/10/20 3:14:01 PM,%RH,35.21
5/10/20 4:14:01 PM,%RH,38.665
5/10/20 5:14:01 PM,%RH,65.228
5/10/20 6:14:01 PM,%RH,77.169
5/10/20 7:14:01 PM,%RH,86.448
5/10/20 8:14:01 PM,%RH,94.373
5/10/20 9:14:01 PM,%RH,98.155
5/10/20 10:14:01 PM,%RH,99.94
5/10/20 11:14:01 PM,%RH,98.801
5/11/20 12:14:01 AM,%RH,93.956
5/11/20 1:14:01 AM,%RH,92.952
5/11/20 2:14:01 AM,%RH,94.954
5/11/20 3:14:01 AM,%RH,95.45
5/11/20 4:14:01 AM,%RH,95.45
5/11/20 5:14:01 AM,%RH,95.862
5/11/20 6:14:01 AM,%RH,95.862
5/11/20 7:14:01 AM,%RH,87.526
5/11/20 8:14:01 AM,%RH,70.4
5/11/20 9:14:01 AM,%RH,41.349
5/11/20 10:14:01 AM,%RH,27.91
5/11/20 11:14:01 AM,%RH,29.853
5/11/20 12:14:01 PM,%RH,31.276
5/11/20 1:14:01 PM,%RH,29.195
5/11/20 2:14:01 PM,%RH,30.33
5/11/20 3:14:01 PM,%RH,37.032
5/11/20 4:14:01 PM,%RH,35.848
5/11/20 5:14:01 PM,%RH,57.318
5/11/20 6:14:01 PM,%RH,68.518
5/11/20 7:14:01 PM,%RH,82.085
5/11/20 8:14:01 PM,%RH,89.15
5/11/20 9:14:01 PM,%RH,95.414
5/11/20 10:14:01 PM,%RH,99.19
5/11/20 11:14:01 PM,%RH,100.033
5/12/20 12:14:01 AM,%RH,101.258
5/12/20 1:14:01 AM,%RH,103.061
5/12/20 2:14:01 AM,%RH,101.645
5/12/20 3:14:01 AM,%RH,101.236
5/12/20 4:14:01 AM,%RH,101.304
5/12/20 5:14:01 AM,%RH,97.03
5/12/20 6:14:01 AM,%RH,98.976
5/12/20 7:14:01 AM,%RH,91.779
5/12/20 8:14:01 AM,%RH,61.043
5/12/20 9:14:01 AM,%RH,32.614
5/12/20 10:14:01 AM,%RH,32.165
5/12/20 11:14:01 AM,%RH,29.679
5/12/20 12:14:01 PM,%RH,28.425
5/12/20 1:14:01 PM,%RH,32.817
5/12/20 2:14:01 PM,%RH,35.88
5/12/20 3:14:01 PM,%RH,37.637
5/12/20 4:14:01 PM,%RH,39.699
5/12/20 5:14:01 PM,%RH,53.613
5/12/20 6:14:01 PM,%RH,59.045
5/12/20 7:14:01 PM,%RH,68.455
5/12/20 8:14:01 PM,%RH,74.796
5/12/20 9:14:01 PM,%RH,80.044
5/12/20 10:14:01 PM,%RH,85.295
5/12/20 11:14:01 PM,%RH,90.773
5/13/20 12:14:01 AM,%RH,98.103
5/13/20 1:14:01 AM,%RH,99.393
5/13/20 2:14:01 AM,%RH,101.645
5/13/20 3:14:01 AM,%RH,100.737
5/13/20 4:14:01 AM,%RH,102.008
5/13/20 5:14:01 AM,%RH,101.213
5/13/20 6:14:01 AM,%RH,102.551
5/13/20 7:14:01 AM,%RH,96.417
5/13/20 8:14:01 AM,%RH,40.899
5/13/20 9:14:01 AM,%RH,27.513
5/13/20 10:14:01 AM,%RH,23.693
5/13/20 11:14:01 AM,%RH,24.557
5/13/20 12:14:01 PM,%RH,25.836
5/13/20 1:14:01 PM,%RH,28.501
5/13/20 2:14:01 PM,%RH,31.517
5/13/20 3:14:01 PM,%RH,31.72
5/13/20 4:14:01 PM,%RH,37.119
5/13/20 5:14:01 PM,%RH,50.524
5/13/20 6:14:01 PM,%RH,60.834
5/13/20 7:14:01 PM,%RH,66.116
5/13/20 8:14:01 PM,%RH,80.118
5/13/20 9:14:01 PM,%RH,89.307
5/13/20 10:14:01 PM,%RH,95.657
5/13/20 11:14:01 PM,%RH,96.093
5/14/20 12:14:01 AM,%RH,99.444
5/14/20 1:14:01 AM,%RH,99.299
5/14/20 2:14:01 AM,%RH,100.737
5/14/20 3:14:01 AM,%RH,101.732
5/14/20 4:14:01 AM,%RH,103.022
5/14/20 5:14:01 AM,%RH,102.079
5/14/20 6:14:01 AM,%RH,102.632
5/14/20 7:14:01 AM,%RH,54.443
5/14/20 8:14:01 AM,%RH,40.036
5/14/20 9:14:01 AM,%RH,36.903
5/14/20 10:14:01 AM,%RH,26.192
5/14/20 11:14:01 AM,%RH,23.748
5/14/20 12:14:01 PM,%RH,22.566
5/14/20 1:14:01 PM,%RH,25.358
5/14/20 2:14:01 PM,%RH,25.945
5/14/20 3:14:01 PM,%RH,28.952
5/14/20 4:14:01 PM,%RH,26.659
5/14/20 5:14:01 PM,%RH,35.165
5/14/20 6:14:01 PM,%RH,41.558
5/14/20 7:14:01 PM,%RH,43.417
5/14/20 8:14:01 PM,%RH,47.752
5/14/20 9:14:01 PM,%RH,45.188
5/14/20 10:14:01 PM,%RH,47.678
5/14/20 11:14:01 PM,%RH,49.586
5/15/20 12:14:01 AM,%RH,50.29
5/15/20 1:14:01 AM,%RH,53.362
5/15/20 2:14:01 AM,%RH,55.261
5/15/20 3:14:01 AM,%RH,55.849
5/15/20 4:14:01 AM,%RH,55.199
5/15/20 5:14:01 AM,%RH,62.374
5/15/20 6:14:01 AM,%RH,61.255
5/15/20 7:14:01 AM,%RH,36.797
5/15/20 8:14:01 AM,%RH,30.369
5/15/20 9:14:01 AM,%RH,27.457
5/15/20 10:14:01 AM,%RH,25.446
5/15/20 11:14:01 AM,%RH,24.754
5/15/20 12:14:01 PM,%RH,21.862
5/15/20 1:14:01 PM,%RH,22.134
5/15/20 2:14:01 PM,%RH,16.323
5/15/20 3:14:01 PM,%RH,21.754
5/15/20 4:14:01 PM,%RH,22.778
5/15/20 5:14:01 PM,%RH,29.424
5/15/20 6:14:01 PM,%RH,34.498
5/15/20 7:14:01 PM,%RH,32.39
5/15/20 8:14:01 PM,%RH,34.302
5/15/20 9:14:01 PM,%RH,35.54
5/15/20 10:14:01 PM,%RH,36.822
5/15/20 11:14:01 PM,%RH,43.705
5/16/20 12:14:01 AM,%RH,48.978
5/16/20 1:14:01 AM,%RH,54.213
5/16/20 2:14:01 AM,%RH,61.259
5/16/20 3:14:01 AM,%RH,63.824
5/16/20 4:14:01 AM,%RH,61.476
5/16/20 5:14:01 AM,%RH,75.951
5/16/20 6:14:01 AM,%RH,78.142
5/16/20 7:14:01 AM,%RH,34.91
5/16/20 8:14:01 AM,%RH,28.031
5/16/20 9:14:01 AM,%RH,23.214
5/16/20 10:14:01 AM,%RH,20.715
5/16/20 11:14:01 AM,%RH,18.626
5/16/20 12:14:01 PM,%RH,21.425
5/16/20 1:14:01 PM,%RH,23.287
5/16/20 2:14:01 PM,%RH,27.451
5/16/20 3:14:01 PM,%RH,23.287
5/16/20 4:14:01 PM,%RH,30.246
5/16/20 5:14:01 PM,%RH,35.792
5/16/20 6:14:01 PM,%RH,42.491
5/16/20 7:14:01 PM,%RH,52.365
5/16/20 8:14:01 PM,%RH,64.952
5/16/20 9:14:01 PM,%RH,79.111
5/16/20 10:14:01 PM,%RH,84.388
5/16/20 11:14:01 PM,%RH,88.415
5/17/20 12:14:01 AM,%RH,89.001
5/17/20 1:14:01 AM,%RH,90.329
5/17/20 2:14:01 AM,%RH,95.348
5/17/20 3:14:01 AM,%RH,96.64
5/17/20 4:14:01 AM,%RH,98.532
5/17/20 5:14:01 AM,%RH,100.403
5/17/20 6:14:01 AM,%RH,100.511
5/17/20 7:14:01 AM,%RH,56.384
5/17/20 8:14:01 AM,%RH,36.016
5/17/20 9:14:01 AM,%RH,29.168
5/17/20 10:14:01 AM,%RH,25.254
5/17/20 11:14:01 AM,%RH,30.869
5/17/20 12:14:01 PM,%RH,26.063
5/17/20 1:14:01 PM,%RH,25.945
5/17/20 2:14:01 PM,%RH,25.945
5/17/20 3:14:01 PM,%RH,29.703
5/17/20 4:14:01 PM,%RH,32.455
5/17/20 5:14:01 PM,%RH,45.714
5/17/20 6:14:01 PM,%RH,54.854
5/17/20 7:14:01 PM,%RH,63.811
5/17/20 8:14:01 PM,%RH,80.428
5/17/20 9:14:01 PM,%RH,91.779
5/17/20 10:14:01 PM,%RH,96.539
5/17/20 11:14:01 PM,%RH,99.254
5/18/20 12:14:01 AM,%RH,101.17
5/18/20 1:14:01 AM,%RH,101.603
5/18/20 2:14:01 AM,%RH,98.398
5/18/20 3:14:01 AM,%RH,99.285
5/18/20 4:14:01 AM,%RH,98.801
5/18/20 5:14:01 AM,%RH,100.333
5/18/20 6:14:01 AM,%RH,103.348
5/18/20 7:14:01 AM,%RH,103.329
5/18/20 8:14:01 AM,%RH,98.888
5/18/20 9:14:01 AM,%RH,92.799
5/18/20 10:14:01 AM,%RH,91.823
5/18/20 11:14:01 AM,%RH,74.742
5/18/20 12:14:01 PM,%RH,61.441
5/18/20 1:14:01 PM,%RH,43.608
5/18/20 2:14:01 PM,%RH,35.21
5/18/20 3:14:01 PM,%RH,33.57
5/18/20 4:14:01 PM,%RH,32.503
5/18/20 5:14:01 PM,%RH,45.482
5/18/20 6:14:01 PM,%RH,57.758
5/18/20 7:14:01 PM,%RH,67.299
5/18/20 8:14:01 PM,%RH,73.283
5/18/20 9:14:01 PM,%RH,82.724
5/18/20 10:14:01 PM,%RH,92.793
5/18/20 11:14:01 PM,%RH,94.356
5/19/20 12:14:01 AM,%RH,95.348
5/19/20 1:14:01 AM,%RH,98.962
5/19/20 2:14:01 AM,%RH,100.88
5/19/20 3:14:01 AM,%RH,102.205
5/19/20 4:14:01 AM,%RH,101.83
5/19/20 5:14:01 AM,%RH,101.645
5/19/20 6:14:01 AM,%RH,103.53
5/19/20 7:14:01 AM,%RH,73.277
5/19/20 8:14:01 AM,%RH,39.381
5/19/20 9:14:01 AM,%RH,29.285
5/19/20 10:14:01 AM,%RH,23.529
5/19/20 11:14:01 AM,%RH,21.593
5/19/20 12:14:01 PM,%RH,22.562
5/19/20 1:14:01 PM,%RH,30.089
5/19/20 2:14:01 PM,%RH,35.215
5/19/20 3:14:01 PM,%RH,32.503
5/19/20 4:14:01 PM,%RH,28.086
5/19/20 5:14:01 PM,%RH,47.272
5/19/20 6:14:01 PM,%RH,57.697
5/19/20 7:14:01 PM,%RH,70.873
5/19/20 8:14:01 PM,%RH,82.515
5/19/20 9:14:01 PM,%RH,94.504
5/19/20 10:14:01 PM,%RH,96.872
5/19/20 11:14:01 PM,%RH,99.779
5/20/20 12:14:01 AM,%RH,95.397
5/20/20 1:14:01 AM,%RH,93.458
5/20/20 2:14:01 AM,%RH,90.337
5/20/20 3:14:01 AM,%RH,95.726
5/20/20 4:14:01 AM,%RH,90.845
5/20/20 5:14:01 AM,%RH,96.218
5/20/20 6:14:01 AM,%RH,90.845
5/20/20 7:14:01 AM,%RH,45.527
5/20/20 8:14:01 AM,%RH,31.1
5/20/20 9:14:01 AM,%RH,25.336
5/20/20 10:14:01 AM,%RH,20.185
5/20/20 11:14:01 AM,%RH,19.921
5/20/20 12:14:01 PM,%RH,17.299
5/20/20 1:14:01 PM,%RH,26.758
5/20/20 2:14:01 PM,%RH,27.335
5/20/20 3:14:01 PM,%RH,28.656
5/20/20 4:14:01 PM,%RH,28.198
5/20/20 5:14:01 PM,%RH,36.746
5/20/20 6:14:01 PM,%RH,51.072
5/20/20 7:14:01 PM,%RH,61.956
5/20/20 8:14:01 PM,%RH,71.597
5/20/20 9:14:01 PM,%RH,66.876
5/20/20 10:14:01 PM,%RH,75.605
5/20/20 11:14:01 PM,%RH,81.318
5/21/20 12:14:01 AM,%RH,87.404
5/21/20 1:14:01 AM,%RH,84.796
5/21/20 2:14:01 AM,%RH,56.49
5/21/20 3:14:01 AM,%RH,50.761
5/21/20 4:14:01 AM,%RH,56.783
5/21/20 5:14:01 AM,%RH,64.915
5/21/20 6:14:01 AM,%RH,64.843
5/21/20 7:14:01 AM,%RH,29.012
5/21/20 8:14:01 AM,%RH,24.225
5/21/20 9:14:01 AM,%RH,19.741
5/21/20 10:14:01 AM,%RH,16.991
5/21/20 11:14:01 AM,%RH,13.574
5/21/20 12:14:01 PM,%RH,12.937
5/21/20 1:14:01 PM,%RH,17.154
5/21/20 2:14:01 PM,%RH,18.414
5/21/20 3:14:01 PM,%RH,20.821
5/21/20 4:14:01 PM,%RH,17.555
5/21/20 5:14:01 PM,%RH,21.436
5/21/20 6:14:01 PM,%RH,33.211
5/21/20 7:14:01 PM,%RH,41.604
5/21/20 8:14:01 PM,%RH,50.327
5/21/20 9:14:01 PM,%RH,67.375
5/21/20 10:14:01 PM,%RH,70.721
5/21/20 11:14:01 PM,%RH,64.716
5/22/20 12:14:01 AM,%RH,77.184
5/22/20 1:14:01 AM,%RH,79.362
5/22/20 2:14:01 AM,%RH,84.909
5/22/20 3:14:01 AM,%RH,87.976
5/22/20 4:14:01 AM,%RH,89.463
5/22/20 5:14:01 AM,%RH,92.909
5/22/20 6:14:01 AM,%RH,92.958
5/22/20 7:14:01 AM,%RH,39.279
5/22/20 8:14:01 AM,%RH,29.34
5/22/20 9:14:01 AM,%RH,22.295
5/22/20 10:14:01 AM,%RH,19.846
5/22/20 11:14:01 AM,%RH,21.317
5/22/20 12:14:01 PM,%RH,21.157
5/22/20 1:14:01 PM,%RH,23.714
5/22/20 2:14:01 PM,%RH,29.582
5/22/20 3:14:01 PM,%RH,30.148
5/22/20 4:14:01 PM,%RH,34.3
5/22/20 5:14:01 PM,%RH,45.17
5/22/20 6:14:01 PM,%RH,56.743
