1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 470000006CBA1941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:01:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 00:01:01 PDT 2020
Total Mission Samples:  6347
Total Device Samples:  13959
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 12:01:01 AM,%RH,48.023
5/5/20 1:01:01 AM,%RH,50.882
5/5/20 2:01:01 AM,%RH,59.611
5/5/20 3:01:01 AM,%RH,59.611
5/5/20 4:01:01 AM,%RH,63.053
5/5/20 5:01:01 AM,%RH,48.352
5/5/20 6:01:01 AM,%RH,55.451
5/5/20 7:01:01 AM,%RH,61.643
5/5/20 8:01:01 AM,%RH,16.681
5/5/20 9:01:01 AM,%RH,17.335
5/5/20 10:01:01 AM,%RH,14.782
5/5/20 11:01:01 AM,%RH,14.232
5/5/20 12:01:01 PM,%RH,15.011
5/5/20 1:01:01 PM,%RH,17.584
5/5/20 2:01:01 PM,%RH,15.368
5/5/20 3:01:01 PM,%RH,17.899
5/5/20 4:01:01 PM,%RH,22.785
5/5/20 5:01:01 PM,%RH,25.581
5/5/20 6:01:01 PM,%RH,32.749
5/5/20 7:01:01 PM,%RH,48.531
5/5/20 8:01:01 PM,%RH,61.736
5/5/20 9:01:01 PM,%RH,36.279
5/5/20 10:01:01 PM,%RH,35.619
5/5/20 11:01:01 PM,%RH,34.861
5/6/20 12:01:01 AM,%RH,28.879
5/6/20 1:01:01 AM,%RH,32.196
5/6/20 2:01:01 AM,%RH,31.477
5/6/20 3:01:01 AM,%RH,30.804
5/6/20 4:01:01 AM,%RH,30.707
5/6/20 5:01:01 AM,%RH,29.356
5/6/20 6:01:01 AM,%RH,29.307
5/6/20 7:01:01 AM,%RH,48.081
5/6/20 8:01:01 AM,%RH,14.314
5/6/20 9:01:01 AM,%RH,14.55
5/6/20 10:01:01 AM,%RH,11.769
5/6/20 11:01:01 AM,%RH,11.243
5/6/20 12:01:01 PM,%RH,11.202
5/6/20 1:01:01 PM,%RH,11.683
5/6/20 2:01:01 PM,%RH,12.915
5/6/20 3:01:01 PM,%RH,12.915
5/6/20 4:01:01 PM,%RH,18.045
5/6/20 5:01:01 PM,%RH,21.555
5/6/20 6:01:01 PM,%RH,21.394
5/6/20 7:01:01 PM,%RH,21.234
5/6/20 8:01:01 PM,%RH,21.073
5/6/20 9:01:01 PM,%RH,23.678
5/6/20 10:01:01 PM,%RH,22.245
5/6/20 11:01:01 PM,%RH,20.805
5/7/20 12:01:01 AM,%RH,23.307
5/7/20 1:01:01 AM,%RH,22.563
5/7/20 2:01:01 AM,%RH,22.031
5/7/20 3:01:01 AM,%RH,21.978
5/7/20 4:01:01 AM,%RH,44.28
5/7/20 5:01:01 AM,%RH,56.325
5/7/20 6:01:01 AM,%RH,56.396
5/7/20 7:01:01 AM,%RH,43.674
5/7/20 8:01:01 AM,%RH,16.934
5/7/20 9:01:01 AM,%RH,13.916
5/7/20 10:01:01 AM,%RH,14.736
5/7/20 11:01:01 AM,%RH,13.014
5/7/20 12:01:01 PM,%RH,9.915
5/7/20 1:01:01 PM,%RH,11.243
5/7/20 2:01:01 PM,%RH,8.941
5/7/20 3:01:01 PM,%RH,13.007
5/7/20 4:01:01 PM,%RH,22.839
5/7/20 5:01:01 PM,%RH,31.06
5/7/20 6:01:01 PM,%RH,34.849
5/7/20 7:01:01 PM,%RH,43.03
5/7/20 8:01:01 PM,%RH,62.956
5/7/20 9:01:01 PM,%RH,76.21
5/7/20 10:01:01 PM,%RH,76.29
5/7/20 11:01:01 PM,%RH,85.476
5/8/20 12:01:01 AM,%RH,81.962
5/8/20 1:01:01 AM,%RH,80.901
5/8/20 2:01:01 AM,%RH,86.368
5/8/20 3:01:01 AM,%RH,84.816
5/8/20 4:01:01 AM,%RH,85.267
5/8/20 5:01:01 AM,%RH,88.22
5/8/20 6:01:01 AM,%RH,90.184
5/8/20 7:01:01 AM,%RH,84.437
5/8/20 8:01:01 AM,%RH,23.056
5/8/20 9:01:01 AM,%RH,18.56
5/8/20 10:01:01 AM,%RH,16.427
5/8/20 11:01:01 AM,%RH,14.322
5/8/20 12:01:01 PM,%RH,14.965
5/8/20 1:01:01 PM,%RH,19.477
5/8/20 2:01:01 PM,%RH,15.85
5/8/20 3:01:01 PM,%RH,17.797
5/8/20 4:01:01 PM,%RH,28.855
5/8/20 5:01:01 PM,%RH,36.936
5/8/20 6:01:01 PM,%RH,41.242
5/8/20 7:01:01 PM,%RH,52.283
5/8/20 8:01:01 PM,%RH,63.039
5/8/20 9:01:01 PM,%RH,82.646
5/8/20 10:01:01 PM,%RH,87.329
5/8/20 11:01:01 PM,%RH,90.306
5/9/20 12:01:01 AM,%RH,96.65
5/9/20 1:01:01 AM,%RH,97.017
5/9/20 2:01:01 AM,%RH,96.535
5/9/20 3:01:01 AM,%RH,94.217
5/9/20 4:01:01 AM,%RH,93.666
5/9/20 5:01:01 AM,%RH,95.896
5/9/20 6:01:01 AM,%RH,95.41
5/9/20 7:01:01 AM,%RH,94.832
5/9/20 8:01:01 AM,%RH,26.291
5/9/20 9:01:01 AM,%RH,21.176
5/9/20 10:01:01 AM,%RH,18.455
5/9/20 11:01:01 AM,%RH,19.582
5/9/20 12:01:01 PM,%RH,21.005
5/9/20 1:01:01 PM,%RH,24.14
5/9/20 2:01:01 PM,%RH,23.917
5/9/20 3:01:01 PM,%RH,24.668
5/9/20 4:01:01 PM,%RH,32.676
5/9/20 5:01:01 PM,%RH,34.849
5/9/20 6:01:01 PM,%RH,48.849
5/9/20 7:01:01 PM,%RH,66.114
5/9/20 8:01:01 PM,%RH,83.896
5/9/20 9:01:01 PM,%RH,87.608
5/9/20 10:01:01 PM,%RH,97.943
5/9/20 11:01:01 PM,%RH,96.108
5/10/20 12:01:01 AM,%RH,99.045
5/10/20 1:01:01 AM,%RH,98.35
5/10/20 2:01:01 AM,%RH,98.256
5/10/20 3:01:01 AM,%RH,99.352
5/10/20 4:01:01 AM,%RH,99.727
5/10/20 5:01:01 AM,%RH,99.638
5/10/20 6:01:01 AM,%RH,99.56
5/10/20 7:01:01 AM,%RH,101.191
5/10/20 8:01:01 AM,%RH,35.947
5/10/20 9:01:01 AM,%RH,34.791
5/10/20 10:01:01 AM,%RH,22.851
5/10/20 11:01:01 AM,%RH,21.552
5/10/20 12:01:01 PM,%RH,19.477
5/10/20 1:01:01 PM,%RH,23.386
5/10/20 2:01:01 PM,%RH,25.997
5/10/20 3:01:01 PM,%RH,31.001
5/10/20 4:01:01 PM,%RH,46.576
5/10/20 5:01:01 PM,%RH,62.648
5/10/20 6:01:01 PM,%RH,74.072
5/10/20 7:01:01 PM,%RH,81.752
5/10/20 8:01:01 PM,%RH,90.382
5/10/20 9:01:01 PM,%RH,95.188
5/10/20 10:01:01 PM,%RH,98.422
5/10/20 11:01:01 PM,%RH,96.321
5/11/20 12:01:01 AM,%RH,92.966
5/11/20 1:01:01 AM,%RH,91.97
5/11/20 2:01:01 AM,%RH,91.469
5/11/20 3:01:01 AM,%RH,93.956
5/11/20 4:01:01 AM,%RH,93.462
5/11/20 5:01:01 AM,%RH,93.379
5/11/20 6:01:01 AM,%RH,93.873
5/11/20 7:01:01 AM,%RH,85.511
5/11/20 8:01:01 AM,%RH,69.536
5/11/20 9:01:01 AM,%RH,54.263
5/11/20 10:01:01 AM,%RH,22.094
5/11/20 11:01:01 AM,%RH,19.582
5/11/20 12:01:01 PM,%RH,22.741
5/11/20 1:01:01 PM,%RH,24.39
5/11/20 2:01:01 PM,%RH,25.137
