1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7A0000006D9B0D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:55:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 00:55:01 PDT 2020
Total Mission Samples:  6348
Total Device Samples:  15143
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 12:55:01 AM,%RH,58.482
5/5/20 1:55:01 AM,%RH,71.322
5/5/20 2:55:01 AM,%RH,71.933
5/5/20 3:55:01 AM,%RH,77.451
5/5/20 4:55:01 AM,%RH,67.359
5/5/20 5:55:01 AM,%RH,70.821
5/5/20 6:55:01 AM,%RH,71.617
5/5/20 7:55:01 AM,%RH,22.284
5/5/20 8:55:01 AM,%RH,22.202
5/5/20 9:55:01 AM,%RH,13.075
5/5/20 10:55:01 AM,%RH,13.475
5/5/20 11:55:01 AM,%RH,15.951
5/5/20 12:55:01 PM,%RH,11.905
5/5/20 1:55:01 PM,%RH,9.644
5/5/20 2:55:01 PM,%RH,16.247
5/5/20 3:55:01 PM,%RH,18.614
5/5/20 4:55:01 PM,%RH,26.043
5/5/20 5:55:01 PM,%RH,33.699
5/5/20 6:55:01 PM,%RH,48.215
5/5/20 7:55:01 PM,%RH,69.884
5/5/20 8:55:01 PM,%RH,39.847
5/5/20 9:55:01 PM,%RH,33.924
5/5/20 10:55:01 PM,%RH,37.726
5/5/20 11:55:01 PM,%RH,28.95
5/6/20 12:55:01 AM,%RH,37.105
5/6/20 1:55:01 AM,%RH,31.676
5/6/20 2:55:01 AM,%RH,29.647
5/6/20 3:55:01 AM,%RH,29.548
5/6/20 4:55:01 AM,%RH,26.79
5/6/20 5:55:01 AM,%RH,27.395
5/6/20 6:55:01 AM,%RH,45.23
5/6/20 7:55:01 AM,%RH,18.147
5/6/20 8:55:01 AM,%RH,17.269
5/6/20 9:55:01 AM,%RH,11.737
5/6/20 10:55:01 AM,%RH,7.97
5/6/20 11:55:01 AM,%RH,8.77
5/6/20 12:55:01 PM,%RH,7.025
5/6/20 1:55:01 PM,%RH,7.861
5/6/20 2:55:01 PM,%RH,10.613
5/6/20 3:55:01 PM,%RH,16.215
5/6/20 4:55:01 PM,%RH,18.678
5/6/20 5:55:01 PM,%RH,20.562
5/6/20 6:55:01 PM,%RH,19.617
5/6/20 7:55:01 PM,%RH,20.133
5/6/20 8:55:01 PM,%RH,22.206
5/6/20 9:55:01 PM,%RH,23.54
5/6/20 10:55:01 PM,%RH,20.593
5/6/20 11:55:01 PM,%RH,27.395
5/7/20 12:55:01 AM,%RH,25.268
5/7/20 1:55:01 AM,%RH,22.555
5/7/20 2:55:01 AM,%RH,21.832
5/7/20 3:55:01 AM,%RH,44.611
5/7/20 4:55:01 AM,%RH,59.044
5/7/20 5:55:01 AM,%RH,67.089
5/7/20 6:55:01 AM,%RH,57.216
5/7/20 7:55:01 AM,%RH,24.449
5/7/20 8:55:01 AM,%RH,23.66
5/7/20 9:55:01 AM,%RH,19.338
5/7/20 10:55:01 AM,%RH,12.07
5/7/20 11:55:01 AM,%RH,8.04
5/7/20 12:55:01 PM,%RH,7.268
5/7/20 1:55:01 PM,%RH,8.144
5/7/20 2:55:01 PM,%RH,13.255
5/7/20 3:55:01 PM,%RH,21.053
5/7/20 4:55:01 PM,%RH,26.043
5/7/20 5:55:01 PM,%RH,36.455
