1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000006D9AC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Jan 31 07:57:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Sep 24 05:37:01 PDT 2020
Total Mission Samples:  38204
Total Device Samples:  45850
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/24/20 5:37:01 AM,F,52.03
9/24/20 5:47:01 AM,F,51.128
9/24/20 5:57:01 AM,F,51.128
9/24/20 6:07:01 AM,F,51.128
9/24/20 6:17:01 AM,F,51.128
9/24/20 6:27:01 AM,F,51.128
9/24/20 6:37:01 AM,F,51.128
9/24/20 6:47:01 AM,F,52.03
9/24/20 6:57:01 AM,F,51.128
9/24/20 7:07:01 AM,F,52.03
9/24/20 7:17:01 AM,F,53.833
9/24/20 7:27:01 AM,F,54.735
9/24/20 7:37:01 AM,F,62.845
9/24/20 7:47:01 AM,F,69.151
9/24/20 7:57:01 AM,F,72.752
9/24/20 8:07:01 AM,F,76.353
9/24/20 8:17:01 AM,F,78.153
9/24/20 8:27:01 AM,F,79.953
9/24/20 8:37:01 AM,F,83.552
9/24/20 8:47:01 AM,F,85.351
9/24/20 8:57:01 AM,F,87.15
9/24/20 9:07:01 AM,F,90.747
9/24/20 9:17:01 AM,F,92.545
9/24/20 9:27:01 AM,F,94.343
9/24/20 9:37:01 AM,F,97.938
9/24/20 9:47:01 AM,F,97.938
9/24/20 9:57:01 AM,F,101.533
9/24/20 10:07:01 AM,F,102.431
9/24/20 10:17:01 AM,F,105.126
9/24/20 10:27:01 AM,F,107.82
9/24/20 10:37:01 AM,F,108.718
9/24/20 10:47:01 AM,F,106.922
9/24/20 10:57:01 AM,F,111.412
9/24/20 11:07:01 AM,F,112.31
