1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:49:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 01:49:01 PDT 2020
Total Mission Samples:  6349
Total Device Samples:  14370
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/5/20 1:49:01 AM,F,50.102
5/5/20 2:49:01 AM,F,50.102
5/5/20 3:49:01 AM,F,49.199
5/5/20 4:49:01 AM,F,51.005
5/5/20 5:49:01 AM,F,50.102
5/5/20 6:49:01 AM,F,51.908
5/5/20 7:49:01 AM,F,74.444
5/5/20 8:49:01 AM,F,86.139
5/5/20 9:49:01 AM,F,98.716
5/5/20 10:49:01 AM,F,104.1
5/5/20 11:49:01 AM,F,104.997
5/5/20 12:49:01 PM,F,107.688
5/5/20 1:49:01 PM,F,108.585
5/5/20 2:49:01 PM,F,104.997
5/5/20 3:49:01 PM,F,98.716
5/5/20 4:49:01 PM,F,94.226
5/5/20 5:49:01 PM,F,85.24
5/5/20 6:49:01 PM,F,76.244
5/5/20 7:49:01 PM,F,66.338
5/5/20 8:49:01 PM,F,71.743
5/5/20 9:49:01 PM,F,70.842
5/5/20 10:49:01 PM,F,67.239
5/5/20 11:49:01 PM,F,69.041
5/6/20 12:49:01 AM,F,68.14
5/6/20 1:49:01 AM,F,67.239
5/6/20 2:49:01 AM,F,68.14
5/6/20 3:49:01 AM,F,67.239
5/6/20 4:49:01 AM,F,67.239
5/6/20 5:49:01 AM,F,66.338
5/6/20 6:49:01 AM,F,60.929
5/6/20 7:49:01 AM,F,79.844
5/6/20 8:49:01 AM,F,91.531
5/6/20 9:49:01 AM,F,102.306
5/6/20 10:49:01 AM,F,108.585
5/6/20 11:49:01 AM,F,113.067
5/6/20 12:49:01 PM,F,117.546
5/6/20 1:49:01 PM,F,109.481
5/6/20 2:49:01 PM,F,116.651
5/6/20 3:49:01 PM,F,106.791
5/6/20 4:49:01 PM,F,93.328
5/6/20 5:49:01 PM,F,84.341
5/6/20 6:49:01 PM,F,80.743
5/6/20 7:49:01 PM,F,77.144
5/6/20 8:49:01 PM,F,73.544
5/6/20 9:49:01 PM,F,72.643
5/6/20 10:49:01 PM,F,71.743
5/6/20 11:49:01 PM,F,65.437
5/7/20 12:49:01 AM,F,67.239
5/7/20 1:49:01 AM,F,68.14
5/7/20 2:49:01 AM,F,69.041
5/7/20 3:49:01 AM,F,59.126
5/7/20 4:49:01 AM,F,55.518
5/7/20 5:49:01 AM,F,55.518
5/7/20 6:49:01 AM,F,57.322
5/7/20 7:49:01 AM,F,77.144
5/7/20 8:49:01 AM,F,87.038
5/7/20 9:49:01 AM,F,102.306
5/7/20 10:49:01 AM,F,109.481
5/7/20 11:49:01 AM,F,113.963
5/7/20 12:49:01 PM,F,113.963
5/7/20 1:49:01 PM,F,113.067
5/7/20 2:49:01 PM,F,112.17
5/7/20 3:49:01 PM,F,96.92
5/7/20 4:49:01 PM,F,87.038
5/7/20 5:49:01 PM,F,84.341
5/7/20 6:49:01 PM,F,78.044
5/7/20 7:49:01 PM,F,70.842
5/7/20 8:49:01 PM,F,61.831
5/7/20 9:49:01 PM,F,59.126
5/7/20 10:49:01 PM,F,57.322
5/7/20 11:49:01 PM,F,56.42
5/8/20 12:49:01 AM,F,55.518
5/8/20 1:49:01 AM,F,53.713
5/8/20 2:49:01 AM,F,52.81
5/8/20 3:49:01 AM,F,51.908
5/8/20 4:49:01 AM,F,50.102
5/8/20 5:49:01 AM,F,49.199
5/8/20 6:49:01 AM,F,51.908
5/8/20 7:49:01 AM,F,72.643
5/8/20 8:49:01 AM,F,84.341
5/8/20 9:49:01 AM,F,96.022
5/8/20 10:49:01 AM,F,97.818
5/8/20 11:49:01 AM,F,101.409
5/8/20 12:49:01 PM,F,104.1
5/8/20 1:49:01 PM,F,102.306
5/8/20 2:49:01 PM,F,102.306
5/8/20 3:49:01 PM,F,94.226
5/8/20 4:49:01 PM,F,87.038
5/8/20 5:49:01 PM,F,81.643
5/8/20 6:49:01 PM,F,73.544
5/8/20 7:49:01 PM,F,67.239
5/8/20 8:49:01 PM,F,60.929
5/8/20 9:49:01 PM,F,58.224
5/8/20 10:49:01 PM,F,54.615
5/8/20 11:49:01 PM,F,51.908
5/9/20 12:49:01 AM,F,50.102
5/9/20 1:49:01 AM,F,49.199
5/9/20 2:49:01 AM,F,49.199
5/9/20 3:49:01 AM,F,48.297
5/9/20 4:49:01 AM,F,46.49
5/9/20 5:49:01 AM,F,46.49
5/9/20 6:49:01 AM,F,49.199
5/9/20 7:49:01 AM,F,69.041
5/9/20 8:49:01 AM,F,82.542
5/9/20 9:49:01 AM,F,92.43
5/9/20 10:49:01 AM,F,91.531
5/9/20 11:49:01 AM,F,91.531
5/9/20 12:49:01 PM,F,96.022
5/9/20 1:49:01 PM,F,93.328
5/9/20 2:49:01 PM,F,94.226
5/9/20 3:49:01 PM,F,92.43
5/9/20 4:49:01 PM,F,87.038
5/9/20 5:49:01 PM,F,80.743
5/9/20 6:49:01 PM,F,72.643
5/9/20 7:49:01 PM,F,65.437
5/9/20 8:49:01 PM,F,60.028
5/9/20 9:49:01 PM,F,55.518
5/9/20 10:49:01 PM,F,53.713
5/9/20 11:49:01 PM,F,51.908
5/10/20 12:49:01 AM,F,49.199
5/10/20 1:49:01 AM,F,48.297
5/10/20 2:49:01 AM,F,47.393
5/10/20 3:49:01 AM,F,45.587
5/10/20 4:49:01 AM,F,45.587
5/10/20 5:49:01 AM,F,45.587
5/10/20 6:49:01 AM,F,48.297
5/10/20 7:49:01 AM,F,61.831
5/10/20 8:49:01 AM,F,72.643
5/10/20 9:49:01 AM,F,81.643
5/10/20 10:49:01 AM,F,83.442
5/10/20 11:49:01 AM,F,89.734
5/10/20 12:49:01 PM,F,92.43
5/10/20 1:49:01 PM,F,91.531
5/10/20 2:49:01 PM,F,86.139
5/10/20 3:49:01 PM,F,82.542
5/10/20 4:49:01 PM,F,76.244
5/10/20 5:49:01 PM,F,69.941
5/10/20 6:49:01 PM,F,64.535
5/10/20 7:49:01 PM,F,60.929
5/10/20 8:49:01 PM,F,57.322
5/10/20 9:49:01 PM,F,55.518
5/10/20 10:49:01 PM,F,57.322
5/10/20 11:49:01 PM,F,59.126
5/11/20 12:49:01 AM,F,59.126
5/11/20 1:49:01 AM,F,59.126
5/11/20 2:49:01 AM,F,59.126
5/11/20 3:49:01 AM,F,59.126
5/11/20 4:49:01 AM,F,59.126
5/11/20 5:49:01 AM,F,58.224
5/11/20 6:49:01 AM,F,60.028
5/11/20 7:49:01 AM,F,63.634
5/11/20 8:49:01 AM,F,67.239
5/11/20 9:49:01 AM,F,78.944
5/11/20 10:49:01 AM,F,81.643
5/11/20 11:49:01 AM,F,82.542
5/11/20 12:49:01 PM,F,87.038
5/11/20 1:49:01 PM,F,85.24
5/11/20 2:49:01 PM,F,83.442
5/11/20 3:49:01 PM,F,78.044
5/11/20 4:49:01 PM,F,73.544
5/11/20 5:49:01 PM,F,68.14
5/11/20 6:49:01 PM,F,62.733
5/11/20 7:49:01 PM,F,59.126
5/11/20 8:49:01 PM,F,53.713
5/11/20 9:49:01 PM,F,51.908
5/11/20 10:49:01 PM,F,51.005
5/11/20 11:49:01 PM,F,47.393
5/12/20 12:49:01 AM,F,45.587
5/12/20 1:49:01 AM,F,46.49
5/12/20 2:49:01 AM,F,51.908
5/12/20 3:49:01 AM,F,53.713
5/12/20 4:49:01 AM,F,53.713
5/12/20 5:49:01 AM,F,51.908
5/12/20 6:49:01 AM,F,55.518
5/12/20 7:49:01 AM,F,59.126
5/12/20 8:49:01 AM,F,68.14
5/12/20 9:49:01 AM,F,78.944
5/12/20 10:49:01 AM,F,80.743
5/12/20 11:49:01 AM,F,80.743
5/12/20 12:49:01 PM,F,79.844
5/12/20 1:49:01 PM,F,80.743
5/12/20 2:49:01 PM,F,78.044
5/12/20 3:49:01 PM,F,78.944
5/12/20 4:49:01 PM,F,73.544
5/12/20 5:49:01 PM,F,66.338
5/12/20 6:49:01 PM,F,63.634
5/12/20 7:49:01 PM,F,60.929
5/12/20 8:49:01 PM,F,56.42
5/12/20 9:49:01 PM,F,56.42
5/12/20 10:49:01 PM,F,51.908
5/12/20 11:49:01 PM,F,47.393
5/13/20 12:49:01 AM,F,46.49
5/13/20 1:49:01 AM,F,44.684
5/13/20 2:49:01 AM,F,42.877
5/13/20 3:49:01 AM,F,42.877
5/13/20 4:49:01 AM,F,41.973
5/13/20 5:49:01 AM,F,41.069
5/13/20 6:49:01 AM,F,43.78
5/13/20 7:49:01 AM,F,60.028
5/13/20 8:49:01 AM,F,73.544
5/13/20 9:49:01 AM,F,79.844
5/13/20 10:49:01 AM,F,82.542
5/13/20 11:49:01 AM,F,89.734
5/13/20 12:49:01 PM,F,87.038
5/13/20 1:49:01 PM,F,85.24
5/13/20 2:49:01 PM,F,82.542
5/13/20 3:49:01 PM,F,79.844
5/13/20 4:49:01 PM,F,74.444
5/13/20 5:49:01 PM,F,69.041
5/13/20 6:49:01 PM,F,65.437
5/13/20 7:49:01 PM,F,60.028
5/13/20 8:49:01 PM,F,54.615
5/13/20 9:49:01 PM,F,50.102
5/13/20 10:49:01 PM,F,48.297
5/13/20 11:49:01 PM,F,47.393
5/14/20 12:49:01 AM,F,45.587
5/14/20 1:49:01 AM,F,44.684
5/14/20 2:49:01 AM,F,42.877
5/14/20 3:49:01 AM,F,42.877
5/14/20 4:49:01 AM,F,41.973
5/14/20 5:49:01 AM,F,41.973
5/14/20 6:49:01 AM,F,45.587
5/14/20 7:49:01 AM,F,65.437
5/14/20 8:49:01 AM,F,74.444
5/14/20 9:49:01 AM,F,87.038
5/14/20 10:49:01 AM,F,93.328
5/14/20 11:49:01 AM,F,100.511
5/14/20 12:49:01 PM,F,92.43
5/14/20 1:49:01 PM,F,94.226
