1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1900000069B62741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:20:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 23:20:01 PDT 2020
Total Mission Samples:  4678
Total Device Samples:  11192
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 11:20:01 PM,F,62.828
5/5/20 12:20:01 AM,F,53.803
5/5/20 1:20:01 AM,F,51.093
5/5/20 2:20:01 AM,F,45.67
5/5/20 3:20:01 AM,F,46.574
5/5/20 4:20:01 AM,F,51.996
5/5/20 5:20:01 AM,F,52.9
5/5/20 6:20:01 AM,F,48.382
5/5/20 7:20:01 AM,F,68.237
5/5/20 8:20:01 AM,F,86.236
5/5/20 9:20:01 AM,F,105.98
5/5/20 10:20:01 AM,F,117.62
5/5/20 11:20:01 AM,F,128.346
5/5/20 12:20:01 PM,F,126.56
5/5/20 1:20:01 PM,F,130.133
5/5/20 2:20:01 PM,F,122.985
5/5/20 3:20:01 PM,F,115.831
5/5/20 4:20:01 PM,F,106.876
5/5/20 5:20:01 PM,F,90.729
5/5/20 6:20:01 PM,F,76.343
5/5/20 7:20:01 PM,F,68.237
5/5/20 8:20:01 PM,F,63.729
5/5/20 9:20:01 PM,F,70.94
5/5/20 10:20:01 PM,F,70.94
5/5/20 11:20:01 PM,F,68.237
5/6/20 12:20:01 AM,F,69.138
5/6/20 1:20:01 AM,F,68.237
5/6/20 2:20:01 AM,F,66.434
5/6/20 3:20:01 AM,F,66.434
5/6/20 4:20:01 AM,F,67.336
5/6/20 5:20:01 AM,F,66.434
5/6/20 6:20:01 AM,F,63.729
5/6/20 7:20:01 AM,F,73.642
5/6/20 8:20:01 AM,F,88.034
5/6/20 9:20:01 AM,F,105.084
5/6/20 10:20:01 AM,F,108.668
5/6/20 11:20:01 AM,F,115.831
5/6/20 12:20:01 PM,F,118.515
5/6/20 1:20:01 PM,F,119.409
5/6/20 2:20:01 PM,F,115.831
5/6/20 3:20:01 PM,F,114.041
5/6/20 4:20:01 PM,F,103.291
5/6/20 5:20:01 PM,F,88.034
5/6/20 6:20:01 PM,F,81.741
5/6/20 7:20:01 PM,F,77.243
5/6/20 8:20:01 PM,F,73.642
5/6/20 9:20:01 PM,F,72.741
5/6/20 10:20:01 PM,F,71.841
5/6/20 11:20:01 PM,F,70.94
5/7/20 12:20:01 AM,F,64.631
5/7/20 1:20:01 AM,F,66.434
5/7/20 2:20:01 AM,F,69.138
5/7/20 3:20:01 AM,F,65.533
5/7/20 4:20:01 AM,F,53.803
5/7/20 5:20:01 AM,F,51.093
5/7/20 6:20:01 AM,F,54.706
5/7/20 7:20:01 AM,F,70.94
5/7/20 8:20:01 AM,F,90.729
5/7/20 9:20:01 AM,F,98.807
5/7/20 10:20:01 AM,F,117.62
5/7/20 11:20:01 AM,F,117.62
5/7/20 12:20:01 PM,F,128.346
5/7/20 1:20:01 PM,F,134.596
5/7/20 2:20:01 PM,F,136.38
5/7/20 3:20:01 PM,F,128.346
5/7/20 4:20:01 PM,F,103.291
5/7/20 5:20:01 PM,F,87.135
5/7/20 6:20:01 PM,F,78.142
5/7/20 7:20:01 PM,F,69.138
5/7/20 8:20:01 PM,F,61.024
5/7/20 9:20:01 PM,F,57.414
5/7/20 10:20:01 PM,F,54.706
5/7/20 11:20:01 PM,F,52.9
5/8/20 12:20:01 AM,F,54.706
5/8/20 1:20:01 AM,F,55.609
5/8/20 2:20:01 AM,F,52.9
5/8/20 3:20:01 AM,F,52.9
5/8/20 4:20:01 AM,F,50.189
5/8/20 5:20:01 AM,F,50.189
5/8/20 6:20:01 AM,F,50.189
5/8/20 7:20:01 AM,F,66.434
5/8/20 8:20:01 AM,F,84.439
5/8/20 9:20:01 AM,F,104.188
5/8/20 10:20:01 AM,F,118.515
5/8/20 11:20:01 AM,F,125.667
5/8/20 12:20:01 PM,F,122.985
5/8/20 1:20:01 PM,F,119.409
5/8/20 2:20:01 PM,F,118.515
5/8/20 3:20:01 PM,F,118.515
5/8/20 4:20:01 PM,F,100.601
5/8/20 5:20:01 PM,F,88.034
5/8/20 6:20:01 PM,F,73.642
5/8/20 7:20:01 PM,F,68.237
5/8/20 8:20:01 PM,F,60.121
5/8/20 9:20:01 PM,F,56.511
5/8/20 10:20:01 PM,F,51.996
5/8/20 11:20:01 PM,F,48.382
5/9/20 12:20:01 AM,F,46.574
5/9/20 1:20:01 AM,F,46.574
5/9/20 2:20:01 AM,F,50.189
5/9/20 3:20:01 AM,F,49.286
5/9/20 4:20:01 AM,F,45.67
5/9/20 5:20:01 AM,F,44.766
5/9/20 6:20:01 AM,F,44.766
5/9/20 7:20:01 AM,F,61.926
5/9/20 8:20:01 AM,F,81.741
5/9/20 9:20:01 AM,F,102.395
5/9/20 10:20:01 AM,F,115.831
5/9/20 11:20:01 AM,F,117.62
5/9/20 12:20:01 PM,F,113.146
5/9/20 1:20:01 PM,F,115.831
5/9/20 2:20:01 PM,F,111.355
5/9/20 3:20:01 PM,F,106.876
5/9/20 4:20:01 PM,F,99.704
5/9/20 5:20:01 PM,F,87.135
