1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 480000006D9ED241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 19 01:45:01 PDT 2020
Total Mission Samples:  6685
Total Device Samples:  15505
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/19/20 1:45:01 AM,F,49.328
5/19/20 2:45:01 AM,F,43.919
5/19/20 3:45:01 AM,F,49.328
5/19/20 4:45:01 AM,F,45.722
5/19/20 5:45:01 AM,F,43.018
5/19/20 6:45:01 AM,F,48.427
5/19/20 7:45:01 AM,F,78.15
5/19/20 8:45:01 AM,F,91.645
5/19/20 9:45:01 AM,F,109.624
5/19/20 10:45:01 AM,F,113.218
5/19/20 11:45:01 AM,F,132.973
5/19/20 12:45:01 PM,F,88.047
5/19/20 1:45:01 PM,F,99.738
5/19/20 2:45:01 PM,F,88.947
5/19/20 3:45:01 PM,F,74.549
5/19/20 4:45:01 PM,F,82.649
5/19/20 5:45:01 PM,F,68.247
5/19/20 6:45:01 PM,F,60.141
5/19/20 7:45:01 PM,F,54.735
5/19/20 8:45:01 PM,F,48.427
5/19/20 9:45:01 PM,F,45.722
5/19/20 10:45:01 PM,F,43.919
5/19/20 11:45:01 PM,F,43.919
5/20/20 12:45:01 AM,F,41.214
5/20/20 1:45:01 AM,F,42.116
5/20/20 2:45:01 AM,F,38.509
5/20/20 3:45:01 AM,F,39.411
5/20/20 4:45:01 AM,F,38.509
5/20/20 5:45:01 AM,F,37.607
5/20/20 6:45:01 AM,F,41.214
5/20/20 7:45:01 AM,F,81.749
5/20/20 8:45:01 AM,F,99.738
5/20/20 9:45:01 AM,F,113.218
5/20/20 10:45:01 AM,F,123.996
5/20/20 11:45:01 AM,F,115.015
5/20/20 12:45:01 PM,F,112.32
5/20/20 1:45:01 PM,F,110.523
5/20/20 2:45:01 PM,F,113.218
5/20/20 3:45:01 PM,F,107.827
5/20/20 4:45:01 PM,F,92.544
5/20/20 5:45:01 PM,F,75.449
5/20/20 6:45:01 PM,F,67.347
5/20/20 7:45:01 PM,F,60.141
5/20/20 8:45:01 PM,F,55.636
5/20/20 9:45:01 PM,F,53.834
5/20/20 10:45:01 PM,F,51.131
5/20/20 11:45:01 PM,F,46.624
5/21/20 12:45:01 AM,F,43.919
5/21/20 1:45:01 AM,F,43.919
5/21/20 2:45:01 AM,F,52.032
5/21/20 3:45:01 AM,F,48.427
5/21/20 4:45:01 AM,F,51.131
5/21/20 5:45:01 AM,F,49.328
5/21/20 6:45:01 AM,F,52.032
5/21/20 7:45:01 AM,F,89.846
5/21/20 8:45:01 AM,F,107.827
5/21/20 9:45:01 AM,F,114.117
5/21/20 10:45:01 AM,F,121.302
5/21/20 11:45:01 AM,F,124.894
5/21/20 12:45:01 PM,F,123.098
5/21/20 1:45:01 PM,F,123.098
5/21/20 2:45:01 PM,F,122.2
5/21/20 3:45:01 PM,F,114.117
5/21/20 4:45:01 PM,F,97.94
5/21/20 5:45:01 PM,F,82.649
5/21/20 6:45:01 PM,F,73.649
5/21/20 7:45:01 PM,F,68.247
5/21/20 8:45:01 PM,F,61.042
5/21/20 9:45:01 PM,F,55.636
5/21/20 10:45:01 PM,F,53.834
5/21/20 11:45:01 PM,F,52.032
5/22/20 12:45:01 AM,F,49.328
5/22/20 1:45:01 AM,F,48.427
5/22/20 2:45:01 AM,F,46.624
5/22/20 3:45:01 AM,F,45.722
5/22/20 4:45:01 AM,F,43.919
5/22/20 5:45:01 AM,F,43.018
5/22/20 6:45:01 AM,F,46.624
5/22/20 7:45:01 AM,F,85.348
5/22/20 8:45:01 AM,F,102.435
5/22/20 9:45:01 AM,F,119.506
5/22/20 10:45:01 AM,F,126.689
5/22/20 11:45:01 AM,F,129.382
5/22/20 12:45:01 PM,F,115.913
5/22/20 1:45:01 PM,F,114.117
5/22/20 2:45:01 PM,F,109.624
5/22/20 3:45:01 PM,F,108.726
5/22/20 4:45:01 PM,F,89.846
5/22/20 5:45:01 PM,F,76.35
5/22/20 6:45:01 PM,F,70.948
5/22/20 7:45:01 PM,F,62.844
5/22/20 8:45:01 PM,F,58.339
5/22/20 9:45:01 PM,F,53.834
5/22/20 10:45:01 PM,F,51.131
5/22/20 11:45:01 PM,F,49.328
