1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 21:45:01 PDT 2020
Total Mission Samples:  6345
Total Device Samples:  14001
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 9:45:01 PM,F,68.314
5/4/20 10:45:01 PM,F,67.412
5/4/20 11:45:01 PM,F,55.684
5/5/20 12:45:01 AM,F,53.878
5/5/20 1:45:01 AM,F,50.264
5/5/20 2:45:01 AM,F,50.264
5/5/20 3:45:01 AM,F,49.36
5/5/20 4:45:01 AM,F,54.781
5/5/20 5:45:01 AM,F,50.264
5/5/20 6:45:01 AM,F,52.974
5/5/20 7:45:01 AM,F,87.213
5/5/20 8:45:01 AM,F,104.265
5/5/20 9:45:01 AM,F,115.906
5/5/20 10:45:01 AM,F,123.06
5/5/20 11:45:01 AM,F,121.272
5/5/20 12:45:01 PM,F,115.906
5/5/20 1:45:01 PM,F,115.011
5/5/20 2:45:01 PM,F,109.64
5/5/20 3:45:01 PM,F,108.745
5/5/20 4:45:01 PM,F,100.679
5/5/20 5:45:01 PM,F,82.718
5/5/20 6:45:01 PM,F,77.32
5/5/20 7:45:01 PM,F,66.511
5/5/20 8:45:01 PM,F,71.918
5/5/20 9:45:01 PM,F,70.116
5/5/20 10:45:01 PM,F,71.017
5/5/20 11:45:01 PM,F,71.017
5/6/20 12:45:01 AM,F,70.116
5/6/20 1:45:01 AM,F,69.215
5/6/20 2:45:01 AM,F,67.412
5/6/20 3:45:01 AM,F,67.412
5/6/20 4:45:01 AM,F,66.511
5/6/20 5:45:01 AM,F,66.511
5/6/20 6:45:01 AM,F,64.708
5/6/20 7:45:01 AM,F,92.602
5/6/20 8:45:01 AM,F,100.679
5/6/20 9:45:01 AM,F,115.011
5/6/20 10:45:01 AM,F,117.695
5/6/20 11:45:01 AM,F,113.222
5/6/20 12:45:01 PM,F,109.64
5/6/20 1:45:01 PM,F,103.368
5/6/20 2:45:01 PM,F,109.64
5/6/20 3:45:01 PM,F,107.849
5/6/20 4:45:01 PM,F,96.193
5/6/20 5:45:01 PM,F,82.718
5/6/20 6:45:01 PM,F,80.019
5/6/20 7:45:01 PM,F,76.42
5/6/20 8:45:01 PM,F,72.818
5/6/20 9:45:01 PM,F,72.818
5/6/20 10:45:01 PM,F,71.017
5/6/20 11:45:01 PM,F,64.708
5/7/20 12:45:01 AM,F,67.412
5/7/20 1:45:01 AM,F,68.314
5/7/20 2:45:01 AM,F,69.215
5/7/20 3:45:01 AM,F,61.1
5/7/20 4:45:01 AM,F,53.878
5/7/20 5:45:01 AM,F,56.587
5/7/20 6:45:01 AM,F,61.1
5/7/20 7:45:01 AM,F,88.111
5/7/20 8:45:01 AM,F,102.472
5/7/20 9:45:01 AM,F,113.222
5/7/20 10:45:01 AM,F,126.633
5/7/20 11:45:01 AM,F,117.695
5/7/20 12:45:01 PM,F,119.484
5/7/20 1:45:01 PM,F,115.906
5/7/20 2:45:01 PM,F,114.117
5/7/20 3:45:01 PM,F,111.431
5/7/20 4:45:01 PM,F,91.704
5/7/20 5:45:01 PM,F,81.819
5/7/20 6:45:01 PM,F,77.32
5/7/20 7:45:01 PM,F,70.116
5/7/20 8:45:01 PM,F,62.002
5/7/20 9:45:01 PM,F,57.49
5/7/20 10:45:01 PM,F,56.587
5/7/20 11:45:01 PM,F,59.295
5/8/20 12:45:01 AM,F,55.684
5/8/20 1:45:01 AM,F,52.974
5/8/20 2:45:01 AM,F,52.974
5/8/20 3:45:01 AM,F,52.974
5/8/20 4:45:01 AM,F,49.36
5/8/20 5:45:01 AM,F,49.36
5/8/20 6:45:01 AM,F,52.071
5/8/20 7:45:01 AM,F,83.617
5/8/20 8:45:01 AM,F,101.575
5/8/20 9:45:01 AM,F,113.222
5/8/20 10:45:01 AM,F,118.59
5/8/20 11:45:01 AM,F,116.801
5/8/20 12:45:01 PM,F,111.431
5/8/20 1:45:01 PM,F,110.536
5/8/20 2:45:01 PM,F,110.536
5/8/20 3:45:01 PM,F,105.161
5/8/20 4:45:01 PM,F,96.193
5/8/20 5:45:01 PM,F,80.019
5/8/20 6:45:01 PM,F,73.719
5/8/20 7:45:01 PM,F,68.314
5/8/20 8:45:01 PM,F,60.197
5/8/20 9:45:01 PM,F,54.781
5/8/20 10:45:01 PM,F,52.071
5/8/20 11:45:01 PM,F,50.264
5/9/20 12:45:01 AM,F,48.456
5/9/20 1:45:01 AM,F,48.456
5/9/20 2:45:01 AM,F,50.264
5/9/20 3:45:01 AM,F,47.552
5/9/20 4:45:01 AM,F,48.456
5/9/20 5:45:01 AM,F,45.744
5/9/20 6:45:01 AM,F,49.36
5/9/20 7:45:01 AM,F,77.32
5/9/20 8:45:01 AM,F,99.782
5/9/20 9:45:01 AM,F,110.536
5/9/20 10:45:01 AM,F,111.431
5/9/20 11:45:01 AM,F,106.057
5/9/20 12:45:01 PM,F,102.472
5/9/20 1:45:01 PM,F,101.575
5/9/20 2:45:01 PM,F,103.368
5/9/20 3:45:01 PM,F,104.265
5/9/20 4:45:01 PM,F,97.09
5/9/20 5:45:01 PM,F,78.22
5/9/20 6:45:01 PM,F,71.918
5/9/20 7:45:01 PM,F,64.708
5/9/20 8:45:01 PM,F,60.197
5/9/20 9:45:01 PM,F,53.878
5/9/20 10:45:01 PM,F,51.167
5/9/20 11:45:01 PM,F,52.071
5/10/20 12:45:01 AM,F,48.456
5/10/20 1:45:01 AM,F,48.456
5/10/20 2:45:01 AM,F,48.456
5/10/20 3:45:01 AM,F,44.839
5/10/20 4:45:01 AM,F,44.839
5/10/20 5:45:01 AM,F,44.839
5/10/20 6:45:01 AM,F,48.456
5/10/20 7:45:01 AM,F,72.818
5/10/20 8:45:01 AM,F,84.516
5/10/20 9:45:01 AM,F,97.09
5/10/20 10:45:01 AM,F,106.057
5/10/20 11:45:01 AM,F,106.057
5/10/20 12:45:01 PM,F,103.368
5/10/20 1:45:01 PM,F,99.782
5/10/20 2:45:01 PM,F,97.09
5/10/20 3:45:01 PM,F,94.398
5/10/20 4:45:01 PM,F,89.01
5/10/20 5:45:01 PM,F,68.314
5/10/20 6:45:01 PM,F,63.806
5/10/20 7:45:01 PM,F,59.295
5/10/20 8:45:01 PM,F,57.49
5/10/20 9:45:01 PM,F,54.781
5/10/20 10:45:01 PM,F,56.587
5/10/20 11:45:01 PM,F,58.392
5/11/20 12:45:01 AM,F,58.392
5/11/20 1:45:01 AM,F,58.392
5/11/20 2:45:01 AM,F,58.392
5/11/20 3:45:01 AM,F,57.49
5/11/20 4:45:01 AM,F,57.49
5/11/20 5:45:01 AM,F,57.49
5/11/20 6:45:01 AM,F,59.295
5/11/20 7:45:01 AM,F,66.511
5/11/20 8:45:01 AM,F,74.619
5/11/20 9:45:01 AM,F,97.988
5/11/20 10:45:01 AM,F,97.988
5/11/20 11:45:01 AM,F,97.09
5/11/20 12:45:01 PM,F,98.885
5/11/20 1:45:01 PM,F,95.296
5/11/20 2:45:01 PM,F,94.398
5/11/20 3:45:01 PM,F,90.806
5/11/20 4:45:01 PM,F,84.516
