1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000069B5FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:10:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon May 04 20:10:01 PDT 2020
Total Mission Samples:  4675
Total Device Samples:  11213
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/4/20 8:10:01 PM,F,70.836
5/4/20 9:10:01 PM,F,69.035
5/4/20 10:10:01 PM,F,68.135
5/4/20 11:10:01 PM,F,66.333
5/5/20 12:10:01 AM,F,53.719
5/5/20 1:10:01 AM,F,51.917
5/5/20 2:10:01 AM,F,50.113
5/5/20 3:10:01 AM,F,61.83
5/5/20 4:10:01 AM,F,51.015
5/5/20 5:10:01 AM,F,51.917
5/5/20 6:10:01 AM,F,50.113
5/5/20 7:10:01 AM,F,65.433
5/5/20 8:10:01 AM,F,85.235
5/5/20 9:10:01 AM,F,102.315
5/5/20 10:10:01 AM,F,110.399
5/5/20 11:10:01 AM,F,115.786
5/5/20 12:10:01 PM,F,117.582
5/5/20 1:10:01 PM,F,116.684
5/5/20 2:10:01 PM,F,119.377
5/5/20 3:10:01 PM,F,110.399
5/5/20 4:10:01 PM,F,105.011
5/5/20 5:10:01 PM,F,96.025
5/5/20 6:10:01 PM,F,79.837
5/5/20 7:10:01 PM,F,75.337
5/5/20 8:10:01 PM,F,69.936
5/5/20 9:10:01 PM,F,72.637
5/5/20 10:10:01 PM,F,70.836
5/5/20 11:10:01 PM,F,69.936
5/6/20 12:10:01 AM,F,70.836
5/6/20 1:10:01 AM,F,70.836
5/6/20 2:10:01 AM,F,69.035
5/6/20 3:10:01 AM,F,68.135
5/6/20 4:10:01 AM,F,67.234
5/6/20 5:10:01 AM,F,66.333
5/6/20 6:10:01 AM,F,65.433
5/6/20 7:10:01 AM,F,69.936
5/6/20 8:10:01 AM,F,93.328
5/6/20 9:10:01 AM,F,101.417
5/6/20 10:10:01 AM,F,105.909
5/6/20 11:10:01 AM,F,107.705
5/6/20 12:10:01 PM,F,110.399
5/6/20 1:10:01 PM,F,107.705
5/6/20 2:10:01 PM,F,107.705
5/6/20 3:10:01 PM,F,107.705
5/6/20 4:10:01 PM,F,102.315
5/6/20 5:10:01 PM,F,90.631
5/6/20 6:10:01 PM,F,81.636
5/6/20 7:10:01 PM,F,78.937
5/6/20 8:10:01 PM,F,75.337
5/6/20 9:10:01 PM,F,72.637
5/6/20 10:10:01 PM,F,71.736
5/6/20 11:10:01 PM,F,69.035
5/7/20 12:10:01 AM,F,62.731
5/7/20 1:10:01 AM,F,67.234
5/7/20 2:10:01 AM,F,68.135
5/7/20 3:10:01 AM,F,69.035
5/7/20 4:10:01 AM,F,53.719
5/7/20 5:10:01 AM,F,56.423
5/7/20 6:10:01 AM,F,56.423
5/7/20 7:10:01 AM,F,69.035
5/7/20 8:10:01 AM,F,94.227
5/7/20 9:10:01 AM,F,98.721
5/7/20 10:10:01 AM,F,111.297
5/7/20 11:10:01 AM,F,117.582
5/7/20 12:10:01 PM,F,113.991
5/7/20 1:10:01 PM,F,118.479
5/7/20 2:10:01 PM,F,124.76
5/7/20 3:10:01 PM,F,119.377
5/7/20 4:10:01 PM,F,96.025
5/7/20 5:10:01 PM,F,91.53
5/7/20 6:10:01 PM,F,79.837
5/7/20 7:10:01 PM,F,74.437
5/7/20 8:10:01 PM,F,67.234
5/7/20 9:10:01 PM,F,57.324
5/7/20 10:10:01 PM,F,56.423
5/7/20 11:10:01 PM,F,58.226
5/8/20 12:10:01 AM,F,53.719
5/8/20 1:10:01 AM,F,51.917
5/8/20 2:10:01 AM,F,50.113
5/8/20 3:10:01 AM,F,49.212
5/8/20 4:10:01 AM,F,48.31
5/8/20 5:10:01 AM,F,48.31
5/8/20 6:10:01 AM,F,48.31
5/8/20 7:10:01 AM,F,69.936
5/8/20 8:10:01 AM,F,96.025
5/8/20 9:10:01 AM,F,110.399
5/8/20 10:10:01 AM,F,121.171
5/8/20 11:10:01 AM,F,122.966
5/8/20 12:10:01 PM,F,115.786
5/8/20 1:10:01 PM,F,110.399
5/8/20 2:10:01 PM,F,109.501
5/8/20 3:10:01 PM,F,111.297
5/8/20 4:10:01 PM,F,99.62
5/8/20 5:10:01 PM,F,89.732
