1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 54000000697C5A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:16:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 22:16:01 PDT 2020
Total Mission Samples:  7485
Total Device Samples:  14015
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 10:16:01 PM,%RH,82.64
8/29/20, 11:16:01 PM,%RH,79.653
8/30/20, 12:16:01 AM,%RH,85.29
8/30/20, 1:16:01 AM,%RH,87.821
8/30/20, 2:16:01 AM,%RH,85.221
8/30/20, 3:16:01 AM,%RH,84.63
8/30/20, 4:16:01 AM,%RH,85.221
8/30/20, 5:16:01 AM,%RH,89.109
8/30/20, 6:16:01 AM,%RH,90.45
8/30/20, 7:16:01 AM,%RH,86.631
8/30/20, 8:16:01 AM,%RH,43.048
8/30/20, 9:16:01 AM,%RH,18.974
8/30/20, 10:16:01 AM,%RH,13.254
8/30/20, 11:16:01 AM,%RH,11.877
8/30/20, 12:16:01 PM,%RH,15.754
8/30/20, 1:16:01 PM,%RH,15.302
8/30/20, 2:16:01 PM,%RH,15.945
8/30/20, 3:16:01 PM,%RH,17.637
8/30/20, 4:16:01 PM,%RH,22.158
8/30/20, 5:16:01 PM,%RH,36.294
8/30/20, 6:16:01 PM,%RH,45.747
8/30/20, 7:16:01 PM,%RH,58.598
8/30/20, 8:16:01 PM,%RH,70.877
8/30/20, 9:16:01 PM,%RH,78.231
8/30/20, 10:16:01 PM,%RH,80.432
8/30/20, 11:16:01 PM,%RH,83.027
8/31/20, 12:16:01 AM,%RH,80.193
8/31/20, 1:16:01 AM,%RH,85.744
8/31/20, 2:16:01 AM,%RH,89.872
8/31/20, 3:16:01 AM,%RH,87.304
8/31/20, 4:16:01 AM,%RH,91.143
8/31/20, 5:16:01 AM,%RH,92.652
8/31/20, 6:16:01 AM,%RH,92.488
8/31/20, 7:16:01 AM,%RH,90.192
8/31/20, 8:16:01 AM,%RH,32.769
8/31/20, 9:16:01 AM,%RH,19.953
8/31/20, 10:16:01 AM,%RH,15.349
8/31/20, 11:16:01 AM,%RH,16.727
8/31/20, 12:16:01 PM,%RH,16.435
8/31/20, 1:16:01 PM,%RH,18.767
8/31/20, 2:16:01 PM,%RH,15.163
8/31/20, 3:16:01 PM,%RH,14.833
8/31/20, 4:16:01 PM,%RH,19.376
8/31/20, 5:16:01 PM,%RH,40.866
8/31/20, 6:16:01 PM,%RH,50.793
8/31/20, 7:16:01 PM,%RH,63.399
8/31/20, 8:16:01 PM,%RH,75.464
8/31/20, 9:16:01 PM,%RH,78.778
8/31/20, 10:16:01 PM,%RH,84.825
8/31/20, 11:16:01 PM,%RH,86.189
9/1/20, 12:16:01 AM,%RH,85.587
9/1/20, 1:16:01 AM,%RH,83.931
9/1/20, 2:16:01 AM,%RH,88.047
9/1/20, 3:16:01 AM,%RH,89.637
9/1/20, 4:16:01 AM,%RH,92.776
