1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 460000006D9ACF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:44:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 30 20:44:01 PDT 2020
Total Mission Samples:  9176
Total Device Samples:  17973
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/30/20, 8:44:01 PM,%RH,85.267
8/30/20, 9:44:01 PM,%RH,92.138
8/30/20, 10:44:01 PM,%RH,94.169
8/30/20, 11:44:01 PM,%RH,97.959
8/31/20, 12:44:01 AM,%RH,98.786
8/31/20, 1:44:01 AM,%RH,99.684
8/31/20, 2:44:01 AM,%RH,99.136
8/31/20, 3:44:01 AM,%RH,99.555
8/31/20, 4:44:01 AM,%RH,100.396
8/31/20, 5:44:01 AM,%RH,100.288
8/31/20, 6:44:01 AM,%RH,101.718
8/31/20, 7:44:01 AM,%RH,63.398
8/31/20, 8:44:01 AM,%RH,37.23
8/31/20, 9:44:01 AM,%RH,29.966
8/31/20, 10:44:01 AM,%RH,24.942
8/31/20, 11:44:01 AM,%RH,22.374
8/31/20, 12:44:01 PM,%RH,23.607
8/31/20, 1:44:01 PM,%RH,24.248
8/31/20, 2:44:01 PM,%RH,23.276
8/31/20, 3:44:01 PM,%RH,23.586
8/31/20, 4:44:01 PM,%RH,34.7
8/31/20, 5:44:01 PM,%RH,46.067
8/31/20, 6:44:01 PM,%RH,59.323
8/31/20, 7:44:01 PM,%RH,74.303
8/31/20, 8:44:01 PM,%RH,86.869
8/31/20, 9:44:01 PM,%RH,95.239
8/31/20, 10:44:01 PM,%RH,96.233
8/31/20, 11:44:01 PM,%RH,97.959
9/1/20, 12:44:01 AM,%RH,100.782
9/1/20, 1:44:01 AM,%RH,100.611
9/1/20, 2:44:01 AM,%RH,100.214
9/1/20, 3:44:01 AM,%RH,100.214
9/1/20, 4:44:01 AM,%RH,99.248
9/1/20, 5:44:01 AM,%RH,99.649
9/1/20, 6:44:01 AM,%RH,98.521
9/1/20, 7:44:01 AM,%RH,79.899
9/1/20, 8:44:01 AM,%RH,44.899
9/1/20, 9:44:01 AM,%RH,38.346
9/1/20, 10:44:01 AM,%RH,32.112
9/1/20, 11:44:01 AM,%RH,28.331
9/1/20, 12:44:01 PM,%RH,28.214
9/1/20, 1:44:01 PM,%RH,28.839
9/1/20, 2:44:01 PM,%RH,27.299
9/1/20, 3:44:01 PM,%RH,34.204
9/1/20, 4:44:01 PM,%RH,39.14
9/1/20, 5:44:01 PM,%RH,47.969
9/1/20, 6:44:01 PM,%RH,58.156
9/1/20, 7:44:01 PM,%RH,71.478
9/1/20, 8:44:01 PM,%RH,82.021
9/1/20, 9:44:01 PM,%RH,90.046
9/1/20, 10:44:01 PM,%RH,95.739
9/1/20, 11:44:01 PM,%RH,97.058
9/2/20, 12:44:01 AM,%RH,99.006
9/2/20, 1:44:01 AM,%RH,100.855
9/2/20, 2:44:01 AM,%RH,100.232
9/2/20, 3:44:01 AM,%RH,99.202
9/2/20, 4:44:01 AM,%RH,101.121
9/2/20, 5:44:01 AM,%RH,100.578
9/2/20, 6:44:01 AM,%RH,101.055
9/2/20, 7:44:01 AM,%RH,66.389
9/2/20, 8:44:01 AM,%RH,38.055
9/2/20, 9:44:01 AM,%RH,26.785
9/2/20, 10:44:01 AM,%RH,24.473
9/2/20, 11:44:01 AM,%RH,21.128
9/2/20, 12:44:01 PM,%RH,18.949
9/2/20, 1:44:01 PM,%RH,23.552
9/2/20, 2:44:01 PM,%RH,29.462
9/2/20, 3:44:01 PM,%RH,38.883
9/2/20, 4:44:01 PM,%RH,46.865
9/2/20, 5:44:01 PM,%RH,51.057
9/2/20, 6:44:01 PM,%RH,58.201
9/2/20, 7:44:01 PM,%RH,66.902
9/2/20, 8:44:01 PM,%RH,78.191
9/2/20, 9:44:01 PM,%RH,86.333
9/2/20, 10:44:01 PM,%RH,90.57
9/2/20, 11:44:01 PM,%RH,89.781
9/3/20, 12:44:01 AM,%RH,92.746
9/3/20, 1:44:01 AM,%RH,94.169
9/3/20, 2:44:01 AM,%RH,94.589
9/3/20, 3:44:01 AM,%RH,95.01
9/3/20, 4:44:01 AM,%RH,97.398
9/3/20, 5:44:01 AM,%RH,98.372
9/3/20, 6:44:01 AM,%RH,98.301
9/3/20, 7:44:01 AM,%RH,63.476
9/3/20, 8:44:01 AM,%RH,36.251
9/3/20, 9:44:01 AM,%RH,29.639
9/3/20, 10:44:01 AM,%RH,24.001
9/3/20, 11:44:01 AM,%RH,22.65
9/3/20, 12:44:01 PM,%RH,22.595
9/3/20, 1:44:01 PM,%RH,23.831
9/3/20, 2:44:01 PM,%RH,27.645
9/3/20, 3:44:01 PM,%RH,35.824
9/3/20, 4:44:01 PM,%RH,43.957
9/3/20, 5:44:01 PM,%RH,47.555
9/3/20, 6:44:01 PM,%RH,55.391
9/3/20, 7:44:01 PM,%RH,69.304
9/3/20, 8:44:01 PM,%RH,77.146
9/3/20, 9:44:01 PM,%RH,83.671
9/3/20, 10:44:01 PM,%RH,85.806
9/3/20, 11:44:01 PM,%RH,89.523
