1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A00000069B6B141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:17:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 21:17:01 PDT 2020
Total Mission Samples:  7484
Total Device Samples:  13991
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 9:17:01 PM,%RH,84.223
8/29/20, 10:17:01 PM,%RH,93.838
8/29/20, 11:17:01 PM,%RH,96.208
8/30/20, 12:17:01 AM,%RH,98.517
8/30/20, 1:17:01 AM,%RH,102.158
8/30/20, 2:17:01 AM,%RH,100.944
8/30/20, 3:17:01 AM,%RH,100.233
8/30/20, 4:17:01 AM,%RH,100.278
8/30/20, 5:17:01 AM,%RH,102.893
8/30/20, 6:17:01 AM,%RH,106.073
8/30/20, 7:17:01 AM,%RH,104.2
8/30/20, 8:17:01 AM,%RH,51.208
8/30/20, 9:17:01 AM,%RH,27.525
8/30/20, 10:17:01 AM,%RH,19.088
8/30/20, 11:17:01 AM,%RH,17.842
8/30/20, 12:17:01 PM,%RH,19.14
8/30/20, 1:17:01 PM,%RH,19.348
8/30/20, 2:17:01 PM,%RH,19.81
8/30/20, 3:17:01 PM,%RH,23.603
8/30/20, 4:17:01 PM,%RH,27.413
8/30/20, 5:17:01 PM,%RH,35.161
8/30/20, 6:17:01 PM,%RH,45.968
8/30/20, 7:17:01 PM,%RH,60.57
8/30/20, 8:17:01 PM,%RH,79.901
8/30/20, 9:17:01 PM,%RH,93.504
8/30/20, 10:17:01 PM,%RH,92.228
8/30/20, 11:17:01 PM,%RH,94.045
8/31/20, 12:17:01 AM,%RH,96.74
8/31/20, 1:17:01 AM,%RH,99.863
8/31/20, 2:17:01 AM,%RH,101.702
8/31/20, 3:17:01 AM,%RH,100.786
8/31/20, 4:17:01 AM,%RH,102.974
8/31/20, 5:17:01 AM,%RH,104.688
8/31/20, 6:17:01 AM,%RH,103.275
8/31/20, 7:17:01 AM,%RH,68.236
8/31/20, 8:17:01 AM,%RH,36.556
8/31/20, 9:17:01 AM,%RH,29.023
8/31/20, 10:17:01 AM,%RH,21.91
8/31/20, 11:17:01 AM,%RH,22.018
8/31/20, 12:17:01 PM,%RH,21.91
8/31/20, 1:17:01 PM,%RH,20.126
8/31/20, 2:17:01 PM,%RH,19.036
8/31/20, 3:17:01 PM,%RH,18.725
8/31/20, 4:17:01 PM,%RH,24.681
8/31/20, 5:17:01 PM,%RH,39.767
8/31/20, 6:17:01 PM,%RH,50.331
8/31/20, 7:17:01 PM,%RH,65.308
8/31/20, 8:17:01 PM,%RH,82.642
8/31/20, 9:17:01 PM,%RH,91.539
8/31/20, 10:17:01 PM,%RH,101.554
8/31/20, 11:17:01 PM,%RH,103.15
9/1/20, 12:17:01 AM,%RH,103.012
9/1/20, 1:17:01 AM,%RH,99.615
9/1/20, 2:17:01 AM,%RH,103.458
9/1/20, 3:17:01 AM,%RH,103.993
9/1/20, 4:17:01 AM,%RH,105.699
9/1/20, 5:17:01 AM,%RH,105.983
9/1/20, 6:17:01 AM,%RH,105.834
9/1/20, 7:17:01 AM,%RH,106.502
9/1/20, 8:17:01 AM,%RH,52.986
9/1/20, 9:17:01 AM,%RH,33.759
9/1/20, 10:17:01 AM,%RH,29.371
9/1/20, 11:17:01 AM,%RH,25.996
9/1/20, 12:17:01 PM,%RH,25.292
9/1/20, 1:17:01 PM,%RH,24.047
9/1/20, 2:17:01 PM,%RH,24.531
9/1/20, 3:17:01 PM,%RH,24.901
9/1/20, 4:17:01 PM,%RH,34.034
9/1/20, 5:17:01 PM,%RH,41.083
9/1/20, 6:17:01 PM,%RH,51.009
9/1/20, 7:17:01 PM,%RH,63.565
9/1/20, 8:17:01 PM,%RH,81.59
9/1/20, 9:17:01 PM,%RH,90.01
9/1/20, 10:17:01 PM,%RH,95.845
9/1/20, 11:17:01 PM,%RH,93.694
9/2/20, 12:17:01 AM,%RH,99.872
9/2/20, 1:17:01 AM,%RH,100.729
9/2/20, 2:17:01 AM,%RH,99.15
9/2/20, 3:17:01 AM,%RH,103.564
9/2/20, 4:17:01 AM,%RH,104.013
9/2/20, 5:17:01 AM,%RH,104.064
9/2/20, 6:17:01 AM,%RH,104.905
9/2/20, 7:17:01 AM,%RH,76.209
9/2/20, 8:17:01 AM,%RH,37.334
9/2/20, 9:17:01 AM,%RH,27.694
9/2/20, 10:17:01 AM,%RH,22.679
9/2/20, 11:17:01 AM,%RH,18.826
9/2/20, 12:17:01 PM,%RH,17.262
9/2/20, 1:17:01 PM,%RH,17.262
9/2/20, 2:17:01 PM,%RH,21.855
9/2/20, 3:17:01 PM,%RH,29.77
9/2/20, 4:17:01 PM,%RH,38.057
9/2/20, 5:17:01 PM,%RH,45.529
9/2/20, 6:17:01 PM,%RH,53.513
9/2/20, 7:17:01 PM,%RH,61.849
9/2/20, 8:17:01 PM,%RH,74.423
9/2/20, 9:17:01 PM,%RH,84.775
9/2/20, 10:17:01 PM,%RH,87.958
9/2/20, 11:17:01 PM,%RH,91.88
9/3/20, 12:17:01 AM,%RH,91.736
9/3/20, 1:17:01 AM,%RH,95.145
9/3/20, 2:17:01 AM,%RH,96.036
9/3/20, 3:17:01 AM,%RH,95.907
9/3/20, 4:17:01 AM,%RH,98.215
9/3/20, 5:17:01 AM,%RH,98.744
9/3/20, 6:17:01 AM,%RH,101.917
9/3/20, 7:17:01 AM,%RH,86.468
9/3/20, 8:17:01 AM,%RH,34.822
9/3/20, 9:17:01 AM,%RH,28.676
9/3/20, 10:17:01 AM,%RH,23.615
9/3/20, 11:17:01 AM,%RH,21.011
9/3/20, 12:17:01 PM,%RH,17.411
9/3/20, 1:17:01 PM,%RH,18.347
9/3/20, 2:17:01 PM,%RH,23.503
9/3/20, 3:17:01 PM,%RH,27.283
9/3/20, 4:17:01 PM,%RH,36.283
9/3/20, 5:17:01 PM,%RH,43.267
9/3/20, 6:17:01 PM,%RH,48.783
9/3/20, 7:17:01 PM,%RH,62.529
9/3/20, 8:17:01 PM,%RH,69.913
9/3/20, 9:17:01 PM,%RH,80.449
9/3/20, 10:17:01 PM,%RH,82.522
9/3/20, 11:17:01 PM,%RH,85.561
9/4/20, 12:17:01 AM,%RH,89.045
9/4/20, 1:17:01 AM,%RH,90.547
9/4/20, 2:17:01 AM,%RH,94.399
9/4/20, 3:17:01 AM,%RH,90.891
9/4/20, 4:17:01 AM,%RH,94.18
9/4/20, 5:17:01 AM,%RH,96.513
9/4/20, 6:17:01 AM,%RH,94.18
9/4/20, 7:17:01 AM,%RH,66.629
9/4/20, 8:17:01 AM,%RH,26.942
9/4/20, 9:17:01 AM,%RH,19.915
9/4/20, 10:17:01 AM,%RH,15.385
9/4/20, 11:17:01 AM,%RH,15.431
9/4/20, 12:17:01 PM,%RH,16.128
9/4/20, 1:17:01 PM,%RH,14.867
9/4/20, 2:17:01 PM,%RH,15.985
9/4/20, 3:17:01 PM,%RH,17.741
9/4/20, 4:17:01 PM,%RH,23.061
9/4/20, 5:17:01 PM,%RH,28.331
9/4/20, 6:17:01 PM,%RH,37.391
9/4/20, 7:17:01 PM,%RH,44.831
9/4/20, 8:17:01 PM,%RH,56.958
9/4/20, 9:17:01 PM,%RH,64.564
9/4/20, 10:17:01 PM,%RH,68.068
9/4/20, 11:17:01 PM,%RH,68.628
9/5/20, 12:17:01 AM,%RH,60.464
9/5/20, 1:17:01 AM,%RH,59.762
9/5/20, 2:17:01 AM,%RH,63.296
9/5/20, 3:17:01 AM,%RH,62.149
9/5/20, 4:17:01 AM,%RH,57.903
9/5/20, 5:17:01 AM,%RH,63.848
9/5/20, 6:17:01 AM,%RH,56.644
9/5/20, 7:17:01 AM,%RH,30.635
9/5/20, 8:17:01 AM,%RH,19.088
9/5/20, 9:17:01 AM,%RH,15.338
9/5/20, 10:17:01 AM,%RH,12.729
9/5/20, 11:17:01 AM,%RH,8.518
9/5/20, 12:17:01 PM,%RH,8.577
9/5/20, 1:17:01 PM,%RH,7.785
9/5/20, 2:17:01 PM,%RH,7.554
9/5/20, 3:17:01 PM,%RH,7.267
9/5/20, 4:17:01 PM,%RH,9.219
9/5/20, 5:17:01 PM,%RH,11.914
