1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 21:42:01 PDT 2020
Total Mission Samples:  9153
Total Device Samples:  17195
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 9:42:01 PM,%RH,30.433
8/29/20, 10:42:01 PM,%RH,96.198
8/29/20, 11:42:01 PM,%RH,101.008
8/30/20, 12:42:01 AM,%RH,102.58
8/30/20, 1:42:01 AM,%RH,103.396
8/30/20, 2:42:01 AM,%RH,103.333
8/30/20, 3:42:01 AM,%RH,102.648
8/30/20, 4:42:01 AM,%RH,103.711
8/30/20, 5:42:01 AM,%RH,103.6
8/30/20, 6:42:01 AM,%RH,103.599
8/30/20, 7:42:01 AM,%RH,109.618
8/30/20, 8:42:01 AM,%RH,58.434
8/30/20, 9:42:01 AM,%RH,31.976
8/30/20, 10:42:01 AM,%RH,26.115
8/30/20, 11:42:01 AM,%RH,25.245
8/30/20, 12:42:01 PM,%RH,27.222
8/30/20, 1:42:01 PM,%RH,26.584
8/30/20, 2:42:01 PM,%RH,26.584
8/30/20, 3:42:01 PM,%RH,27.108
8/30/20, 4:42:01 PM,%RH,34.766
8/30/20, 5:42:01 PM,%RH,44.162
8/30/20, 6:42:01 PM,%RH,52.735
8/30/20, 7:42:01 PM,%RH,69.597
8/30/20, 8:42:01 PM,%RH,83.181
8/30/20, 9:42:01 PM,%RH,90.893
8/30/20, 10:42:01 PM,%RH,95.258
8/30/20, 11:42:01 PM,%RH,98.358
8/31/20, 12:42:01 AM,%RH,100.935
8/31/20, 1:42:01 AM,%RH,102.275
8/31/20, 2:42:01 AM,%RH,104.27
8/31/20, 3:42:01 AM,%RH,103.834
8/31/20, 4:42:01 AM,%RH,103.216
8/31/20, 5:42:01 AM,%RH,104.526
8/31/20, 6:42:01 AM,%RH,104.853
8/31/20, 7:42:01 AM,%RH,84.303
8/31/20, 8:42:01 AM,%RH,45.139
8/31/20, 9:42:01 AM,%RH,35.908
8/31/20, 10:42:01 AM,%RH,29.593
8/31/20, 11:42:01 AM,%RH,26.231
8/31/20, 12:42:01 PM,%RH,29.354
8/31/20, 1:42:01 PM,%RH,27.337
8/31/20, 2:42:01 PM,%RH,23.896
8/31/20, 3:42:01 PM,%RH,23.137
8/31/20, 4:42:01 PM,%RH,32.921
8/31/20, 5:42:01 PM,%RH,46.082
8/31/20, 6:42:01 PM,%RH,59.299
8/31/20, 7:42:01 PM,%RH,72.395
8/31/20, 8:42:01 PM,%RH,83.708
8/31/20, 9:42:01 PM,%RH,93.875
8/31/20, 10:42:01 PM,%RH,95.812
8/31/20, 11:42:01 PM,%RH,98.895
9/1/20, 12:42:01 AM,%RH,101.532
9/1/20, 1:42:01 AM,%RH,103.026
9/1/20, 2:42:01 AM,%RH,102.667
9/1/20, 3:42:01 AM,%RH,103.551
9/1/20, 4:42:01 AM,%RH,103.026
