1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7A0000006D9B0D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:55:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 22:55:01 PDT 2020
Total Mission Samples:  9154
Total Device Samples:  17949
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 10:55:01 PM,%RH,89.202
8/29/20, 11:55:01 PM,%RH,84.47
8/30/20, 12:55:01 AM,%RH,85.32
8/30/20, 1:55:01 AM,%RH,88.161
8/30/20, 2:55:01 AM,%RH,86.883
8/30/20, 3:55:01 AM,%RH,93.316
8/30/20, 4:55:01 AM,%RH,91.172
8/30/20, 5:55:01 AM,%RH,92.361
8/30/20, 6:55:01 AM,%RH,94.431
8/30/20, 7:55:01 AM,%RH,81.289
8/30/20, 8:55:01 AM,%RH,35.096
8/30/20, 9:55:01 AM,%RH,23.152
8/30/20, 10:55:01 AM,%RH,17.06
8/30/20, 11:55:01 AM,%RH,15.716
8/30/20, 12:55:01 PM,%RH,17.158
8/30/20, 1:55:01 PM,%RH,16.295
8/30/20, 2:55:01 PM,%RH,16.912
8/30/20, 3:55:01 PM,%RH,18.821
8/30/20, 4:55:01 PM,%RH,30.219
8/30/20, 5:55:01 PM,%RH,42.388
8/30/20, 6:55:01 PM,%RH,53.891
8/30/20, 7:55:01 PM,%RH,70.942
8/30/20, 8:55:01 PM,%RH,80.793
8/30/20, 9:55:01 PM,%RH,87.12
8/30/20, 10:55:01 PM,%RH,90.629
8/30/20, 11:55:01 PM,%RH,87.704
8/31/20, 12:55:01 AM,%RH,88.733
8/31/20, 1:55:01 AM,%RH,89.02
8/31/20, 2:55:01 AM,%RH,89.76
8/31/20, 3:55:01 AM,%RH,88.865
8/31/20, 4:55:01 AM,%RH,89.567
8/31/20, 5:55:01 AM,%RH,90.27
8/31/20, 6:55:01 AM,%RH,90.31
8/31/20, 7:55:01 AM,%RH,44.267
8/31/20, 8:55:01 AM,%RH,31.665
8/31/20, 9:55:01 AM,%RH,27.434
8/31/20, 10:55:01 AM,%RH,23.484
8/31/20, 11:55:01 AM,%RH,19.389
8/31/20, 12:55:01 PM,%RH,19.338
8/31/20, 1:55:01 PM,%RH,16.295
8/31/20, 2:55:01 PM,%RH,13.94
8/31/20, 3:55:01 PM,%RH,15.808
8/31/20, 4:55:01 PM,%RH,30.275
8/31/20, 5:55:01 PM,%RH,44.319
8/31/20, 6:55:01 PM,%RH,60.245
8/31/20, 7:55:01 PM,%RH,72.495
8/31/20, 8:55:01 PM,%RH,81.729
8/31/20, 9:55:01 PM,%RH,88.842
8/31/20, 10:55:01 PM,%RH,91.412
8/31/20, 11:55:01 PM,%RH,92.569
9/1/20, 12:55:01 AM,%RH,93.625
9/1/20, 1:55:01 AM,%RH,93.7
9/1/20, 2:55:01 AM,%RH,92.268
9/1/20, 3:55:01 AM,%RH,90.711
9/1/20, 4:55:01 AM,%RH,90.629
9/1/20, 5:55:01 AM,%RH,91.332
9/1/20, 6:55:01 AM,%RH,90.788
9/1/20, 7:55:01 AM,%RH,62.55
9/1/20, 8:55:01 AM,%RH,38.229
9/1/20, 9:55:01 AM,%RH,32.193
9/1/20, 10:55:01 AM,%RH,27.008
9/1/20, 11:55:01 AM,%RH,21.484
9/1/20, 12:55:01 PM,%RH,20.092
9/1/20, 1:55:01 PM,%RH,18.53
9/1/20, 2:55:01 PM,%RH,17.571
9/1/20, 3:55:01 PM,%RH,25.052
9/1/20, 4:55:01 PM,%RH,32.187
9/1/20, 5:55:01 PM,%RH,46.806
9/1/20, 6:55:01 PM,%RH,56.812
9/1/20, 7:55:01 PM,%RH,70.968
9/1/20, 8:55:01 PM,%RH,77.935
9/1/20, 9:55:01 PM,%RH,83.643
9/1/20, 10:55:01 PM,%RH,88.219
9/1/20, 11:55:01 PM,%RH,87.912
9/2/20, 12:55:01 AM,%RH,92.789
9/2/20, 1:55:01 AM,%RH,93.694
9/2/20, 2:55:01 AM,%RH,90.321
9/2/20, 3:55:01 AM,%RH,90.321
9/2/20, 4:55:01 AM,%RH,90.207
9/2/20, 5:55:01 AM,%RH,90.207
9/2/20, 6:55:01 AM,%RH,89.928
9/2/20, 7:55:01 AM,%RH,50.437
9/2/20, 8:55:01 AM,%RH,31.78
9/2/20, 9:55:01 AM,%RH,24.721
9/2/20, 10:55:01 AM,%RH,20.951
9/2/20, 11:55:01 AM,%RH,17.354
9/2/20, 12:55:01 PM,%RH,11.822
9/2/20, 1:55:01 PM,%RH,15.622
9/2/20, 2:55:01 PM,%RH,20.63
9/2/20, 3:55:01 PM,%RH,28.567
9/2/20, 4:55:01 PM,%RH,40.816
9/2/20, 5:55:01 PM,%RH,49.304
9/2/20, 6:55:01 PM,%RH,57.441
9/2/20, 7:55:01 PM,%RH,65.209
9/2/20, 8:55:01 PM,%RH,76.028
9/2/20, 9:55:01 PM,%RH,76.907
9/2/20, 10:55:01 PM,%RH,79.901
9/2/20, 11:55:01 PM,%RH,82.005
9/3/20, 12:55:01 AM,%RH,81.86
9/3/20, 1:55:01 AM,%RH,83.984
9/3/20, 2:55:01 AM,%RH,86.465
9/3/20, 3:55:01 AM,%RH,85.981
9/3/20, 4:55:01 AM,%RH,87.924
9/3/20, 5:55:01 AM,%RH,87.105
9/3/20, 6:55:01 AM,%RH,87.985
9/3/20, 7:55:01 AM,%RH,49.822
9/3/20, 8:55:01 AM,%RH,31.838
9/3/20, 9:55:01 AM,%RH,27.067
9/3/20, 10:55:01 AM,%RH,21.866
9/3/20, 11:55:01 AM,%RH,16.823
9/3/20, 12:55:01 PM,%RH,17.501
9/3/20, 1:55:01 PM,%RH,17.403
9/3/20, 2:55:01 PM,%RH,18.581
9/3/20, 3:55:01 PM,%RH,28.089
9/3/20, 4:55:01 PM,%RH,38.402
9/3/20, 5:55:01 PM,%RH,44.589
9/3/20, 6:55:01 PM,%RH,54.126
9/3/20, 7:55:01 PM,%RH,66.916
9/3/20, 8:55:01 PM,%RH,71.025
9/3/20, 9:55:01 PM,%RH,74.989
9/3/20, 10:55:01 PM,%RH,78.374
9/3/20, 11:55:01 PM,%RH,79.521
9/4/20, 12:55:01 AM,%RH,81.873
9/4/20, 1:55:01 AM,%RH,80.812
9/4/20, 2:55:01 AM,%RH,84.274
9/4/20, 3:55:01 AM,%RH,83.255
9/4/20, 4:55:01 AM,%RH,83.62
9/4/20, 5:55:01 AM,%RH,83.114
9/4/20, 6:55:01 AM,%RH,82.304
9/4/20, 7:55:01 AM,%RH,36.67
9/4/20, 8:55:01 AM,%RH,24.441
9/4/20, 9:55:01 AM,%RH,17.872
9/4/20, 10:55:01 AM,%RH,16.091
9/4/20, 11:55:01 AM,%RH,12.35
9/4/20, 12:55:01 PM,%RH,14.611
9/4/20, 1:55:01 PM,%RH,11.432
9/4/20, 2:55:01 PM,%RH,13.431
9/4/20, 3:55:01 PM,%RH,17.621
9/4/20, 4:55:01 PM,%RH,23.771
9/4/20, 5:55:01 PM,%RH,34.415
9/4/20, 6:55:01 PM,%RH,41.357
9/4/20, 7:55:01 PM,%RH,52.081
9/4/20, 8:55:01 PM,%RH,60.131
9/4/20, 9:55:01 PM,%RH,61.136
9/4/20, 10:55:01 PM,%RH,63.888
9/4/20, 11:55:01 PM,%RH,68.763
9/5/20, 12:55:01 AM,%RH,58.331
9/5/20, 1:55:01 AM,%RH,58.812
9/5/20, 2:55:01 AM,%RH,63.305
9/5/20, 3:55:01 AM,%RH,64.903
9/5/20, 4:55:01 AM,%RH,63.28
9/5/20, 5:55:01 AM,%RH,59.303
9/5/20, 6:55:01 AM,%RH,54.731
9/5/20, 7:55:01 AM,%RH,29.409
9/5/20, 8:55:01 AM,%RH,17.721
9/5/20, 9:55:01 AM,%RH,13.82
9/5/20, 10:55:01 AM,%RH,13.432
9/5/20, 11:55:01 AM,%RH,9.567
9/5/20, 12:55:01 PM,%RH,7.838
