1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:54:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:54:01 PDT 2020
Total Mission Samples:  9152
Total Device Samples:  17943
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:54:01 PM,%RH,85.54
8/29/20, 9:54:01 PM,%RH,93.873
8/29/20, 10:54:01 PM,%RH,97.223
8/29/20, 11:54:01 PM,%RH,100.232
8/30/20, 12:54:01 AM,%RH,100.027
8/30/20, 1:54:01 AM,%RH,100.389
8/30/20, 2:54:01 AM,%RH,93.972
8/30/20, 3:54:01 AM,%RH,100.331
8/30/20, 4:54:01 AM,%RH,100.872
8/30/20, 5:54:01 AM,%RH,99.738
8/30/20, 6:54:01 AM,%RH,101.354
8/30/20, 7:54:01 AM,%RH,60.713
8/30/20, 8:54:01 AM,%RH,31.778
8/30/20, 9:54:01 AM,%RH,20.685
8/30/20, 10:54:01 AM,%RH,16.258
8/30/20, 11:54:01 AM,%RH,18.772
8/30/20, 12:54:01 PM,%RH,20.898
8/30/20, 1:54:01 PM,%RH,21.495
8/30/20, 2:54:01 PM,%RH,22.253
8/30/20, 3:54:01 PM,%RH,23.323
8/30/20, 4:54:01 PM,%RH,32.782
8/30/20, 5:54:01 PM,%RH,42.282
8/30/20, 6:54:01 PM,%RH,54.599
8/30/20, 7:54:01 PM,%RH,74.471
8/30/20, 8:54:01 PM,%RH,87.163
8/30/20, 9:54:01 PM,%RH,94.106
8/30/20, 10:54:01 PM,%RH,99.972
8/30/20, 11:54:01 PM,%RH,99.607
8/31/20, 12:54:01 AM,%RH,100.578
8/31/20, 1:54:01 AM,%RH,101.477
8/31/20, 2:54:01 AM,%RH,101.895
8/31/20, 3:54:01 AM,%RH,102.313
8/31/20, 4:54:01 AM,%RH,103.103
8/31/20, 5:54:01 AM,%RH,103.054
8/31/20, 6:54:01 AM,%RH,103.054
8/31/20, 7:54:01 AM,%RH,43.628
8/31/20, 8:54:01 AM,%RH,24.602
8/31/20, 9:54:01 AM,%RH,23.01
8/31/20, 10:54:01 AM,%RH,21.112
8/31/20, 11:54:01 AM,%RH,19.796
8/31/20, 12:54:01 PM,%RH,23.01
8/31/20, 1:54:01 PM,%RH,20.244
8/31/20, 2:54:01 PM,%RH,20.191
8/31/20, 3:54:01 PM,%RH,20.631
8/31/20, 4:54:01 PM,%RH,34.12
8/31/20, 5:54:01 PM,%RH,43.575
8/31/20, 6:54:01 PM,%RH,61.232
8/31/20, 7:54:01 PM,%RH,75.065
8/31/20, 8:54:01 PM,%RH,86.623
8/31/20, 9:54:01 PM,%RH,96.63
