1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000069B5FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:10:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:10:01 PDT 2020
Total Mission Samples:  7483
Total Device Samples:  14021
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:10:01 PM,%RH,75.869
8/29/20, 9:10:01 PM,%RH,91.449
8/29/20, 10:10:01 PM,%RH,96.496
8/29/20, 11:10:01 PM,%RH,100.484
8/30/20, 12:10:01 AM,%RH,101.781
8/30/20, 1:10:01 AM,%RH,101.84
8/30/20, 2:10:01 AM,%RH,101.781
8/30/20, 3:10:01 AM,%RH,95.469
8/30/20, 4:10:01 AM,%RH,101.566
8/30/20, 5:10:01 AM,%RH,98.333
8/30/20, 6:10:01 AM,%RH,99.53
8/30/20, 7:10:01 AM,%RH,93.772
8/30/20, 8:10:01 AM,%RH,55.626
8/30/20, 9:10:01 AM,%RH,34.518
8/30/20, 10:10:01 AM,%RH,22.269
8/30/20, 11:10:01 AM,%RH,17.05
8/30/20, 12:10:01 PM,%RH,19.122
8/30/20, 1:10:01 PM,%RH,18.604
8/30/20, 2:10:01 PM,%RH,19.226
8/30/20, 3:10:01 PM,%RH,20.455
8/30/20, 4:10:01 PM,%RH,23.682
8/30/20, 5:10:01 PM,%RH,30.684
8/30/20, 6:10:01 PM,%RH,43.753
8/30/20, 7:10:01 PM,%RH,60.87
8/30/20, 8:10:01 PM,%RH,79.756
8/30/20, 9:10:01 PM,%RH,92.028
8/30/20, 10:10:01 PM,%RH,97.396
8/30/20, 11:10:01 PM,%RH,98.292
8/31/20, 12:10:01 AM,%RH,101.024
8/31/20, 1:10:01 AM,%RH,102.779
8/31/20, 2:10:01 AM,%RH,102.036
8/31/20, 3:10:01 AM,%RH,102.31
8/31/20, 4:10:01 AM,%RH,102.973
8/31/20, 5:10:01 AM,%RH,102.882
8/31/20, 6:10:01 AM,%RH,102.882
8/31/20, 7:10:01 AM,%RH,101.942
8/31/20, 8:10:01 AM,%RH,36.855
8/31/20, 9:10:01 AM,%RH,30
8/31/20, 10:10:01 AM,%RH,24.33
8/31/20, 11:10:01 AM,%RH,22.653
8/31/20, 12:10:01 PM,%RH,20.053
8/31/20, 1:10:01 PM,%RH,22.709
8/31/20, 2:10:01 PM,%RH,19.843
8/31/20, 3:10:01 PM,%RH,19.685
8/31/20, 4:10:01 PM,%RH,21.506
8/31/20, 5:10:01 PM,%RH,33.285
8/31/20, 6:10:01 PM,%RH,50.05
8/31/20, 7:10:01 PM,%RH,66.177
8/31/20, 8:10:01 PM,%RH,79.771
8/31/20, 9:10:01 PM,%RH,91.052
8/31/20, 10:10:01 PM,%RH,96.654
8/31/20, 11:10:01 PM,%RH,98.923
9/1/20, 12:10:01 AM,%RH,101.708
9/1/20, 1:10:01 AM,%RH,102.438
9/1/20, 2:10:01 AM,%RH,102.106
9/1/20, 3:10:01 AM,%RH,101.861
9/1/20, 4:10:01 AM,%RH,102.255
9/1/20, 5:10:01 AM,%RH,102.438
9/1/20, 6:10:01 AM,%RH,102.662
9/1/20, 7:10:01 AM,%RH,102.724
9/1/20, 8:10:01 AM,%RH,62.881
