1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E0000006D97D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:05:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:05:01 PDT 2020
Total Mission Samples:  9151
Total Device Samples:  16786
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:05:01 PM,%RH,76.285
8/29/20, 9:05:01 PM,%RH,87.201
8/29/20, 10:05:01 PM,%RH,97.283
8/29/20, 11:05:01 PM,%RH,96.543
8/30/20, 12:05:01 AM,%RH,100.025
8/30/20, 1:05:01 AM,%RH,97.291
8/30/20, 2:05:01 AM,%RH,92.281
8/30/20, 3:05:01 AM,%RH,89.214
8/30/20, 4:05:01 AM,%RH,97.166
8/30/20, 5:05:01 AM,%RH,90.363
8/30/20, 6:05:01 AM,%RH,96.851
8/30/20, 7:05:01 AM,%RH,100.743
8/30/20, 8:05:01 AM,%RH,66.608
8/30/20, 9:05:01 AM,%RH,41.681
8/30/20, 10:05:01 AM,%RH,28.366
8/30/20, 11:05:01 AM,%RH,27.617
8/30/20, 12:05:01 PM,%RH,27.903
8/30/20, 1:05:01 PM,%RH,28.842
8/30/20, 2:05:01 PM,%RH,27.378
8/30/20, 3:05:01 PM,%RH,29.814
8/30/20, 4:05:01 PM,%RH,31.583
8/30/20, 5:05:01 PM,%RH,36.58
8/30/20, 6:05:01 PM,%RH,48.286
8/30/20, 7:05:01 PM,%RH,61.309
8/30/20, 8:05:01 PM,%RH,78.38
8/30/20, 9:05:01 PM,%RH,89.118
8/30/20, 10:05:01 PM,%RH,96.398
8/30/20, 11:05:01 PM,%RH,98.519
8/31/20, 12:05:01 AM,%RH,100.523
8/31/20, 1:05:01 AM,%RH,101.652
8/31/20, 2:05:01 AM,%RH,101.864
8/31/20, 3:05:01 AM,%RH,101.943
8/31/20, 4:05:01 AM,%RH,102.715
8/31/20, 5:05:01 AM,%RH,102.55
8/31/20, 6:05:01 AM,%RH,102.603
8/31/20, 7:05:01 AM,%RH,101.587
8/31/20, 8:05:01 AM,%RH,51.929
8/31/20, 9:05:01 AM,%RH,39.892
8/31/20, 10:05:01 AM,%RH,34.552
8/31/20, 11:05:01 AM,%RH,34.188
8/31/20, 12:05:01 PM,%RH,28.964
8/31/20, 1:05:01 PM,%RH,32.193
8/31/20, 2:05:01 PM,%RH,27.437
8/31/20, 3:05:01 PM,%RH,28.483
8/31/20, 4:05:01 PM,%RH,28.193
8/31/20, 5:05:01 PM,%RH,41.145
8/31/20, 6:05:01 PM,%RH,50.167
8/31/20, 7:05:01 PM,%RH,68.157
8/31/20, 8:05:01 PM,%RH,82.55
8/31/20, 9:05:01 PM,%RH,91.987
8/31/20, 10:05:01 PM,%RH,97.887
8/31/20, 11:05:01 PM,%RH,99.817
9/1/20, 12:05:01 AM,%RH,101.299
9/1/20, 1:05:01 AM,%RH,101.72
9/1/20, 2:05:01 AM,%RH,102.36
9/1/20, 3:05:01 AM,%RH,102.359
9/1/20, 4:05:01 AM,%RH,103.116
9/1/20, 5:05:01 AM,%RH,102.838
9/1/20, 6:05:01 AM,%RH,103.129
9/1/20, 7:05:01 AM,%RH,103.728
9/1/20, 8:05:01 AM,%RH,86.776
9/1/20, 9:05:01 AM,%RH,50.438
9/1/20, 10:05:01 AM,%RH,43.53
9/1/20, 11:05:01 AM,%RH,38.589
9/1/20, 12:05:01 PM,%RH,35.42
9/1/20, 1:05:01 PM,%RH,34.741
9/1/20, 2:05:01 PM,%RH,31.944
9/1/20, 3:05:01 PM,%RH,31.135
9/1/20, 4:05:01 PM,%RH,34.803
9/1/20, 5:05:01 PM,%RH,40.432
9/1/20, 6:05:01 PM,%RH,53.212
9/1/20, 7:05:01 PM,%RH,64.227
9/1/20, 8:05:01 PM,%RH,79.478
9/1/20, 9:05:01 PM,%RH,88.09
9/1/20, 10:05:01 PM,%RH,96.116
9/1/20, 11:05:01 PM,%RH,98.954
9/2/20, 12:05:01 AM,%RH,100.523
9/2/20, 1:05:01 AM,%RH,101.37
9/2/20, 2:05:01 AM,%RH,102.139
9/2/20, 3:05:01 AM,%RH,102.21
9/2/20, 4:05:01 AM,%RH,102.838
9/2/20, 5:05:01 AM,%RH,102.423
9/2/20, 6:05:01 AM,%RH,102.838
9/2/20, 7:05:01 AM,%RH,103.605
9/2/20, 8:05:01 AM,%RH,56.865
9/2/20, 9:05:01 AM,%RH,40.608
9/2/20, 10:05:01 AM,%RH,33.997
9/2/20, 11:05:01 AM,%RH,31.125
9/2/20, 12:05:01 PM,%RH,28.903
9/2/20, 1:05:01 PM,%RH,24.061
9/2/20, 2:05:01 PM,%RH,29.48
9/2/20, 3:05:01 PM,%RH,34.552
9/2/20, 4:05:01 PM,%RH,41.263
9/2/20, 5:05:01 PM,%RH,46.193
9/2/20, 6:05:01 PM,%RH,55.047
9/2/20, 7:05:01 PM,%RH,63.688
9/2/20, 8:05:01 PM,%RH,73.624
9/2/20, 9:05:01 PM,%RH,86.596
9/2/20, 10:05:01 PM,%RH,90.055
9/2/20, 11:05:01 PM,%RH,90.537
9/3/20, 12:05:01 AM,%RH,89.56
9/3/20, 1:05:01 AM,%RH,92.466
9/3/20, 2:05:01 AM,%RH,91.935
9/3/20, 3:05:01 AM,%RH,93.695
9/3/20, 4:05:01 AM,%RH,94.977
9/3/20, 5:05:01 AM,%RH,96.763
9/3/20, 6:05:01 AM,%RH,96.614
9/3/20, 7:05:01 AM,%RH,96.478
9/3/20, 8:05:01 AM,%RH,52.136
9/3/20, 9:05:01 AM,%RH,38.874
9/3/20, 10:05:01 AM,%RH,34.805
9/3/20, 11:05:01 AM,%RH,33.339
9/3/20, 12:05:01 PM,%RH,27.8
9/3/20, 1:05:01 PM,%RH,29.34
9/3/20, 2:05:01 PM,%RH,29.665
9/3/20, 3:05:01 PM,%RH,33.997
9/3/20, 4:05:01 PM,%RH,40.321
9/3/20, 5:05:01 PM,%RH,43.278
9/3/20, 6:05:01 PM,%RH,49.243
9/3/20, 7:05:01 PM,%RH,59.212
9/3/20, 8:05:01 PM,%RH,76.9
9/3/20, 9:05:01 PM,%RH,81.029
9/3/20, 10:05:01 PM,%RH,84.103
9/3/20, 11:05:01 PM,%RH,87.127
9/4/20, 12:05:01 AM,%RH,88.591
9/4/20, 1:05:01 AM,%RH,88.591
9/4/20, 2:05:01 AM,%RH,88.591
9/4/20, 3:05:01 AM,%RH,91.506
9/4/20, 4:05:01 AM,%RH,89.069
9/4/20, 5:05:01 AM,%RH,84.048
9/4/20, 6:05:01 AM,%RH,83.359
9/4/20, 7:05:01 AM,%RH,76.76
9/4/20, 8:05:01 AM,%RH,32.541
9/4/20, 9:05:01 AM,%RH,28.483
9/4/20, 10:05:01 AM,%RH,27.09
9/4/20, 11:05:01 AM,%RH,26.559
9/4/20, 12:05:01 PM,%RH,24.58
9/4/20, 1:05:01 PM,%RH,24.639
9/4/20, 2:05:01 PM,%RH,23.683
9/4/20, 3:05:01 PM,%RH,25.547
9/4/20, 4:05:01 PM,%RH,27.319
9/4/20, 5:05:01 PM,%RH,33.191
9/4/20, 6:05:01 PM,%RH,41.917
9/4/20, 7:05:01 PM,%RH,48.501
9/4/20, 8:05:01 PM,%RH,58.52
9/4/20, 9:05:01 PM,%RH,64.766
9/4/20, 10:05:01 PM,%RH,68.654
9/4/20, 11:05:01 PM,%RH,68.122
9/5/20, 12:05:01 AM,%RH,67.555
9/5/20, 1:05:01 AM,%RH,63.497
9/5/20, 2:05:01 AM,%RH,61.192
9/5/20, 3:05:01 AM,%RH,59.379
9/5/20, 4:05:01 AM,%RH,58.783
9/5/20, 5:05:01 AM,%RH,56.983
9/5/20, 6:05:01 AM,%RH,53.944
9/5/20, 7:05:01 AM,%RH,49.247
9/5/20, 8:05:01 AM,%RH,29.52
9/5/20, 9:05:01 AM,%RH,24.891
9/5/20, 10:05:01 AM,%RH,22.001
9/5/20, 11:05:01 AM,%RH,21.931
9/5/20, 12:05:01 PM,%RH,18.275
9/5/20, 1:05:01 PM,%RH,16.916
9/5/20, 2:05:01 PM,%RH,16.358
9/5/20, 3:05:01 PM,%RH,15.459
9/5/20, 4:05:01 PM,%RH,15.939
9/5/20, 5:05:01 PM,%RH,15.611
9/5/20, 6:05:01 PM,%RH,15.918
9/5/20, 7:05:01 PM,%RH,24.42
9/5/20, 8:05:01 PM,%RH,32.939
9/5/20, 9:05:01 PM,%RH,32.884
9/5/20, 10:05:01 PM,%RH,30.274
9/5/20, 11:05:01 PM,%RH,28.847
9/6/20, 12:05:01 AM,%RH,30.056
9/6/20, 1:05:01 AM,%RH,33.859
9/6/20, 2:05:01 AM,%RH,32.616
9/6/20, 3:05:01 AM,%RH,33.911
9/6/20, 4:05:01 AM,%RH,35.765
9/6/20, 5:05:01 AM,%RH,37.656
9/6/20, 6:05:01 AM,%RH,35.097
9/6/20, 7:05:01 AM,%RH,37.756
9/6/20, 8:05:01 AM,%RH,22.845
9/6/20, 9:05:01 AM,%RH,20.775
9/6/20, 10:05:01 AM,%RH,18.386
9/6/20, 11:05:01 AM,%RH,18.375
9/6/20, 12:05:01 PM,%RH,16.916
9/6/20, 1:05:01 PM,%RH,13.653
9/6/20, 2:05:01 PM,%RH,12.868
9/6/20, 3:05:01 PM,%RH,13.493
9/6/20, 4:05:01 PM,%RH,13.89
9/6/20, 5:05:01 PM,%RH,14.476
9/6/20, 6:05:01 PM,%RH,16.702
9/6/20, 7:05:01 PM,%RH,20.593
9/6/20, 8:05:01 PM,%RH,26.939
9/6/20, 9:05:01 PM,%RH,28.739
9/6/20, 10:05:01 PM,%RH,25.177
9/6/20, 11:05:01 PM,%RH,21.54
9/7/20, 12:05:01 AM,%RH,18.225
9/7/20, 1:05:01 AM,%RH,17.4
9/7/20, 2:05:01 AM,%RH,27.468
9/7/20, 3:05:01 AM,%RH,27.414
9/7/20, 4:05:01 AM,%RH,28.685
9/7/20, 5:05:01 AM,%RH,29.896
9/7/20, 6:05:01 AM,%RH,27.253
9/7/20, 7:05:01 AM,%RH,28.685
9/7/20, 8:05:01 AM,%RH,22.519
9/7/20, 9:05:01 AM,%RH,18.269
9/7/20, 10:05:01 AM,%RH,17.585
9/7/20, 11:05:01 AM,%RH,17.732
9/7/20, 12:05:01 PM,%RH,16.265
9/7/20, 1:05:01 PM,%RH,15.504
9/7/20, 2:05:01 PM,%RH,13.804
9/7/20, 3:05:01 PM,%RH,34.318
9/7/20, 4:05:01 PM,%RH,33.377
9/7/20, 5:05:01 PM,%RH,37.793
9/7/20, 6:05:01 PM,%RH,47.585
9/7/20, 7:05:01 PM,%RH,57.623
9/7/20, 8:05:01 PM,%RH,74.841
9/7/20, 9:05:01 PM,%RH,76.995
9/7/20, 10:05:01 PM,%RH,88.68
9/7/20, 11:05:01 PM,%RH,89.639
9/8/20, 12:05:01 AM,%RH,90.108
9/8/20, 1:05:01 AM,%RH,93.438
9/8/20, 2:05:01 AM,%RH,98.969
9/8/20, 3:05:01 AM,%RH,101.635
9/8/20, 4:05:01 AM,%RH,102.944
9/8/20, 5:05:01 AM,%RH,103.802
9/8/20, 6:05:01 AM,%RH,104.241
9/8/20, 7:05:01 AM,%RH,103.804
9/8/20, 8:05:01 AM,%RH,102.515
9/8/20, 9:05:01 AM,%RH,96.752
9/8/20, 10:05:01 AM,%RH,84.902
9/8/20, 11:05:01 AM,%RH,57.426
9/8/20, 12:05:01 PM,%RH,49.298
9/8/20, 1:05:01 PM,%RH,46.314
9/8/20, 2:05:01 PM,%RH,47.327
9/8/20, 3:05:01 PM,%RH,47.262
9/8/20, 4:05:01 PM,%RH,53.279
9/8/20, 5:05:01 PM,%RH,56.76
9/8/20, 6:05:01 PM,%RH,68.024
9/8/20, 7:05:01 PM,%RH,79.679
9/8/20, 8:05:01 PM,%RH,93.91
9/8/20, 9:05:01 PM,%RH,96.701
9/8/20, 10:05:01 PM,%RH,89.606
9/8/20, 11:05:01 PM,%RH,55.055
9/9/20, 12:05:01 AM,%RH,26.726
9/9/20, 1:05:01 AM,%RH,25.18
9/9/20, 2:05:01 AM,%RH,20.524
9/9/20, 3:05:01 AM,%RH,21.125
9/9/20, 4:05:01 AM,%RH,22.483
9/9/20, 5:05:01 AM,%RH,23.081
9/9/20, 6:05:01 AM,%RH,22.483
9/9/20, 7:05:01 AM,%RH,23.835
9/9/20, 8:05:01 AM,%RH,21.446
9/9/20, 9:05:01 AM,%RH,20.35
9/9/20, 10:05:01 AM,%RH,18.684
9/9/20, 11:05:01 AM,%RH,17.606
9/9/20, 12:05:01 PM,%RH,16.504
9/9/20, 1:05:01 PM,%RH,14.117
9/9/20, 2:05:01 PM,%RH,13.981
9/9/20, 3:05:01 PM,%RH,13.098
9/9/20, 4:05:01 PM,%RH,14.156
