1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3900000054470721
Is Mission Active?  true
Mission Start:  Sat Feb 01 03:22:00 PST 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  9153
Total Samples:  9153
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  185 0 F
Low Temperature Alarm:  -40 °F

Date/Time,Unit,Value
11/23/20, 4:22:00 AM,F,43.7
11/23/20, 5:22:00 AM,F,42.8
11/23/20, 6:22:00 AM,F,43.7
11/23/20, 7:22:00 AM,F,60.8
11/23/20, 8:22:00 AM,F,68.9
11/23/20, 9:22:00 AM,F,77
11/23/20, 10:22:00 AM,F,84.2
11/23/20, 11:22:00 AM,F,84.2
11/23/20, 12:22:00 PM,F,82.4
11/23/20, 1:22:00 PM,F,81.5
11/23/20, 2:22:00 PM,F,77
11/23/20, 3:22:00 PM,F,69.8
11/23/20, 4:22:00 PM,F,59.9
11/23/20, 5:22:00 PM,F,55.4
11/23/20, 6:22:00 PM,F,54.5
11/23/20, 7:22:00 PM,F,53.6
11/23/20, 8:22:00 PM,F,54.5
11/23/20, 9:22:00 PM,F,51.8
11/23/20, 10:22:00 PM,F,49.1
11/23/20, 11:22:00 PM,F,49.1
11/24/20, 12:22:00 AM,F,53.6
11/24/20, 1:22:00 AM,F,48.2
11/24/20, 2:22:00 AM,F,44.6
11/24/20, 3:22:00 AM,F,43.7
11/24/20, 4:22:00 AM,F,42.8
11/24/20, 5:22:00 AM,F,41
11/24/20, 6:22:00 AM,F,39.2
11/24/20, 7:22:00 AM,F,55.4
11/24/20, 8:22:00 AM,F,68
11/24/20, 9:22:00 AM,F,77.9
11/24/20, 10:22:00 AM,F,82.4
11/24/20, 11:22:00 AM,F,77
11/24/20, 12:22:00 PM,F,76.1
11/24/20, 1:22:00 PM,F,74.3
11/24/20, 2:22:00 PM,F,74.3
11/24/20, 3:22:00 PM,F,71.6
11/24/20, 4:22:00 PM,F,62.6
11/24/20, 5:22:00 PM,F,57.2
11/24/20, 6:22:00 PM,F,57.2
11/24/20, 7:22:00 PM,F,50.9
11/24/20, 8:22:00 PM,F,49.1
11/24/20, 9:22:00 PM,F,50
11/24/20, 10:22:00 PM,F,47.3
11/24/20, 11:22:00 PM,F,47.3
11/25/20, 12:22:00 AM,F,45.5
11/25/20, 1:22:00 AM,F,46.4
11/25/20, 2:22:00 AM,F,44.6
11/25/20, 3:22:00 AM,F,41
11/25/20, 4:22:00 AM,F,41
11/25/20, 5:22:00 AM,F,39.2
11/25/20, 6:22:00 AM,F,40.1
11/25/20, 7:22:00 AM,F,54.5
11/25/20, 8:22:00 AM,F,64.4
11/25/20, 9:22:00 AM,F,71.6
11/25/20, 10:22:00 AM,F,78.8
11/25/20, 11:22:00 AM,F,79.7
11/25/20, 12:22:00 PM,F,78.8
11/25/20, 1:22:00 PM,F,76.1
11/25/20, 2:22:00 PM,F,73.4
11/25/20, 3:22:00 PM,F,67.1
11/25/20, 4:22:00 PM,F,58.1
11/25/20, 5:22:00 PM,F,52.7
11/25/20, 6:22:00 PM,F,49.1
11/25/20, 7:22:00 PM,F,46.4
11/25/20, 8:22:00 PM,F,50
11/25/20, 9:22:00 PM,F,50
11/25/20, 10:22:00 PM,F,50.9
11/25/20, 11:22:00 PM,F,49.1
11/26/20, 12:22:00 AM,F,50.9
11/26/20, 1:22:00 AM,F,49.1
11/26/20, 2:22:00 AM,F,48.2
11/26/20, 3:22:00 AM,F,48.2
11/26/20, 4:22:00 AM,F,46.4
11/26/20, 5:22:00 AM,F,47.3
11/26/20, 6:22:00 AM,F,47.3
11/26/20, 7:22:00 AM,F,55.4
11/26/20, 8:22:00 AM,F,68
11/26/20, 9:22:00 AM,F,73.4
11/26/20, 10:22:00 AM,F,66.2
11/26/20, 11:22:00 AM,F,65.3
11/26/20, 12:22:00 PM,F,68
11/26/20, 1:22:00 PM,F,67.1
11/26/20, 2:22:00 PM,F,65.3
11/26/20, 3:22:00 PM,F,63.5
11/26/20, 4:22:00 PM,F,58.1
11/26/20, 5:22:00 PM,F,55.4
11/26/20, 6:22:00 PM,F,55.4
11/26/20, 7:22:00 PM,F,50.9
11/26/20, 8:22:00 PM,F,51.8
11/26/20, 9:22:00 PM,F,52.7
11/26/20, 10:22:00 PM,F,51.8
11/26/20, 11:22:00 PM,F,52.7
11/27/20, 12:22:00 AM,F,50
