1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FD00000069B84041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:21:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 23:21:01 PDT 2020
Total Mission Samples:  7486
Total Device Samples:  13962
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 11:21:01 PM,F,56.558
8/30/20, 12:21:01 AM,F,54.752
8/30/20, 1:21:01 AM,F,52.946
8/30/20, 2:21:01 AM,F,52.946
8/30/20, 3:21:01 AM,F,52.946
8/30/20, 4:21:01 AM,F,52.043
8/30/20, 5:21:01 AM,F,49.333
8/30/20, 6:21:01 AM,F,52.946
8/30/20, 7:21:01 AM,F,54.752
8/30/20, 8:21:01 AM,F,73.687
8/30/20, 9:21:01 AM,F,88.08
8/30/20, 10:21:01 AM,F,100.65
8/30/20, 11:21:01 AM,F,99.753
8/30/20, 12:21:01 PM,F,96.164
8/30/20, 1:21:01 PM,F,101.547
8/30/20, 2:21:01 PM,F,99.753
8/30/20, 3:21:01 PM,F,97.061
8/30/20, 4:21:01 PM,F,90.776
8/30/20, 5:21:01 PM,F,82.686
8/30/20, 6:21:01 PM,F,77.288
8/30/20, 7:21:01 PM,F,70.085
8/30/20, 8:21:01 PM,F,63.775
8/30/20, 9:21:01 PM,F,61.07
8/30/20, 10:21:01 PM,F,59.265
8/30/20, 11:21:01 PM,F,57.46
8/31/20, 12:21:01 AM,F,54.752
8/31/20, 1:21:01 AM,F,54.752
8/31/20, 2:21:01 AM,F,52.946
8/31/20, 3:21:01 AM,F,51.14
8/31/20, 4:21:01 AM,F,50.237
8/31/20, 5:21:01 AM,F,49.333
8/31/20, 6:21:01 AM,F,47.526
8/31/20, 7:21:01 AM,F,56.558
8/31/20, 8:21:01 AM,F,78.188
8/31/20, 9:21:01 AM,F,88.08
8/31/20, 10:21:01 AM,F,99.753
8/31/20, 11:21:01 AM,F,97.061
8/31/20, 12:21:01 PM,F,94.368
8/31/20, 1:21:01 PM,F,99.753
8/31/20, 2:21:01 PM,F,100.65
8/31/20, 3:21:01 PM,F,99.753
8/31/20, 4:21:01 PM,F,91.674
8/31/20, 5:21:01 PM,F,81.787
8/31/20, 6:21:01 PM,F,75.488
8/31/20, 7:21:01 PM,F,69.184
8/31/20, 8:21:01 PM,F,63.775
8/31/20, 9:21:01 PM,F,60.167
8/31/20, 10:21:01 PM,F,58.363
8/31/20, 11:21:01 PM,F,57.46
9/1/20, 12:21:01 AM,F,56.558
9/1/20, 1:21:01 AM,F,54.752
9/1/20, 2:21:01 AM,F,57.46
9/1/20, 3:21:01 AM,F,57.46
9/1/20, 4:21:01 AM,F,56.558
9/1/20, 5:21:01 AM,F,55.655
9/1/20, 6:21:01 AM,F,53.849
9/1/20, 7:21:01 AM,F,54.752
9/1/20, 8:21:01 AM,F,72.787
9/1/20, 9:21:01 AM,F,87.182
9/1/20, 10:21:01 AM,F,90.776
9/1/20, 11:21:01 AM,F,94.368
9/1/20, 12:21:01 PM,F,92.572
9/1/20, 1:21:01 PM,F,93.47
9/1/20, 2:21:01 PM,F,97.959
9/1/20, 3:21:01 PM,F,94.368
9/1/20, 4:21:01 PM,F,86.283
9/1/20, 5:21:01 PM,F,81.787
9/1/20, 6:21:01 PM,F,76.388
9/1/20, 7:21:01 PM,F,70.085
9/1/20, 8:21:01 PM,F,65.578
9/1/20, 9:21:01 PM,F,61.972
