1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 54000000697C5A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:16:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 22:16:01 PDT 2020
Total Mission Samples:  7485
Total Device Samples:  14015
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 10:16:01 PM,F,59.127
8/29/20, 11:16:01 PM,F,55.522
8/30/20, 12:16:01 AM,F,52.818
8/30/20, 1:16:01 AM,F,51.917
8/30/20, 2:16:01 AM,F,51.917
8/30/20, 3:16:01 AM,F,51.015
8/30/20, 4:16:01 AM,F,51.917
8/30/20, 5:16:01 AM,F,48.31
8/30/20, 6:16:01 AM,F,52.818
8/30/20, 7:16:01 AM,F,56.423
8/30/20, 8:16:01 AM,F,86.134
8/30/20, 9:16:01 AM,F,105.011
8/30/20, 10:16:01 AM,F,121.171
8/30/20, 11:16:01 AM,F,123.863
8/30/20, 12:16:01 PM,F,112.195
8/30/20, 1:16:01 PM,F,117.582
8/30/20, 2:16:01 PM,F,115.786
8/30/20, 3:16:01 PM,F,106.807
8/30/20, 4:16:01 PM,F,98.721
8/30/20, 5:16:01 PM,F,83.436
8/30/20, 6:16:01 PM,F,77.137
8/30/20, 7:16:01 PM,F,70.836
8/30/20, 8:16:01 PM,F,64.532
8/30/20, 9:16:01 PM,F,61.83
8/30/20, 10:16:01 PM,F,59.127
8/30/20, 11:16:01 PM,F,57.324
8/31/20, 12:16:01 AM,F,55.522
8/31/20, 1:16:01 AM,F,51.917
8/31/20, 2:16:01 AM,F,51.917
8/31/20, 3:16:01 AM,F,51.917
8/31/20, 4:16:01 AM,F,48.31
8/31/20, 5:16:01 AM,F,48.31
8/31/20, 6:16:01 AM,F,45.605
8/31/20, 7:16:01 AM,F,64.532
8/31/20, 8:16:01 AM,F,91.53
8/31/20, 9:16:01 AM,F,109.501
8/31/20, 10:16:01 AM,F,118.479
8/31/20, 11:16:01 AM,F,116.684
8/31/20, 12:16:01 PM,F,111.297
8/31/20, 1:16:01 PM,F,113.991
8/31/20, 2:16:01 PM,F,114.889
8/31/20, 3:16:01 PM,F,108.603
8/31/20, 4:16:01 PM,F,99.62
8/31/20, 5:16:01 PM,F,82.536
8/31/20, 6:16:01 PM,F,76.237
8/31/20, 7:16:01 PM,F,69.936
8/31/20, 8:16:01 PM,F,64.532
8/31/20, 9:16:01 PM,F,60.929
8/31/20, 10:16:01 PM,F,60.028
8/31/20, 11:16:01 PM,F,57.324
9/1/20, 12:16:01 AM,F,56.423
9/1/20, 1:16:01 AM,F,55.522
9/1/20, 2:16:01 AM,F,60.028
9/1/20, 3:16:01 AM,F,60.028
