1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:49:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 30 20:49:01 PDT 2020
Total Mission Samples:  9176
Total Device Samples:  17197
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/30/20, 8:49:01 PM,F,64.535
8/30/20, 9:49:01 PM,F,61.831
8/30/20, 10:49:01 PM,F,58.224
8/30/20, 11:49:01 PM,F,55.518
8/31/20, 12:49:01 AM,F,54.615
8/31/20, 1:49:01 AM,F,51.908
8/31/20, 2:49:01 AM,F,51.908
8/31/20, 3:49:01 AM,F,50.102
8/31/20, 4:49:01 AM,F,48.297
8/31/20, 5:49:01 AM,F,47.393
8/31/20, 6:49:01 AM,F,46.49
8/31/20, 7:49:01 AM,F,73.544
8/31/20, 8:49:01 AM,F,83.442
8/31/20, 9:49:01 AM,F,88.836
8/31/20, 10:49:01 AM,F,94.226
8/31/20, 11:49:01 AM,F,94.226
8/31/20, 12:49:01 PM,F,92.43
8/31/20, 1:49:01 PM,F,97.818
8/31/20, 2:49:01 PM,F,101.409
8/31/20, 3:49:01 PM,F,99.614
8/31/20, 4:49:01 PM,F,94.226
8/31/20, 5:49:01 PM,F,83.442
8/31/20, 6:49:01 PM,F,74.444
8/31/20, 7:49:01 PM,F,69.041
8/31/20, 8:49:01 PM,F,64.535
8/31/20, 9:49:01 PM,F,60.929
8/31/20, 10:49:01 PM,F,58.224
8/31/20, 11:49:01 PM,F,56.42
9/1/20, 12:49:01 AM,F,54.615
9/1/20, 1:49:01 AM,F,57.322
9/1/20, 2:49:01 AM,F,58.224
9/1/20, 3:49:01 AM,F,58.224
9/1/20, 4:49:01 AM,F,57.322
9/1/20, 5:49:01 AM,F,56.42
9/1/20, 6:49:01 AM,F,54.615
9/1/20, 7:49:01 AM,F,69.041
9/1/20, 8:49:01 AM,F,80.743
9/1/20, 9:49:01 AM,F,81.643
9/1/20, 10:49:01 AM,F,86.139
9/1/20, 11:49:01 AM,F,87.937
9/1/20, 12:49:01 PM,F,87.937
9/1/20, 1:49:01 PM,F,93.328
9/1/20, 2:49:01 PM,F,96.022
9/1/20, 3:49:01 PM,F,96.022
9/1/20, 4:49:01 PM,F,90.633
9/1/20, 5:49:01 PM,F,83.442
9/1/20, 6:49:01 PM,F,75.344
9/1/20, 7:49:01 PM,F,69.041
9/1/20, 8:49:01 PM,F,65.437
9/1/20, 9:49:01 PM,F,61.831
9/1/20, 10:49:01 PM,F,59.126
9/1/20, 11:49:01 PM,F,57.322
9/2/20, 12:49:01 AM,F,57.322
9/2/20, 1:49:01 AM,F,56.42
9/2/20, 2:49:01 AM,F,53.713
9/2/20, 3:49:01 AM,F,52.81
9/2/20, 4:49:01 AM,F,51.908
9/2/20, 5:49:01 AM,F,51.005
9/2/20, 6:49:01 AM,F,51.908
9/2/20, 7:49:01 AM,F,73.544
9/2/20, 8:49:01 AM,F,86.139
9/2/20, 9:49:01 AM,F,96.022
9/2/20, 10:49:01 AM,F,97.818
9/2/20, 11:49:01 AM,F,100.511
9/2/20, 12:49:01 PM,F,96.92
9/2/20, 1:49:01 PM,F,96.92
9/2/20, 2:49:01 PM,F,95.124
9/2/20, 3:49:01 PM,F,94.226
9/2/20, 4:49:01 PM,F,90.633
9/2/20, 5:49:01 PM,F,81.643
